time,drone.gyro_lpf_delay_0,drone.gyro_lpf_delay_1,drone.gyro_lpf_delay_2,drone.gyro_lpf_delay_3,drone.gyro_lpf_delay_4,drone.gyro_lpf_delay_5,drone.gyro_lpf_delay_6,drone.gyro_lpf_delay_7,drone.gyro_lpf_delay_8,drone.gyro_lpf_delay_9,drone.gyro_lpf_delay_10,drone.gyro_lpf_delay_11
2026-08-21T00:30:40.695630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:40.726148,0.025873585849379394,0.019167699538832694,-0.0006951252777297728,0.013444355457871012,0.017173407162405414,0.05049575551414318,0.00028058864034622875,-0.007662552217737347,0.0012364441708906544,0.00024206786799152035,-0.009438825674607758,-0.0002709167132716637
2026-08-21T00:30:40.736147,-0.012799959570051547,-0.012988087439030155,-0.024298033200284664,0.008188802985665305,0.026305416205198384,0.0027555522953119894,-0.010212198131117657,-0.01200712179412082,0.004181503001229365,-0.009550582312346973,-0.013145090035708585,0.0025069435560484627
2026-08-21T00:30:40.746146,-0.009371918803338932,-0.0014588354324629224,0.013142245398457686,0.012223771204007965,0.04576149755037968,-0.007751580908065817,0.004531636035793766,0.011530800456134473,-0.0018326392626553704,0.0032554878981586417,0.007950611828731557,0.0005815276380164592
2026-08-21T00:30:40.756145,-0.01233174293670781,-0.08575786763321115,0.006692406748948635,0.0016344689220961566,0.008846651800425287,0.04033106704117866,0.003345003855949329,-0.006993136758184908,0.007402681531339637,0.0061280520060605585,-0.004850537059611493,0.0037935750126414747
2026-08-21T00:30:40.766144,0.02441675548130074,-0.0037299628231564795,0.026705340954598304,-0.0183525342004549,-0.02777477644113675,-0.0027919339197520947,-0.008638072182264568,-0.016559738599062464,0.0022565188453358524,-0.008837645785611994,-0.017658923369794566,0.00405210334529046
2026-08-21T00:30:40.776143,-0.031388853203625576,0.008816904942332403,0.08909814927533688,0.032889492649693486,0.00025481311448872194,-0.013221272672026984,-0.003946825411531268,-0.016510095510082427,-0.0021909111545692674,-0.00372798950683101,-0.020667446227085405,-0.004442941155265706
2026-08-21T00:30:40.786142,-0.02720488870612284,-0.0224933676785608,-0.005144626123663521,0.03079512190269429,-0.02712942640855566,0.027315692911329868,-0.0005411801377301273,-0.011088256898787317,0.009981482331601356,-0.0046134417674705535,-0.01095227566463575,0.012344857654999052
2026-08-21T00:30:40.796141,0.08160038968963289,0.003498069502642093,-0.054794696312418366,-0.020750327439365834,0.0021611991085755465,0.06009796228773664,0.00551687851865752,-0.005141520453362795,0.010841069643762196,0.007355559576270284,-0.006501208912566622,0.00842916689143815
2026-08-21T00:30:40.806140,-0.08197381129547232,0.0034742415796676284,0.026303229851121192,-0.02230894705675309,-0.01944779564028052,0.022340244771936243,0.004364447107466621,-0.007150599112181804,0.0003872374491630617,0.009469503045400068,-0.005869256497993475,-0.0024577346219585767
