time,drone.ang_vel_setpoint_r,drone.ang_vel_setpoint_p,drone.ang_vel_setpoint_y
2026-05-06T20:26:42.783427,0.0,0.0,0.0
2026-05-06T20:26:42.794510,0.0,0.0,1.3150152280436183e-11
2026-05-06T20:26:42.804509,0.0,0.0,1.9089058309453124e-9
2026-05-06T20:26:42.814508,-9.465855584035747e-7,-3.692037309056332e-6,1.6055617838812382e-9
2026-05-06T20:26:42.824507,-0.000017090832319125524,-0.0000227855717088707,-3.376291894809151e-8
2026-05-06T20:26:42.834506,-0.00003366498621814956,-0.00003081591340442038,-1.0633439123410292e-7
2026-05-06T20:26:42.844505,-0.00005264845736488224,-0.000042336404975749694,-2.2158589808987328e-7
2026-05-06T20:26:42.854504,-0.00008925110606443029,-0.00008554821431573421,-3.882889263626772e-7
2026-05-06T20:26:42.864503,-0.0001527563523642789,-0.00017234038572751944,-5.876490608756585e-7
2026-05-06T20:26:42.874502,-0.00021522760784662058,-0.00029795165790238125,-7.166517085490288e-7
2026-05-06T20:26:42.884501,-0.00022841916747302454,-0.00044525401197828606,-6.313012275278394e-7
2026-05-06T20:26:42.894500,-0.0002207716193891979,-0.0005805492111418126,-3.350499641620236e-7
2026-05-06T20:26:42.904499,-0.00023179368814267307,-0.0006295492036963864,1.1465670800569962e-7
2026-05-06T20:26:42.914498,-0.0002948988145423303,-0.0005717813985628397,6.777808235282264e-7
2026-05-06T20:26:42.924497,-0.00034800783804354233,-0.0003875789809318275,2.968604644567607e-6
2026-05-06T20:26:42.934496,-0.00036028225312359865,-0.00005849647019759763,5.136966697723023e-6
2026-05-06T20:26:42.944495,-0.0003161075587830361,0.0003762485106929955,7.904710496817864e-6
2026-05-06T20:26:42.954494,-0.0002558140261649647,0.0008481363211644434,0.000011015721104674635
2026-05-06T20:26:42.964493,-0.00026177040248219247,0.001269159833619658,0.000013933569614861972
2026-05-06T20:26:42.974492,-0.0002935640007958597,0.0015879883784751636,0.000016745319738681024
2026-05-06T20:26:42.984491,-0.0002784464838400853,0.0018512350393508953,0.00001956489327432108
2026-05-06T20:26:42.994490,-0.0001656768582904922,0.0020962470925625937,0.00002245541320266802
2026-05-06T20:26:43.004489,6.076649908614468e-6,0.0023102870544541303,0.000025187455230441513
2026-05-06T20:26:43.014488,0.00010179249444653258,0.002488470303779013,0.000027156900184943966
2026-05-06T20:26:43.024487,0.0001299820787997756,0.0026745497112916658,0.000028463804762252882
2026-05-06T20:26:43.034486,0.00022084538036205875,0.002891545344442534,0.000029727269984999938
2026-05-06T20:26:43.044485,0.0003930279156143149,0.003103255351150813,0.00003102473418242707
2026-05-06T20:26:43.054484,0.0006491722263779156,0.0032928366047727657,0.00003225544593050146
2026-05-06T20:26:43.064483,0.0009419157272298152,0.003451158456389831,0.00003307457555358095
2026-05-06T20:26:43.074482,0.0012254294535419164,0.003603372175680392,0.00003318076266509335
2026-05-06T20:26:43.084481,0.0015348705922453617,0.0037871320584104322,0.00003279380072557325
2026-05-06T20:26:43.094480,0.001782523307301215,0.0040102559190335965,0.000031544185332615026
2026-05-06T20:26:43.104479,0.001922488547109899,0.004286278499170736,0.00002933438388158546
2026-05-06T20:26:43.114478,0.0019802146949182593,0.004562348033221934,0.000026339806032898432
2026-05-06T20:26:43.117811,0.0019870371606159547,0.004642743816583871,0.000025231259479714485
