time,drone.motor_pwm_m1,drone.motor_pwm_m2,drone.motor_pwm_m3,drone.motor_pwm_m4
2026-08-21T00:30:40.695630,0.0,0.0,0.0,0.0
2026-08-21T00:30:40.726148,1743.4492130749152,1755.3811937715623,1740.8913582567084,1758.2554905984143
2026-08-21T00:30:40.736147,1728.9449081276452,1769.2940478817948,1750.086436752648,1749.2083130045778
2026-08-21T00:30:40.746146,1760.8159085375619,1738.8023283605014,1750.7302433393108,1747.6096131687457
2026-08-21T00:30:40.756145,1763.790718270016,1734.7952163806563,1733.0832055961232,1765.7600997178738
2026-08-21T00:30:40.766144,1720.385570528104,1778.9135300261441,1749.0901259865745,1748.4715817564295
2026-08-21T00:30:40.776143,1736.0082493402347,1762.8516969874458,1730.9931914253511,1767.521323830047
2026-08-21T00:30:40.786142,1743.3228868755555,1757.944385157733,1758.8765188044513,1737.7485281088452
2026-08-21T00:30:40.796141,1769.0648814268093,1731.3252193858455,1730.6026042243675,1766.1425915082195
2026-08-21T00:30:40.806140,1771.4266121369537,1728.5319440135877,1737.073172755377,1760.2213328174284
2026-08-21T00:30:40.816139,1747.920732276648,1754.306539475334,1784.3883125993073,1709.3942846464668
2026-08-21T00:30:40.826138,1748.4202834786386,1752.6200383258529,1769.1180985468964,1727.3207028034976
2026-08-21T00:30:40.836137,1746.9191205964776,1754.082714900518,1734.1755964245992,1762.6402959732743
2026-08-21T00:30:40.846136,1776.0755466595806,1723.4397840723182,1754.5823770472675,1742.9576503680432
2026-08-21T00:30:40.856135,1740.5061244979843,1760.7101460627673,1742.7967721284513,1753.9274548743651
2026-08-21T00:30:40.866134,1737.6692556794937,1762.0293827045864,1739.9801613433847,1758.1189507135082
2026-08-21T00:30:40.876133,1711.0226012366888,1788.9336074147504,1752.358204296335,1743.5247540008136
2026-08-21T00:30:40.886132,1737.9831793667145,1760.4457941825217,1744.22022373144,1755.2595715730868
2026-08-21T00:30:40.896131,1759.4892409050938,1737.9824375671362,1732.845503713278,1767.210005805839
2026-08-21T00:30:40.906130,1779.1615746140283,1716.4190415204785,1759.0487251775285,1741.925672188292
2026-08-21T00:30:40.916129,1746.0850141176043,1752.5019690626254,1733.0859446261788,1766.0484401965002
2026-08-21T00:30:40.926128,1715.0176528216741,1780.901069170739,1769.2814801431591,1730.7600634509326
2026-08-21T00:30:40.936127,1739.9005328180674,1756.199882905255,1765.7508076326662,1735.8526113841056
2026-08-21T00:30:40.946126,1776.7055544632994,1719.9128651396272,1746.7473416700852,1753.550795613955
2026-08-21T00:30:40.956125,1756.509104136569,1741.7501464421507,1735.900841103806,1763.6141129756327
2026-08-21T00:30:40.966124,1746.1051982479883,1750.769852994497,1741.519552089614,1759.6147045584535
2026-08-21T00:30:40.976123,1747.301548296381,1747.6294312093637,1751.1367270291207,1752.0624857386133
2026-08-21T00:30:40.986122,1720.7022886573561,1774.078420217798,1762.8875817841918,1739.1888339544853
2026-08-21T00:30:40.996121,1766.8508816729468,1730.2311982688163,1752.4349623585244,1748.1153391562266
2026-08-21T00:30:41.006120,1740.7092790430079,1756.341237700977,1767.493974717106,1733.0615406587983
2026-08-21T00:30:41.016119,1727.6338723518472,1770.3906625460913,1759.3187429352397,1739.9757368425658
2026-08-21T00:30:41.026118,1749.2441021045715,1749.3947128851473,1761.2512293526397,1738.051848464983
2026-08-21T00:30:41.036117,1734.3715606502756,1764.6322199300007,1718.108502934303,1779.2872047216583
2026-08-21T00:30:41.046116,1758.1717293288134,1740.1042565066969,1762.115356621151,1737.4010618122002
2026-08-21T00:30:41.049449,1769.6446341624128,1728.9421919085526,1762.2657260977962,1736.4209776504067
