time,linalg.linalg_state_0,linalg.linalg_state_1,linalg.linalg_state_2,linalg.linalg_state_3
2026-05-06T20:26:46.083223,1.0,2.0,3.0,4.0
2026-05-06T20:26:46.084623,0.26,4.0,1.0,1.0
2026-05-06T20:26:46.092956,0.011460000000000001,4.0,0.26,0.26
2026-05-06T20:26:46.101289,0.004546953919999999,4.0,0.011460000000000001,0.011460000000000001
2026-05-06T20:26:46.109622,0.004027478897094669,4.0,0.004546953919999999,0.004546953919999999
2026-05-06T20:26:46.117955,0.0040131230520827005,4.0,0.004027478897094669,0.004027478897094669
2026-05-06T20:26:46.126288,0.004012069382750446,4.0,0.0040131230520827005,0.0040131230520827005
2026-05-06T20:26:46.134621,0.004012039607787033,4.0,0.004012069382750446,0.004012069382750446
2026-05-06T20:26:46.142954,0.004012037469985305,4.0,0.004012039607787033,0.004012039607787033
2026-05-06T20:26:46.151287,0.004012037408277718,4.0,0.004012037469985305,0.004012037469985305
2026-05-06T20:26:46.159620,0.004012037403939011,4.0,0.004012037408277718,0.004012037408277718
2026-05-06T20:26:46.167953,0.004012037403811216,4.0,0.004012037403939011,0.004012037403939011
2026-05-06T20:26:46.176286,0.004012037403802407,4.0,0.004012037403811216,0.004012037403811216
2026-05-06T20:26:46.184619,0.004012037403802142,4.0,0.004012037403802407,0.004012037403802407
2026-05-06T20:26:46.192952,0.004012037403802125,4.0,0.004012037403802142,0.004012037403802142
2026-05-06T20:26:46.201285,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.209618,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.217951,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.226284,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.234617,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.242950,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.251283,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.259616,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.267949,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.276282,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.284615,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.292948,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.301281,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.309614,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.317947,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.326280,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.334613,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.342946,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.351279,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.359612,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.367945,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.376278,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.384611,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.392944,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.401277,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.409610,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.417943,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.426276,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.434609,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.442942,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.451275,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.459608,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.467941,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.476274,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.484607,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.492940,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.501273,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.509606,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.517939,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.526272,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.534605,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.542938,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.551271,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.559604,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
2026-05-06T20:26:46.567937,0.004012037403802125,4.0,0.004012037403802125,0.004012037403802125
