timestamp_utc,time_s,range_m,inner_deg,middle_deg,outer_deg
1969-07-20T20:11:30.055125Z,96.891000,,66.6870117,-0.1977539,-1.0107422
1969-07-20T20:11:31.164125Z,98.000000,7506.669264,66.5441895,-0.2746582,-1.0217285
1969-07-20T20:11:31.926125Z,98.762000,,66.1816406,-0.4724121,-0.9667969
1969-07-20T20:11:33.164125Z,100.000000,7463.914968,66.7088844,-0.3405762,-0.9997559
1969-07-20T20:11:35.164125Z,102.000000,7482.001800,67.3022461,-0.0329590,-0.9887695
1969-07-20T20:11:35.887125Z,102.723000,,66.9177246,0.0439453,-1.0217285
1969-07-20T20:11:37.164125Z,104.000000,7401.427920,67.2363281,0.7250977,-0.9887695
1969-07-20T20:11:37.895125Z,104.731000,,66.4562988,0.2526855,-1.0656738
1969-07-20T20:11:39.164125Z,106.000000,7271.519112,66.1486816,-0.0659180,-0.9558105
1969-07-20T20:11:39.887125Z,106.723000,,65.6652832,-0.4394531,-0.9667969
1969-07-20T20:11:41.164125Z,108.000000,7156.411392,65.7202148,-0.0659180,-0.8898926
1969-07-20T20:11:41.887125Z,108.723000,,65.5554199,0.4943848,-0.8459473
1969-07-20T20:11:43.164125Z,110.000000,7072.548720,65.3796387,1.3513184,-0.8129883
1969-07-20T20:11:43.965125Z,110.801000,,64.7534180,1.3732910,-0.7470703
1969-07-20T20:11:45.164125Z,112.000000,6926.195952,63.5888672,0.6591797,-1.8020020
1969-07-20T20:11:45.895125Z,112.731000,,63.2702637,0.5053711,-0.7690430
1969-07-20T20:11:47.164125Z,114.000000,6822.600528,62.9077148,0.1428223,-0.8239746
1969-07-20T20:11:47.895125Z,114.731000,,63.5559082,0.7141113,-0.8239746
1969-07-20T20:11:49.164125Z,116.000000,6822.600528,64.0283203,1.1755371,-0.8349609
1969-07-20T20:11:49.926125Z,116.762000,,64.3469238,1.4282227,-0.3008789
1969-07-20T20:11:51.164125Z,118.000000,6783.135024,63.5097660,0.6811523,-1.9228516
1969-07-20T20:11:51.955125Z,118.791000,,63.3471680,0.4064941,-0.9558105
1969-07-20T20:11:53.164125Z,120.000000,6566.074752,62.5451660,-0.2526855,-0.7470793
1969-07-20T20:11:53.887125Z,120.723000,,62.4572754,-0.4164942,-0.6372070
1969-07-20T20:11:55.164125Z,122.000000,6462.476280,62.1057129,-0.2307129,-0.4284668
1969-07-20T20:11:55.887125Z,122.723000,,62.0617676,-0.0878906,-0.2856445
1969-07-20T20:11:57.164125Z,124.000000,6376.967688,62.0507812,0.6262207,-0.0988770
1969-07-20T20:11:57.895125Z,124.731000,,61.9519043,0.8459473,0.0549316
1969-07-20T20:11:59.164125Z,126.000000,6350.657352,61.9628806,1.5930176,0.1757813
1969-07-20T20:11:59.885125Z,126.721000,,61.2817383,1.2854004,0.2846445
1969-07-20T20:12:01.164125Z,128.000000,,60.8312989,1.3842773,0.3845215
1969-07-20T20:12:01.887125Z,128.723000,,60.2050781,0.9997559,0.4284668
1969-07-20T20:12:03.164125Z,130.000000,6138.531792,60.2929687,0.9997559,0.5383301
1969-07-20T20:12:03.895125Z,130.731000,,59.9633789,0.6701660,0.5383301
1969-07-20T20:12:05.164125Z,132.000000,6072.755952,60.5346680,0.6152344,0.6262207
1969-07-20T20:12:05.887125Z,132.723000,,60.5017090,0.4614258,0.6262207
1969-07-20T20:12:07.164125Z,134.000000,5987.247360,61.2268066,0.3735352,0.6481934
1969-07-20T20:12:07.887125Z,134.723000,,61.2597656,0.4724121,0.6591797
1969-07-20T20:12:09.164125Z,136.000000,5927.774784,61.4355469,0.4284668,0.6152344
1969-07-20T20:12:09.887125Z,136.723000,,61.3476562,0.8239746,0.6481934
1969-07-20T20:12:11.164125Z,138.000000,5821.161840,60.9082031,0.8789063,0.5932617
1969-07-20T20:12:11.895125Z,138.731000,,60.7653809,1.4941406,0.5822754
1969-07-20T20:12:13.164125Z,140.000000,5722.498080,59.8205566,1.7468262,0.5493164
1969-07-20T20:12:13.895125Z,140.731000,,59.7436523,2.3510742,0.4943848
1969-07-20T20:12:15.164125Z,142.000000,5579.437152,58.9196777,1.3073730,0.4289668
1969-07-20T20:12:15.957125Z,142.793000,,59.1833496,1.0217285,0.2856445
1969-07-20T20:12:17.164125Z,144.000000,5480.773392,58.7878418,0.0549316,0.1538086
1969-07-20T20:12:17.937125Z,144.773000,,59.6118164,0.3405762,0.0219727
1969-07-20T20:12:19.164125Z,146.000000,5442.950760,59.9743652,0.8020020,-0.1318359
1969-07-20T20:12:19.895125Z,146.731000,,60.6445313,1.2634277,-0.2526855
1969-07-20T20:12:21.164125Z,148.000000,5340.998208,59.6777344,1.0107422,-0.5053711
1969-07-20T20:12:21.895125Z,148.731000,,59.4140625,0.5822754,-0.5932617
1969-07-20T20:12:23.164125Z,150.000000,5240.691576,58.5681152,0.3625488,-0.6921387
1969-07-20T20:12:23.895125Z,150.731000,,58.4033203,-0.0329590,-0.6152344
1969-07-20T20:12:25.164125Z,152.000000,5138.739024,58.2495117,0.3405762,-0.5603027
1969-07-20T20:12:25.826125Z,152.662000,,58.2385254,0.2197266,-9.5273438
1969-07-20T20:12:27.164125Z,154.000000,5059.808016,58.6560059,1.0766602,-0.4614258
1969-07-20T20:12:27.895125Z,154.731000,,58.7219238,1.1425781,-0.4614258
1969-07-20T20:12:29.164125Z,156.000000,5005.541424,59.1833496,1.8896484,-0.4394531
1969-07-20T20:12:29.895125Z,156.731000,,58.4912109,1.4611816,-0.4504395
1969-07-20T20:12:31.164125Z,158.000000,4883.856120,58.1945801,1.1755371,-0.4833984
1969-07-20T20:12:31.895125Z,158.731000,,57.4914551,0.9118652,-0.5273438
1969-07-20T20:12:33.164125Z,160.000000,4780.260696,57.5436867,0.7800293,-0.6042480
1969-07-20T20:12:33.887125Z,160.723000,,57.0849608,0.9228516,-0.5493164
1969-07-20T20:12:35.164125Z,162.000000,4688.174520,57.5024414,1.0327148,-0.4833984
1969-07-20T20:12:35.887125Z,162.723000,,57.2827148,1.4501953,-0.4174805
1969-07-20T20:12:37.164125Z,164.000000,4609.243512,57.7990723,1.5161133,-0.3735352
1969-07-20T20:12:37.895125Z,164.731000,,57.8979492,1.9445801,-0.3735351
1969-07-20T20:12:39.164125Z,166.000000,4518.800208,58.6120605,1.6040039,-0.3405762
1969-07-20T20:12:39.937125Z,166.773000,,58.7438965,1.6149902,-0.3845215
1969-07-20T20:12:41.164125Z,168.000000,4411.915992,58.5351562,0.4064941,-0.3845215
1969-07-20T20:12:42.055125Z,168.891000,,57.9748535,0.6591797,-0.4504395
1969-07-20T20:12:43.164125Z,170.000000,4311.606312,56.9860840,0.5603027,-0.4394531
1969-07-20T20:12:43.895125Z,170.731000,,56.8762207,0.9887695,-0.4614258
1969-07-20T20:12:45.164125Z,172.000000,4211.299680,56.6674805,0.8459473,-0.5383301
