time,css_0_>_sat.css_edge_0,css_0_>_sat.css_edge_1
2026-05-06T20:26:39.850340,5,1
2026-05-06T20:26:39.858239,5,1
2026-05-06T20:26:39.866572,5,1
2026-05-06T20:26:39.874905,5,1
2026-05-06T20:26:39.883238,5,1
2026-05-06T20:26:39.891571,5,1
2026-05-06T20:26:39.899904,5,1
2026-05-06T20:26:39.908237,5,1
2026-05-06T20:26:39.916570,5,1
2026-05-06T20:26:39.924903,5,1
2026-05-06T20:26:39.933236,5,1
2026-05-06T20:26:39.941569,5,1
2026-05-06T20:26:39.949902,5,1
2026-05-06T20:26:39.958235,5,1
2026-05-06T20:26:39.966568,5,1
2026-05-06T20:26:39.974901,5,1
2026-05-06T20:26:39.983234,5,1
2026-05-06T20:26:39.991567,5,1
2026-05-06T20:26:39.999900,5,1
2026-05-06T20:26:40.008233,5,1
2026-05-06T20:26:40.016566,5,1
2026-05-06T20:26:40.024899,5,1
2026-05-06T20:26:40.033232,5,1
2026-05-06T20:26:40.041565,5,1
2026-05-06T20:26:40.049898,5,1
2026-05-06T20:26:40.058231,5,1
2026-05-06T20:26:40.066564,5,1
2026-05-06T20:26:40.074897,5,1
2026-05-06T20:26:40.083230,5,1
2026-05-06T20:26:40.091563,5,1
2026-05-06T20:26:40.099896,5,1
2026-05-06T20:26:40.108229,5,1
2026-05-06T20:26:40.116562,5,1
2026-05-06T20:26:40.124895,5,1
2026-05-06T20:26:40.133228,5,1
2026-05-06T20:26:40.141561,5,1
2026-05-06T20:26:40.149894,5,1
2026-05-06T20:26:40.158227,5,1
2026-05-06T20:26:40.166560,5,1
2026-05-06T20:26:40.174893,5,1
2026-05-06T20:26:40.183226,5,1
2026-05-06T20:26:40.191559,5,1
2026-05-06T20:26:40.199892,5,1
2026-05-06T20:26:40.208225,5,1
2026-05-06T20:26:40.216558,5,1
2026-05-06T20:26:40.224891,5,1
2026-05-06T20:26:40.233224,5,1
2026-05-06T20:26:40.241557,5,1
2026-05-06T20:26:40.249890,5,1
2026-05-06T20:26:40.258223,5,1
2026-05-06T20:26:40.266556,5,1
2026-05-06T20:26:40.274889,5,1
2026-05-06T20:26:40.283222,5,1
2026-05-06T20:26:40.291555,5,1
2026-05-06T20:26:40.299888,5,1
2026-05-06T20:26:40.308221,5,1
2026-05-06T20:26:40.316554,5,1
2026-05-06T20:26:40.324887,5,1
2026-05-06T20:26:40.333220,5,1
2026-05-06T20:26:40.341553,5,1
2026-05-06T20:26:40.349886,5,1
2026-05-06T20:26:40.358219,5,1
2026-05-06T20:26:40.366552,5,1
2026-05-06T20:26:40.374885,5,1
2026-05-06T20:26:40.383218,5,1
2026-05-06T20:26:40.391551,5,1
2026-05-06T20:26:40.399884,5,1
2026-05-06T20:26:40.408217,5,1
2026-05-06T20:26:40.416550,5,1
2026-05-06T20:26:40.424883,5,1
2026-05-06T20:26:40.433216,5,1
2026-05-06T20:26:40.441549,5,1
2026-05-06T20:26:40.449882,5,1
2026-05-06T20:26:40.458215,5,1
2026-05-06T20:26:40.466548,5,1
2026-05-06T20:26:40.474881,5,1
2026-05-06T20:26:40.483214,5,1
2026-05-06T20:26:40.491547,5,1
2026-05-06T20:26:40.499880,5,1
2026-05-06T20:26:40.508213,5,1
2026-05-06T20:26:40.516546,5,1
2026-05-06T20:26:40.524879,5,1
2026-05-06T20:26:40.533212,5,1
2026-05-06T20:26:40.541545,5,1
2026-05-06T20:26:40.549878,5,1
2026-05-06T20:26:40.558211,5,1
2026-05-06T20:26:40.566544,5,1
2026-05-06T20:26:40.574877,5,1
2026-05-06T20:26:40.583210,5,1
2026-05-06T20:26:40.591543,5,1
2026-05-06T20:26:40.599876,5,1
2026-05-06T20:26:40.608209,5,1
2026-05-06T20:26:40.616542,5,1
2026-05-06T20:26:40.624875,5,1
2026-05-06T20:26:40.633208,5,1
2026-05-06T20:26:40.641541,5,1
2026-05-06T20:26:40.649874,5,1
2026-05-06T20:26:40.658207,5,1
2026-05-06T20:26:40.666540,5,1
2026-05-06T20:26:40.674873,5,1
2026-05-06T20:26:40.683206,5,1
