time,ore_sat.world_pos_q0,ore_sat.world_pos_q1,ore_sat.world_pos_q2,ore_sat.world_pos_q3,ore_sat.world_pos_x,ore_sat.world_pos_y,ore_sat.world_pos_z
2026-08-20T19:15:39.931332,0.0,0.0,0.0,1.0,-4302097.779462299,-3609888.660035412,3795167.739124752
2026-08-20T19:15:39.990198,0.00335426355578598,0.0033540815238166984,0.003347698237676375,0.9999831458427884,-4302056.702430825,-3609937.612958834,3795167.738787184
2026-08-20T19:15:39.998531,0.006703825730198673,0.006703323135633339,0.00668415093544665,0.9999327208896559,-4302015.625017048,-3609986.5655614566,3795167.7381120473
2026-08-20T19:15:40.006864,0.010048553549994331,0.010047635372812502,0.01000924671726128,0.9998489318767716,-4301974.547220972,-3610035.517843275,3795167.7370993425
2026-08-20T19:15:40.015197,0.013388315268969232,0.013386930006035986,0.013322875866735612,0.9997319861332395,-4301933.469042602,-3610084.469804284,3795167.7357490696
2026-08-20T19:15:40.023530,0.016722980366516114,0.01672112003491219,0.016624930320726046,0.9995820915584022,-4301892.3904819405,-3610133.4214444803,3795167.7340612286
2026-08-20T19:15:40.031863,0.020052419546069823,0.020050119683508227,0.019915303662808186,0.9993994565993337,-4301851.311538991,-3610182.372763859,3795167.732035819
2026-08-20T19:15:40.040196,0.023376504733443555,0.0233738443958081,0.02319389111665887,0.9991842902285225,-4301810.232213757,-3610231.3237624164,3795167.7296728413
2026-08-20T19:15:40.048529,0.02669510907505726,0.02669221083109844,0.02646058953934411,0.9989368019217479,-4301769.1525062425,-3610280.2744401474,3795167.7269722954
2026-08-20T19:15:40.056862,0.030008106936059462,0.030005136859283056,0.02971529741451469,0.9986572016361454,-4301728.072416452,-3610329.224797048,3795167.723934181
2026-08-20T19:15:40.065195,0.0333153738983441,0.03331254155612777,0.032957914845511534,0.9983456997884653,-4301686.991944388,-3610378.1748331143,3795167.7205584985
2026-08-20T19:15:40.073528,0.036616786758463755,0.03661434519843683,0.03618834354838253,0.9980025072335235,-4301645.911090054,-3610427.124548341,3795167.716845248
2026-08-20T19:15:40.081861,0.03991222352544051,0.03991046925916221,0.03940648684481281,0.9976278352428415,-4301604.829853454,-3610476.0739427246,3795167.712794429
2026-08-20T19:15:40.090194,0.04320156341847625,0.043200836402447325,0.04261224965497031,0.9972218954834832,-4301563.748234592,-3610525.02301626,3795167.708406042
2026-08-20T19:15:40.098527,0.04648468686456339,0.04648537047860619,0.045805538490268465,0.9967848999970791,-4301522.6662334725,-3610573.9717689436,3795167.7036800864
2026-08-20T19:15:40.106860,0.049761475495997694,0.04976399651903962,0.04898626144604789,0.9963170611790474,-4301481.583850098,-3610622.9202007703,3795167.698616563
2026-08-20T19:15:40.115193,0.05303181214779453,0.05303664073108969,0.05215432819417884,0.9958185917580049,-4301440.501084471,-3610671.8683117363,3795167.6932154708
2026-08-20T19:15:40.123526,0.05629558085500992,0.05630323049283362,0.05530964997558626,0.9952897047753716,-4301399.417936597,-3610720.816101837,3795167.6874768105
2026-08-20T19:15:40.131859,0.05955266684996771,0.05956369434781851,0.058452139592699216,0.9947306135651662,-4301358.334406479,-3610769.763571068,3795167.681400582
2026-08-20T19:15:40.140192,0.06280295655939451,0.06281796199973835,0.06158171140182664,0.9941415317339982,-4301317.250494121,-3610818.710719425,3795167.6749867857
2026-08-20T19:15:40.148525,0.06604633760146342,0.06606596430705422,0.06469828130546086,0.9935226731412484,-4301276.166199526,-3610867.6575469044,3795167.6682354207
