time,ore_sat.world_accel_αx,ore_sat.world_accel_αy,ore_sat.world_accel_αz,ore_sat.world_accel_x,ore_sat.world_accel_y,ore_sat.world_accel_z
2026-08-20T19:15:39.931332,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-20T19:15:39.990198,-0.1315436408819515,-0.13678625037643388,-0.3206280044226422,5.505207041009234,4.619457413109948,-4.86098313983256
2026-08-20T19:15:39.998531,-0.1327829772067272,-0.13552008318604244,-0.32065481905927434,5.505154472245794,4.6195200521116915,-4.860983136678018
2026-08-20T19:15:40.006864,-0.13403087323524243,-0.13426210524656632,-0.3206648360564789,5.505101902994313,4.619582690703686,-4.860983133091462
2026-08-20T19:15:40.015197,-0.13528713329014516,-0.1330124577929825,-0.32065807740734475,5.5050493332548225,4.619645328885939,-4.860983129072915
2026-08-20T19:15:40.023530,-0.1365515615988442,-0.13177127991678647,-0.3206345673544558,5.504996763027322,4.619707966658442,-4.860983124622372
2026-08-20T19:15:40.031863,-0.13782396232844135,-0.13053870856135255,-0.32059433236380336,5.504944192311818,4.619770604021195,-4.860983119739839
2026-08-20T19:15:40.040196,-0.13910413962025453,-0.1293148785178,-0.3205374010985386,5.504891621108309,4.619833240974184,-4.860983114425306
2026-08-20T19:15:40.048529,-0.14039189762393015,-0.12809992242135723,-0.32046380439257793,5.504839049416793,4.619895877517396,-4.860983108678766
2026-08-20T19:15:40.056862,-0.1416870405311395,-0.12689397074821793,-0.32037357522406196,5.504786477237277,4.619958513650833,-4.860983102500225
2026-08-20T19:15:40.065195,-0.14298937260886013,-0.12569715181288432,-0.32026674868868826,5.504733904569789,4.620021149374508,-4.860983095889704
2026-08-20T19:15:40.073528,-0.14429869823223668,-0.12450959176598908,-0.32014336197291166,5.5046813314143055,4.620083784688387,-4.860983088847175
2026-08-20T19:15:40.081861,-0.1456148219170214,-0.12333141459259184,-0.32000345432703453,5.504628757770848,4.620146419592483,-4.860983081372651
2026-08-20T19:15:40.090194,-0.14693754835159173,-0.12216274211094291,-0.3198470670381848,5.5045761836394025,4.620209054086771,-4.860983073466121
2026-08-20T19:15:40.098527,-0.1482666824285414,-0.12100369397170758,-0.3196742434031956,5.504523609019994,4.62027168817127,-4.860983065127604
2026-08-20T19:15:40.106860,-0.14960202927584743,-0.11985438765764597,-0.31948502870139217,5.504471033912614,4.620334321845955,-4.860983056357079
2026-08-20T19:15:40.115193,-0.15094339428760647,-0.1187149384837407,-0.31927947016729374,5.504418458317286,4.62039695511084,-4.860983047154569
2026-08-20T19:15:40.123526,-0.15229058315434352,-0.11758545959776678,-0.3190576169632409,5.50436588223398,4.620459587965892,-4.8609830375200485
2026-08-20T19:15:40.131859,-0.15364340189288803,-0.11646606198129679,-0.3188195201519497,5.504313305662742,4.620522220411137,-4.860983027453544
2026-08-20T19:15:40.140192,-0.1550016568758199,-0.11535685445113567,-0.3185652326690097,5.504260728603534,4.620584852446535,-4.860983016955026
2026-08-20T19:15:40.148525,-0.15636515486048164,-0.11425794366117824,-0.3182948092953242,5.504208151056389,4.620647484072104,-4.860983006024513
2026-08-20T19:15:40.156858,-0.15773370301755651,-0.11316943410468225,-0.3180083066295053,5.504155573021314,4.620710115287845,-4.860982994662012
2026-08-20T19:15:40.165191,-0.15910710895921332,-0.1120914281169523,-0.3177057830602291,5.504102994498297,4.620772746093731,-4.860982982867506
2026-08-20T19:15:40.173524,-0.1604851807668149,-0.11102402587842605,-0.31738729873855936,5.504050415487357,4.6208353764897705,-4.860982970641007
2026-08-20T19:15:40.181857,-0.16186772701819221,-0.10996732541815828,-0.3170529155502453,5.503997835988484,4.620898006475951,-4.860982957982504
2026-08-20T19:15:40.190190,-0.1632545568144823,-0.1089214226176942,-0.316702697088002,5.5039452560017015,4.620960636052275,-4.860982944892014
2026-08-20T19:15:40.198523,-0.16464547980652933,-0.10788641121532794,-0.31633670862377794,5.50389267552699,4.6210232652187235,-4.860982931369514
2026-08-20T19:15:40.206856,-0.16604030622085175,-0.10686238281073653,-0.3159550170810198,5.50384009456438,4.621085893975311,-4.860982917415027
2026-08-20T19:15:40.215189,-0.1674388468851709,-0.10584942686998741,-0.31555769100693726,5.503787513113854,4.62114852232201,-4.860982903028532
2026-08-20T19:15:40.223522,-0.16884091325350542,-0.10484763073090725,-0.31514480054477767,5.503734931175438,4.621211150258834,-4.860982888210052
2026-08-20T19:15:40.231855,-0.17024631743082982,-0.10385707960881141,-0.31471641740611545,5.503682348749116,4.621273777785762,-4.860982872959564
2026-08-20T19:15:40.240188,-0.1716548721972967,-0.10287785660258258,-0.3142726148431618,5.503629765834897,4.621336404902792,-4.860982857277077
2026-08-20T19:15:40.248521,-0.17306639103202573,-0.10191004270109631,-0.31381346762110257,5.503577182432795,4.621399031609925,-4.860982841162595
2026-08-20T19:15:40.256854,-0.17448068813645798,-0.10095371678998337,-0.31333905199046935,5.50352459854281,4.621461657907155,-4.8609828246161175
2026-08-20T19:15:40.265187,-0.17589757845727597,-0.1000089556587254,-0.3128494456595498,5.503472014164948,4.621524283794469,-4.860982807637639
2026-08-20T19:15:40.273520,-0.17731687770889268,-0.09907583400807506,-0.31234472776684447,5.503419429299209,4.621586909271867,-4.860982790227162
2026-08-20T19:15:40.281853,-0.17873840239550706,-0.09815442445779637,-0.3118249788535721,5.503366843945619,4.621649534339358,-4.860982772384705
2026-08-20T19:15:40.290186,-0.18016196983273108,-0.09724479755471711,-0.3112902808362353,5.503314258104149,4.621712158996909,-4.860982754110235
2026-08-20T19:15:40.298519,-0.18158739816878522,-0.09634702178108795,-0.310740716979246,5.503261671774814,4.62177478324452,-4.860982735403763
2026-08-20T19:15:40.306852,-0.183014506405266,-0.0954611635632413,-0.3101763718676183,5.503209084957629,4.621837407082197,-4.8609827162652985
2026-08-20T19:15:40.315185,-0.1844431144174882,-0.0945872872805444,-0.30959733137973805,5.5031564976526095,4.621900030509941,-4.860982696694851
2026-08-20T19:15:40.323518,-0.18587304297439888,-0.0937254552746389,-0.3090036826602058,5.503103909859709,4.62196265352771,-4.860982676692375
