time,ore_sat.bias_est_0,ore_sat.bias_est_1,ore_sat.bias_est_2
2026-08-21T00:30:38.609510,0.0,0.0,0.0
2026-08-21T00:30:38.658997,-0.00009646017523387448,-0.0001646677055729297,0.00029251645388203275
2026-08-21T00:30:38.667330,0.24339601711356101,0.2607190896038559,0.3003772929974395
2026-08-21T00:30:38.675663,0.546562566478938,0.5913121396997221,0.7138888120528037
2026-08-21T00:30:38.683996,1.0915780798186203,0.9168201138149177,1.0792589647495494
2026-08-21T00:30:38.692329,1.3374907565050522,1.2963861158954337,1.5106156055391642
2026-08-21T00:30:38.700662,1.4280647073821402,1.3998951226882606,1.6750702869204575
2026-08-21T00:30:38.708995,1.5747433696500635,1.5211552365959036,1.7843851136344833
2026-08-21T00:30:38.717328,1.7412115318443497,1.6944753680311115,1.8776201326861135
2026-08-21T00:30:38.725661,1.8650385824421973,1.8155824772948543,1.9082118810888653
2026-08-21T00:30:38.733994,1.8803675347314668,1.869956411646968,1.963897406992876
2026-08-21T00:30:38.742327,2.0228037793610936,2.0058326118488194,1.9452775098323307
2026-08-21T00:30:38.750660,2.07617261929894,2.0324240894905166,1.9031120142126186
2026-08-21T00:30:38.758993,2.0835449210542296,2.0317343248581308,1.8894205500700043
2026-08-21T00:30:38.767326,2.0624300254675463,2.0325011229395122,1.9179619004887654
2026-08-21T00:30:38.775659,2.0771189688226337,2.0443885895344667,1.9116719214270141
2026-08-21T00:30:38.783992,2.018108861458493,2.027621173341488,1.9746834951807395
2026-08-21T00:30:38.792325,2.0237664601878644,2.0360919871740863,1.9785128106718097
2026-08-21T00:30:38.800658,2.031494807532619,2.03758084856047,1.9720037016906775
2026-08-21T00:30:38.808991,2.040031973897794,2.040974747043677,1.9661722102459767
2026-08-21T00:30:38.817324,2.022463310517389,2.0335800604595056,1.9832300479228557
2026-08-21T00:30:38.825657,2.0210133483313912,2.0259406714060697,1.9792063701829805
2026-08-21T00:30:38.833990,2.0121701265612457,2.018325323615631,1.9843820729181403
2026-08-21T00:30:38.842323,2.009425961685288,2.015028162515992,1.9860396658560202
2026-08-21T00:30:38.850656,2.0070516909248983,2.0219645658161562,1.996858895971609
2026-08-21T00:30:38.858989,1.9967402601416515,2.0184526061185695,2.0071918028063513
2026-08-21T00:30:38.867322,2.003533821254947,2.0318339296196934,2.012699257877268
2026-08-21T00:30:38.875655,2.0095162999525233,2.03665795502402,2.011271504078183
2026-08-21T00:30:38.883988,1.999359061041581,2.0300106236307407,2.017884084467867
2026-08-21T00:30:38.892321,2.0032370619239477,2.0278490864425023,2.012527864405257
2026-08-21T00:30:38.900654,1.9966270000941018,2.0238798851852957,2.0170443350650045
2026-08-21T00:30:38.908987,2.003292172992894,2.025927079988095,2.0122689509587306
2026-08-21T00:30:38.917320,2.0055099579767193,2.0256403381982464,2.0102065980643977
2026-08-21T00:30:38.925653,1.999278292792918,2.020388190700326,2.012732694745391
2026-08-21T00:30:38.933986,2.001262781095361,2.021869396209595,2.012326710084393
2026-08-21T00:30:38.942319,1.999727556070659,2.021788545450963,2.014140476053598
2026-08-21T00:30:38.950652,2.0102770915194474,2.0249172165797695,2.006637120861398
2026-08-21T00:30:38.958985,2.0138123616561567,2.0263844884399695,2.004626117205878
2026-08-21T00:30:38.967318,2.015414128599035,2.026111026161655,2.003099843287624
2026-08-21T00:30:38.975651,2.015506261807821,2.0203977750704945,1.9987866968848045
2026-08-21T00:30:38.983984,2.0102445018115365,2.017131718045857,2.0011795700134014
2026-08-21T00:30:38.992317,2.018492979431005,2.0163051872812767,1.9934160316571634
2026-08-21T00:30:39.000650,2.0187612092566125,2.0182213655285404,1.9946423319465592
2026-08-21T00:30:39.008983,2.0161249633515292,2.01539080092529,1.9949056970928865
2026-08-21T00:30:39.017316,2.019626562064043,2.0158183837251196,1.99238529703386
2026-08-21T00:30:39.025649,2.0188354317953867,2.0172906008413194,1.9941300559408561
2026-08-21T00:30:39.033982,2.015377630413606,2.015156022165798,1.9955148942530962
2026-08-21T00:30:39.042315,2.0182703419552435,2.0172942529209004,1.9948198665660544
2026-08-21T00:30:39.050648,2.019239097876776,2.019273153257193,1.9955161471309781
2026-08-21T00:30:39.058981,2.016133384806868,2.0185451702253623,1.9975024155417613
2026-08-21T00:30:39.067314,2.0154072019323133,2.016761579455885,1.9970385702939013
2026-08-21T00:30:39.075647,2.0146174259527174,2.0151504965754548,1.9967219400450715
2026-08-21T00:30:39.083980,2.0211614692057527,2.017315643431751,1.9936002350275384
2026-08-21T00:30:39.092313,2.0197088598796022,2.0156790454710687,1.9936713407881936
2026-08-21T00:30:39.100646,2.0180142430102133,2.0162169080201,1.9952302985651753
2026-08-21T00:30:39.108979,2.018246857015404,2.016375058290486,1.995287101162142
2026-08-21T00:30:39.117312,2.0119612926378445,2.0144392386010956,1.9983224726544093
2026-08-21T00:30:39.125645,2.011976745436495,2.014077950049033,1.9982626703209383
2026-08-21T00:30:39.133978,2.014057864488338,2.015277996506037,1.9978020374578087
2026-08-21T00:30:39.142311,2.0164899511983205,2.0151265957871254,1.9963846032011885
2026-08-21T00:30:39.150644,2.0156476775056715,2.013500616760649,1.996091193712806
