time,ore_sat.force_τx,ore_sat.force_τy,ore_sat.force_τz,ore_sat.force_x,ore_sat.force_y,ore_sat.force_z
2026-08-21T00:30:38.609510,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.658997,-0.002,-0.002,-0.002,15.56457542385096,13.060333930729424,-13.730635200964514
2026-08-21T00:30:38.667330,-0.0020000256230712377,-0.0019999738222051034,-0.002000000554388128,15.564426807453332,13.060511034602412,-13.730635195914976
2026-08-21T00:30:38.675663,-0.0020000772231545984,-0.0019999218052380967,-0.0020000009685876116,15.564278189673448,13.060688137315319,-13.730635189646156
2026-08-21T00:30:38.683996,-0.0020001551420541805,-0.0019998442964817937,-0.00200000054938579,15.564129570511266,13.06086523886808,-13.730635182158005
2026-08-21T00:30:38.692329,-0.0020002597094294135,-0.0019997416519017736,-0.001999998605120144,15.563980949966838,13.061042339260704,-13.730635173450557
2026-08-21T00:30:38.700662,-0.0020003912427907994,-0.0019996142358686348,-0.0019999944458616316,15.563832328040174,13.061219438493188,-13.730635163523809
2026-08-21T00:30:38.708995,-0.002000550047499201,-0.0019994624209798357,-0.0019999873835953056,15.563683704731265,13.061396536565486,-13.730635152377742
2026-08-21T00:30:38.717328,-0.002000736416768652,-0.001999286587881177,-0.001999976732398198,15.563535080040149,13.06157363347761,-13.730635140012378
2026-08-21T00:30:38.725661,-0.002000950631672617,-0.0019990871250879904,-0.001999961808614451,15.563386453966816,13.06175072922952,-13.730635126427698
2026-08-21T00:30:38.733994,-0.002001192961153659,-0.001998864428806096,-0.001999941931027681,15.563237826511292,13.061927823821215,-13.730635111623709
2026-08-21T00:30:38.742327,-0.0020014636620364627,-0.001998618902752578,-0.001999916421030557,15.563089197673593,13.062104917252677,-13.730635095600416
2026-08-21T00:30:38.750660,-0.002001762979044155,-0.0019983509579764524,-0.001999884602791586,15.562940567453733,13.0622820095239,-13.730635078357825
2026-08-21T00:30:38.758993,-0.0020020911448178818,-0.001998061012679263,-0.0019998458034190896,15.562791935851719,13.06245910063485,-13.730635059895919
2026-08-21T00:30:38.767326,-0.0020024483799395668,-0.001997749492035681,-0.0019997993531223543,15.562643302867563,13.062636190585517,-13.7306350402147
2026-08-21T00:30:38.775659,-0.0020028348929578294,-0.0019974168280141543,-0.0019997445853699595,15.562494668501282,13.062813279375892,-13.730635019314182
2026-08-21T00:30:38.783992,-0.002003250880416978,-0.001997063459197667,-0.001999680837045263,15.562346032752883,13.06299036700595,-13.730634997194347
2026-08-21T00:30:38.792325,-0.002003696526889046,-0.001996689830604649,-0.0019996074485990373,15.562197395622391,13.063167453475687,-13.730634973855217
2026-08-21T00:30:38.800658,-0.002004172005008805,-0.001996296393510103,-0.001999523764199252,15.562048757109814,13.063344538785083,-13.730634949296777
2026-08-21T00:30:38.808991,-0.0020046774755117084,-0.0019958836052669953,-0.001999429131878002,15.561900117215163,13.063521622934118,-13.730634923519034
