time,rw_2.rw_force_0,rw_2.rw_force_1,rw_2.rw_force_2,rw_2.rw_force_3,rw_2.rw_force_4,rw_2.rw_force_5
2026-08-20T19:15:39.931332,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-20T19:15:39.990198,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:39.998531,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.006864,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.015197,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.023530,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.031863,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.040196,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.048529,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.056862,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.065195,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.073528,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.081861,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.090194,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.098527,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.106860,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.115193,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.123526,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.131859,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.140192,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.148525,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.156858,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.165191,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.173524,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.181857,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.190190,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.198523,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.206856,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.215189,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.223522,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.231855,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.240188,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.248521,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.256854,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.265187,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.273520,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.281853,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.290186,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.298519,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.306852,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.315185,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.323518,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.331851,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.340184,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.348517,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.356850,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.365183,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.373516,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.381849,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.390182,-0.0,-0.002,-0.0,0.0,0.0,0.0
2026-08-20T19:15:40.398515,-0.0,-0.002,-0.0,0.0,0.0,0.0
