time,css_0_>_sat.css_edge_0,css_0_>_sat.css_edge_1
2026-08-21T00:30:38.609510,5,1
2026-08-21T00:30:38.658997,5,1
2026-08-21T00:30:38.667330,5,1
2026-08-21T00:30:38.675663,5,1
2026-08-21T00:30:38.683996,5,1
2026-08-21T00:30:38.692329,5,1
2026-08-21T00:30:38.700662,5,1
2026-08-21T00:30:38.708995,5,1
2026-08-21T00:30:38.717328,5,1
2026-08-21T00:30:38.725661,5,1
2026-08-21T00:30:38.733994,5,1
2026-08-21T00:30:38.742327,5,1
2026-08-21T00:30:38.750660,5,1
2026-08-21T00:30:38.758993,5,1
2026-08-21T00:30:38.767326,5,1
2026-08-21T00:30:38.775659,5,1
2026-08-21T00:30:38.783992,5,1
2026-08-21T00:30:38.792325,5,1
2026-08-21T00:30:38.800658,5,1
2026-08-21T00:30:38.808991,5,1
2026-08-21T00:30:38.817324,5,1
2026-08-21T00:30:38.825657,5,1
2026-08-21T00:30:38.833990,5,1
2026-08-21T00:30:38.842323,5,1
2026-08-21T00:30:38.850656,5,1
2026-08-21T00:30:38.858989,5,1
2026-08-21T00:30:38.867322,5,1
2026-08-21T00:30:38.875655,5,1
2026-08-21T00:30:38.883988,5,1
2026-08-21T00:30:38.892321,5,1
2026-08-21T00:30:38.900654,5,1
2026-08-21T00:30:38.908987,5,1
2026-08-21T00:30:38.917320,5,1
2026-08-21T00:30:38.925653,5,1
2026-08-21T00:30:38.933986,5,1
2026-08-21T00:30:38.942319,5,1
2026-08-21T00:30:38.950652,5,1
2026-08-21T00:30:38.958985,5,1
2026-08-21T00:30:38.967318,5,1
2026-08-21T00:30:38.975651,5,1
2026-08-21T00:30:38.983984,5,1
2026-08-21T00:30:38.992317,5,1
2026-08-21T00:30:39.000650,5,1
2026-08-21T00:30:39.008983,5,1
2026-08-21T00:30:39.017316,5,1
2026-08-21T00:30:39.025649,5,1
2026-08-21T00:30:39.033982,5,1
2026-08-21T00:30:39.042315,5,1
2026-08-21T00:30:39.050648,5,1
2026-08-21T00:30:39.058981,5,1
2026-08-21T00:30:39.067314,5,1
2026-08-21T00:30:39.075647,5,1
2026-08-21T00:30:39.083980,5,1
2026-08-21T00:30:39.092313,5,1
2026-08-21T00:30:39.100646,5,1
2026-08-21T00:30:39.108979,5,1
2026-08-21T00:30:39.117312,5,1
2026-08-21T00:30:39.125645,5,1
2026-08-21T00:30:39.133978,5,1
2026-08-21T00:30:39.142311,5,1
2026-08-21T00:30:39.150644,5,1
2026-08-21T00:30:39.158977,5,1
2026-08-21T00:30:39.167310,5,1
2026-08-21T00:30:39.175643,5,1
2026-08-21T00:30:39.183976,5,1
2026-08-21T00:30:39.192309,5,1
2026-08-21T00:30:39.200642,5,1
2026-08-21T00:30:39.208975,5,1
2026-08-21T00:30:39.217308,5,1
2026-08-21T00:30:39.225641,5,1
2026-08-21T00:30:39.233974,5,1
2026-08-21T00:30:39.242307,5,1
2026-08-21T00:30:39.250640,5,1
2026-08-21T00:30:39.258973,5,1
2026-08-21T00:30:39.267306,5,1
2026-08-21T00:30:39.275639,5,1
2026-08-21T00:30:39.283972,5,1
2026-08-21T00:30:39.292305,5,1
2026-08-21T00:30:39.300638,5,1
2026-08-21T00:30:39.308971,5,1
2026-08-21T00:30:39.317304,5,1
2026-08-21T00:30:39.325637,5,1
2026-08-21T00:30:39.333970,5,1
2026-08-21T00:30:39.342303,5,1
2026-08-21T00:30:39.350636,5,1
2026-08-21T00:30:39.358969,5,1
2026-08-21T00:30:39.367302,5,1
2026-08-21T00:30:39.375635,5,1
2026-08-21T00:30:39.383968,5,1
2026-08-21T00:30:39.392301,5,1
2026-08-21T00:30:39.400634,5,1
2026-08-21T00:30:39.408967,5,1
2026-08-21T00:30:39.417300,5,1
2026-08-21T00:30:39.425633,5,1
2026-08-21T00:30:39.433966,5,1
2026-08-21T00:30:39.442299,5,1
2026-08-21T00:30:39.450632,5,1
2026-08-21T00:30:39.458965,5,1
2026-08-21T00:30:39.467298,5,1
2026-08-21T00:30:39.475631,5,1
2026-08-21T00:30:39.483964,5,1
