time,rw_1.rw_axis.0,rw_1.rw_axis.1,rw_1.rw_axis.2
2026-03-20T06:14:03.922329,1.0,0.0,0.0
2026-03-20T06:14:03.932335,1.0,0.0,0.0
2026-03-20T06:14:03.940668,1.0,0.0,0.0
2026-03-20T06:14:03.949001,1.0,0.0,0.0
2026-03-20T06:14:03.957334,1.0,0.0,0.0
2026-03-20T06:14:03.965667,1.0,0.0,0.0
2026-03-20T06:14:03.974,1.0,0.0,0.0
2026-03-20T06:14:03.982333,1.0,0.0,0.0
2026-03-20T06:14:03.990666,1.0,0.0,0.0
2026-03-20T06:14:03.998999,1.0,0.0,0.0
2026-03-20T06:14:04.007332,1.0,0.0,0.0
2026-03-20T06:14:04.015665,1.0,0.0,0.0
2026-03-20T06:14:04.023998,1.0,0.0,0.0
2026-03-20T06:14:04.032331,1.0,0.0,0.0
2026-03-20T06:14:04.040664,1.0,0.0,0.0
2026-03-20T06:14:04.048997,1.0,0.0,0.0
2026-03-20T06:14:04.057330,1.0,0.0,0.0
2026-03-20T06:14:04.065663,1.0,0.0,0.0
2026-03-20T06:14:04.073996,1.0,0.0,0.0
2026-03-20T06:14:04.082329,1.0,0.0,0.0
2026-03-20T06:14:04.090662,1.0,0.0,0.0
2026-03-20T06:14:04.098995,1.0,0.0,0.0
2026-03-20T06:14:04.107328,1.0,0.0,0.0
2026-03-20T06:14:04.115661,1.0,0.0,0.0
2026-03-20T06:14:04.123994,1.0,0.0,0.0
2026-03-20T06:14:04.132327,1.0,0.0,0.0
2026-03-20T06:14:04.140660,1.0,0.0,0.0
2026-03-20T06:14:04.148993,1.0,0.0,0.0
2026-03-20T06:14:04.157326,1.0,0.0,0.0
2026-03-20T06:14:04.165659,1.0,0.0,0.0
2026-03-20T06:14:04.173992,1.0,0.0,0.0
2026-03-20T06:14:04.182325,1.0,0.0,0.0
2026-03-20T06:14:04.190658,1.0,0.0,0.0
2026-03-20T06:14:04.198991,1.0,0.0,0.0
2026-03-20T06:14:04.207324,1.0,0.0,0.0
2026-03-20T06:14:04.215657,1.0,0.0,0.0
2026-03-20T06:14:04.223990,1.0,0.0,0.0
2026-03-20T06:14:04.232323,1.0,0.0,0.0
2026-03-20T06:14:04.240656,1.0,0.0,0.0
2026-03-20T06:14:04.248989,1.0,0.0,0.0
2026-03-20T06:14:04.257322,1.0,0.0,0.0
2026-03-20T06:14:04.265655,1.0,0.0,0.0
2026-03-20T06:14:04.273988,1.0,0.0,0.0
2026-03-20T06:14:04.282321,1.0,0.0,0.0
2026-03-20T06:14:04.290654,1.0,0.0,0.0
2026-03-20T06:14:04.298987,1.0,0.0,0.0
2026-03-20T06:14:04.307320,1.0,0.0,0.0
2026-03-20T06:14:04.315653,1.0,0.0,0.0
2026-03-20T06:14:04.323986,1.0,0.0,0.0
2026-03-20T06:14:04.332319,1.0,0.0,0.0
2026-03-20T06:14:04.340652,1.0,0.0,0.0
2026-03-20T06:14:04.348985,1.0,0.0,0.0
2026-03-20T06:14:04.357318,1.0,0.0,0.0
2026-03-20T06:14:04.365651,1.0,0.0,0.0
2026-03-20T06:14:04.373984,1.0,0.0,0.0
2026-03-20T06:14:04.382317,1.0,0.0,0.0
2026-03-20T06:14:04.390650,1.0,0.0,0.0
2026-03-20T06:14:04.398983,1.0,0.0,0.0
2026-03-20T06:14:04.407316,1.0,0.0,0.0
2026-03-20T06:14:04.415649,1.0,0.0,0.0
2026-03-20T06:14:04.423982,1.0,0.0,0.0
2026-03-20T06:14:04.432315,1.0,0.0,0.0
2026-03-20T06:14:04.440648,1.0,0.0,0.0
2026-03-20T06:14:04.448981,1.0,0.0,0.0
2026-03-20T06:14:04.457314,1.0,0.0,0.0
2026-03-20T06:14:04.465647,1.0,0.0,0.0
2026-03-20T06:14:04.473980,1.0,0.0,0.0
2026-03-20T06:14:04.482313,1.0,0.0,0.0
2026-03-20T06:14:04.490646,1.0,0.0,0.0
2026-03-20T06:14:04.498979,1.0,0.0,0.0
2026-03-20T06:14:04.507312,1.0,0.0,0.0
2026-03-20T06:14:04.515645,1.0,0.0,0.0
2026-03-20T06:14:04.523978,1.0,0.0,0.0
2026-03-20T06:14:04.532311,1.0,0.0,0.0
2026-03-20T06:14:04.540644,1.0,0.0,0.0
2026-03-20T06:14:04.548977,1.0,0.0,0.0
2026-03-20T06:14:04.557310,1.0,0.0,0.0
2026-03-20T06:14:04.565643,1.0,0.0,0.0
2026-03-20T06:14:04.573976,1.0,0.0,0.0
2026-03-20T06:14:04.582309,1.0,0.0,0.0
2026-03-20T06:14:04.590642,1.0,0.0,0.0
2026-03-20T06:14:04.598975,1.0,0.0,0.0
2026-03-20T06:14:04.607308,1.0,0.0,0.0
2026-03-20T06:14:04.615641,1.0,0.0,0.0
2026-03-20T06:14:04.623974,1.0,0.0,0.0
2026-03-20T06:14:04.632307,1.0,0.0,0.0
2026-03-20T06:14:04.640640,1.0,0.0,0.0
2026-03-20T06:14:04.648973,1.0,0.0,0.0
2026-03-20T06:14:04.657306,1.0,0.0,0.0
2026-03-20T06:14:04.665639,1.0,0.0,0.0
2026-03-20T06:14:04.673972,1.0,0.0,0.0
2026-03-20T06:14:04.682305,1.0,0.0,0.0
2026-03-20T06:14:04.690638,1.0,0.0,0.0
2026-03-20T06:14:04.698971,1.0,0.0,0.0
2026-03-20T06:14:04.707304,1.0,0.0,0.0
2026-03-20T06:14:04.715637,1.0,0.0,0.0
2026-03-20T06:14:04.723970,1.0,0.0,0.0
2026-03-20T06:14:04.732303,1.0,0.0,0.0
2026-03-20T06:14:04.740636,1.0,0.0,0.0
2026-03-20T06:14:04.748969,1.0,0.0,0.0
2026-03-20T06:14:04.757302,1.0,0.0,0.0
