time,ore_sat.ang_vel_est_0,ore_sat.ang_vel_est_1,ore_sat.ang_vel_est_2
2026-08-20T19:15:39.931332,0.0,0.0,0.0
2026-08-20T19:15:39.990198,2.8061325455353185,2.8061330401662463,2.8061329752170856
2026-08-20T19:15:39.998531,2.80513280874705,2.8051578224976117,2.8031685588332236
2026-08-20T19:15:40.006864,2.560544134494774,2.543134179814296,2.5004118823599373
2026-08-20T19:15:40.015197,2.256281388166227,2.2114012443447226,2.084228463374883
2026-08-20T19:15:40.023530,1.7101696778636495,1.8847533848550875,1.7161864107475937
2026-08-20T19:15:40.031863,1.4631608042142792,1.5040474974002505,1.2821578700273175
2026-08-20T19:15:40.040196,1.371490656374257,1.3993986052331424,1.115031288715397
2026-08-20T19:15:40.048529,1.2237157971433523,1.2769986059512854,1.0030445620706119
2026-08-20T19:15:40.056862,1.05615143798598,1.1025385891420383,0.907137643088193
2026-08-20T19:15:40.065195,0.931228190424978,0.9802915945042943,0.8738739947547915
2026-08-20T19:15:40.073528,0.9148030411725332,0.924777774778184,0.81551656892041
2026-08-20T19:15:40.081861,0.7712705995795059,0.7877616892024237,0.831464566150353
2026-08-20T19:15:40.090194,0.716805562678152,0.7600303261864791,0.8709581618399809
2026-08-20T19:15:40.098527,0.7083370639593394,0.759580205444562,0.8819777260526727
2026-08-20T19:15:40.106860,0.7283557625827348,0.7576735219890023,0.8507644757037531
2026-08-20T19:15:40.115193,0.712570622264161,0.7446461700198408,0.8543825548354189
2026-08-20T19:15:40.123526,0.7704845326648888,0.7602737008386229,0.7886990811519068
2026-08-20T19:15:40.131859,0.7637307369721964,0.7506630016318865,0.782197865730601
2026-08-20T19:15:40.140192,0.7549068976569036,0.7480348491037674,0.7860352536124025
2026-08-20T19:15:40.148525,0.7452735343281858,0.7435010652463112,0.789194845127118
2026-08-20T19:15:40.156858,0.7617460007450383,0.7497558664562152,0.7694651075204788
2026-08-20T19:15:40.165191,0.7620997659674877,0.7562553701353005,0.7708168853305293
2026-08-20T19:15:40.173524,0.7698467907742166,0.7627308325514579,0.7629692826654424
2026-08-20T19:15:40.181857,0.7714947586866652,0.7648881082768493,0.7586397897976598
2026-08-20T19:15:40.190190,0.7727728324837781,0.7568118196026741,0.745148659751778
2026-08-20T19:15:40.198523,0.7819880663035716,0.7591838939260489,0.7321438529871589
2026-08-20T19:15:40.206856,0.7740983082270372,0.7446626850510119,0.7239644979857385
