time,rw_1.rw_force_0,rw_1.rw_force_1,rw_1.rw_force_2,rw_1.rw_force_3,rw_1.rw_force_4,rw_1.rw_force_5
2026-08-21T00:30:38.609510,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.658997,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.667330,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.675663,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.683996,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.692329,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.700662,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.708995,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.717328,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.725661,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.733994,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.742327,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.750660,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.758993,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.767326,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.775659,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.783992,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.792325,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.800658,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.808991,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.817324,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.825657,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.833990,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.842323,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.850656,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.858989,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.867322,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.875655,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.883988,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.892321,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.900654,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.908987,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.917320,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.925653,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.933986,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.942319,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.950652,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.958985,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.967318,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.975651,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.983984,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.992317,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.000650,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.008983,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.017316,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.025649,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.033982,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.042315,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.050648,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.058981,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.067314,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.075647,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.083980,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.092313,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.100646,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.108979,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.117312,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.125645,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.133978,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.142311,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.150644,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.158977,-0.002,0.0,0.0,0.0,0.0,0.0
