time,css_2.css_fov.0
2026-04-19T15:52:06.406160,1.5707963267948966
2026-04-19T15:52:06.416629,1.5707963267948966
2026-04-19T15:52:06.424962,1.5707963267948966
2026-04-19T15:52:06.433295,1.5707963267948966
2026-04-19T15:52:06.441628,1.5707963267948966
2026-04-19T15:52:06.449961,1.5707963267948966
2026-04-19T15:52:06.458294,1.5707963267948966
2026-04-19T15:52:06.466627,1.5707963267948966
2026-04-19T15:52:06.474960,1.5707963267948966
2026-04-19T15:52:06.483293,1.5707963267948966
2026-04-19T15:52:06.491626,1.5707963267948966
2026-04-19T15:52:06.499959,1.5707963267948966
2026-04-19T15:52:06.508292,1.5707963267948966
2026-04-19T15:52:06.516625,1.5707963267948966
2026-04-19T15:52:06.524958,1.5707963267948966
2026-04-19T15:52:06.533291,1.5707963267948966
2026-04-19T15:52:06.541624,1.5707963267948966
2026-04-19T15:52:06.549957,1.5707963267948966
2026-04-19T15:52:06.558290,1.5707963267948966
2026-04-19T15:52:06.566623,1.5707963267948966
2026-04-19T15:52:06.574956,1.5707963267948966
2026-04-19T15:52:06.583289,1.5707963267948966
2026-04-19T15:52:06.591622,1.5707963267948966
2026-04-19T15:52:06.599955,1.5707963267948966
2026-04-19T15:52:06.608288,1.5707963267948966
2026-04-19T15:52:06.616621,1.5707963267948966
2026-04-19T15:52:06.624954,1.5707963267948966
2026-04-19T15:52:06.633287,1.5707963267948966
2026-04-19T15:52:06.641620,1.5707963267948966
2026-04-19T15:52:06.649953,1.5707963267948966
2026-04-19T15:52:06.658286,1.5707963267948966
2026-04-19T15:52:06.666619,1.5707963267948966
2026-04-19T15:52:06.674952,1.5707963267948966
2026-04-19T15:52:06.683285,1.5707963267948966
2026-04-19T15:52:06.691618,1.5707963267948966
2026-04-19T15:52:06.699951,1.5707963267948966
2026-04-19T15:52:06.708284,1.5707963267948966
2026-04-19T15:52:06.716617,1.5707963267948966
2026-04-19T15:52:06.724950,1.5707963267948966
2026-04-19T15:52:06.733283,1.5707963267948966
2026-04-19T15:52:06.741616,1.5707963267948966
2026-04-19T15:52:06.749949,1.5707963267948966
2026-04-19T15:52:06.758282,1.5707963267948966
2026-04-19T15:52:06.766615,1.5707963267948966
2026-04-19T15:52:06.774948,1.5707963267948966
2026-04-19T15:52:06.783281,1.5707963267948966
2026-04-19T15:52:06.791614,1.5707963267948966
2026-04-19T15:52:06.799947,1.5707963267948966
2026-04-19T15:52:06.808280,1.5707963267948966
2026-04-19T15:52:06.816613,1.5707963267948966
2026-04-19T15:52:06.824946,1.5707963267948966
2026-04-19T15:52:06.833279,1.5707963267948966
2026-04-19T15:52:06.841612,1.5707963267948966
2026-04-19T15:52:06.849945,1.5707963267948966
2026-04-19T15:52:06.858278,1.5707963267948966
2026-04-19T15:52:06.866611,1.5707963267948966
2026-04-19T15:52:06.874944,1.5707963267948966
2026-04-19T15:52:06.883277,1.5707963267948966
2026-04-19T15:52:06.891610,1.5707963267948966
2026-04-19T15:52:06.899943,1.5707963267948966
2026-04-19T15:52:06.908276,1.5707963267948966
2026-04-19T15:52:06.916609,1.5707963267948966
2026-04-19T15:52:06.924942,1.5707963267948966
2026-04-19T15:52:06.933275,1.5707963267948966
2026-04-19T15:52:06.941608,1.5707963267948966
2026-04-19T15:52:06.949941,1.5707963267948966
2026-04-19T15:52:06.958274,1.5707963267948966
2026-04-19T15:52:06.966607,1.5707963267948966
2026-04-19T15:52:06.974940,1.5707963267948966
2026-04-19T15:52:06.983273,1.5707963267948966
2026-04-19T15:52:06.991606,1.5707963267948966
2026-04-19T15:52:06.999939,1.5707963267948966
2026-04-19T15:52:07.008272,1.5707963267948966
2026-04-19T15:52:07.016605,1.5707963267948966
2026-04-19T15:52:07.024938,1.5707963267948966
2026-04-19T15:52:07.033271,1.5707963267948966
2026-04-19T15:52:07.041604,1.5707963267948966
2026-04-19T15:52:07.049937,1.5707963267948966
2026-04-19T15:52:07.058270,1.5707963267948966
2026-04-19T15:52:07.066603,1.5707963267948966
2026-04-19T15:52:07.074936,1.5707963267948966
2026-04-19T15:52:07.083269,1.5707963267948966
2026-04-19T15:52:07.091602,1.5707963267948966
2026-04-19T15:52:07.099935,1.5707963267948966
2026-04-19T15:52:07.108268,1.5707963267948966
2026-04-19T15:52:07.116601,1.5707963267948966
2026-04-19T15:52:07.124934,1.5707963267948966
2026-04-19T15:52:07.133267,1.5707963267948966
2026-04-19T15:52:07.141600,1.5707963267948966
2026-04-19T15:52:07.149933,1.5707963267948966
2026-04-19T15:52:07.158266,1.5707963267948966
2026-04-19T15:52:07.166599,1.5707963267948966
2026-04-19T15:52:07.174932,1.5707963267948966
2026-04-19T15:52:07.183265,1.5707963267948966
2026-04-19T15:52:07.191598,1.5707963267948966
2026-04-19T15:52:07.199931,1.5707963267948966
2026-04-19T15:52:07.208264,1.5707963267948966
2026-04-19T15:52:07.216597,1.5707963267948966
2026-04-19T15:52:07.224930,1.5707963267948966
2026-04-19T15:52:07.233263,1.5707963267948966
2026-04-19T15:52:07.241596,1.5707963267948966
