time,rw_3.rw_ang_momentum.0,rw_3.rw_ang_momentum.1,rw_3.rw_ang_momentum.2
2026-03-20T03:21:04.545139,0.0,0.0,0.0
2026-03-20T03:21:04.554275,0.0,0.0,-0.000016666666666666667
2026-03-20T03:21:04.562608,0.0,0.0,-0.000033333333333333335
2026-03-20T03:21:04.570941,0.0,0.0,-0.00005
2026-03-20T03:21:04.579274,0.0,0.0,-0.00006666666666666667
2026-03-20T03:21:04.587607,0.0,0.0,-0.00008333333333333334
2026-03-20T03:21:04.595940,0.0,0.0,-0.00010000000000000002
2026-03-20T03:21:04.604273,0.0,0.0,-0.00011666666666666669
2026-03-20T03:21:04.612606,0.0,0.0,-0.00013333333333333337
2026-03-20T03:21:04.620939,0.0,0.0,-0.00015000000000000004
2026-03-20T03:21:04.629272,0.0,0.0,-0.00016666666666666672
2026-03-20T03:21:04.637605,0.0,0.0,-0.0001833333333333334
2026-03-20T03:21:04.645938,0.0,0.0,-0.00020000000000000006
2026-03-20T03:21:04.654271,0.0,0.0,-0.00021666666666666674
2026-03-20T03:21:04.662604,0.0,0.0,-0.0002333333333333334
2026-03-20T03:21:04.670937,0.0,0.0,-0.00025000000000000006
2026-03-20T03:21:04.679270,0.0,0.0,-0.00026666666666666673
2026-03-20T03:21:04.687603,0.0,0.0,-0.0002833333333333334
2026-03-20T03:21:04.695936,0.0,0.0,-0.0003000000000000001
2026-03-20T03:21:04.704269,0.0,0.0,-0.00031666666666666676
2026-03-20T03:21:04.712602,0.0,0.0,-0.00033333333333333343
2026-03-20T03:21:04.720935,0.0,0.0,-0.0003500000000000001
2026-03-20T03:21:04.729268,0.0,0.0,-0.0003666666666666668
2026-03-20T03:21:04.737601,0.0,0.0,-0.00038333333333333345
2026-03-20T03:21:04.745934,0.0,0.0,-0.00040000000000000013
2026-03-20T03:21:04.754267,0.0,0.0,-0.0004166666666666668
2026-03-20T03:21:04.762600,0.0,0.0,-0.0004333333333333335
2026-03-20T03:21:04.770933,0.0,0.0,-0.00045000000000000015
2026-03-20T03:21:04.779266,0.0,0.0,-0.0004666666666666668
2026-03-20T03:21:04.787599,0.0,0.0,-0.0004833333333333335
2026-03-20T03:21:04.795932,0.0,0.0,-0.0005000000000000001
2026-03-20T03:21:04.804265,0.0,0.0,-0.0005166666666666668
2026-03-20T03:21:04.812598,0.0,0.0,-0.0005333333333333335
2026-03-20T03:21:04.820931,0.0,0.0,-0.0005500000000000001
2026-03-20T03:21:04.829264,0.0,0.0,-0.0005666666666666668
2026-03-20T03:21:04.837597,0.0,0.0,-0.0005833333333333335
2026-03-20T03:21:04.845930,0.0,0.0,-0.0006000000000000002
2026-03-20T03:21:04.854263,0.0,0.0,-0.0006166666666666668
2026-03-20T03:21:04.862596,0.0,0.0,-0.0006333333333333335
2026-03-20T03:21:04.870929,0.0,0.0,-0.0006500000000000002
2026-03-20T03:21:04.879262,0.0,0.0,-0.0006666666666666669
2026-03-20T03:21:04.887595,0.0,0.0,-0.0006833333333333335
2026-03-20T03:21:04.895928,0.0,0.0,-0.0007000000000000002
2026-03-20T03:21:04.904261,0.0,0.0,-0.0007166666666666669
2026-03-20T03:21:04.912594,0.0,0.0,-0.0007333333333333336
2026-03-20T03:21:04.920927,0.0,0.0,-0.0007500000000000002
2026-03-20T03:21:04.929260,0.0,0.0,-0.0007666666666666669
2026-03-20T03:21:04.937593,0.0,0.0,-0.0007833333333333336
2026-03-20T03:21:04.945926,0.0,0.0,-0.0008000000000000003
2026-03-20T03:21:04.954259,0.0,0.0,-0.0008166666666666669
2026-03-20T03:21:04.962592,0.0,0.0,-0.0008333333333333336
2026-03-20T03:21:04.970925,0.0,0.0,-0.0008500000000000003
2026-03-20T03:21:04.979258,0.0,0.0,-0.000866666666666667
2026-03-20T03:21:04.987591,0.0,0.0,-0.0008833333333333336
2026-03-20T03:21:04.995924,0.0,0.0,-0.0009000000000000003
2026-03-20T03:21:05.004257,0.0,0.0,-0.000916666666666667
2026-03-20T03:21:05.012590,0.0,0.0,-0.0009333333333333336
2026-03-20T03:21:05.020923,0.0,0.0,-0.0009500000000000003
2026-03-20T03:21:05.029256,0.0,0.0,-0.000966666666666667
2026-03-20T03:21:05.037589,0.0,0.0,-0.0009833333333333337
2026-03-20T03:21:05.045922,0.0,0.0,-0.0010000000000000002
2026-03-20T03:21:05.054255,0.0,0.0,-0.0010166666666666668
2026-03-20T03:21:05.062588,0.0,0.0,-0.0010333333333333334
2026-03-20T03:21:05.070921,0.0,0.0,-0.00105
2026-03-20T03:21:05.079254,0.0,0.0,-0.0010666666666666665
2026-03-20T03:21:05.087587,0.0,0.0,-0.001083333333333333
2026-03-20T03:21:05.095920,0.0,0.0,-0.0010999999999999996
2026-03-20T03:21:05.104253,0.0,0.0,-0.0011166666666666662
2026-03-20T03:21:05.112586,0.0,0.0,-0.0011333333333333328
2026-03-20T03:21:05.120919,0.0,0.0,-0.0011499999999999993
2026-03-20T03:21:05.129252,0.0,0.0,-0.001166666666666666
2026-03-20T03:21:05.137585,0.0,0.0,-0.0011833333333333325
2026-03-20T03:21:05.145918,0.0,0.0,-0.001199999999999999
2026-03-20T03:21:05.154251,0.0,0.0,-0.0012166666666666656
2026-03-20T03:21:05.162584,0.0,0.0,-0.0012333333333333322
2026-03-20T03:21:05.170917,0.0,0.0,-0.0012499999999999987
2026-03-20T03:21:05.179250,0.0,0.0,-0.0012666666666666653
2026-03-20T03:21:05.187583,0.0,0.0,-0.0012833333333333319
2026-03-20T03:21:05.195916,0.0,0.0,-0.0012999999999999984
2026-03-20T03:21:05.204249,0.0,0.0,-0.001316666666666665
2026-03-20T03:21:05.212582,0.0,0.0,-0.0013333333333333316
2026-03-20T03:21:05.220915,0.0,0.0,-0.0013499999999999981
2026-03-20T03:21:05.229248,0.0,0.0,-0.0013666666666666647
2026-03-20T03:21:05.237581,0.0,0.0,-0.0013833333333333313
2026-03-20T03:21:05.245914,0.0,0.0,-0.0013999999999999978
2026-03-20T03:21:05.254247,0.0,0.0,-0.0014166666666666644
2026-03-20T03:21:05.262580,0.0,0.0,-0.001433333333333331
2026-03-20T03:21:05.270913,0.0,0.0,-0.0014499999999999975
2026-03-20T03:21:05.279246,0.0,0.0,-0.001466666666666664
2026-03-20T03:21:05.287579,0.0,0.0,-0.0014833333333333306
2026-03-20T03:21:05.295912,0.0,0.0,-0.0014999999999999972
2026-03-20T03:21:05.304245,0.0,0.0,-0.0015166666666666638
2026-03-20T03:21:05.312578,0.0,0.0,-0.0015333333333333303
2026-03-20T03:21:05.320911,0.0,0.0,-0.001549999999999997
2026-03-20T03:21:05.329244,0.0,0.0,-0.0015666666666666635
2026-03-20T03:21:05.337577,0.0,0.0,-0.00158333333333333
2026-03-20T03:21:05.345910,0.0,0.0,-0.0015999999999999966
2026-03-20T03:21:05.354243,0.0,0.0,-0.0016166666666666632
2026-03-20T03:21:05.362576,0.0,0.0,-0.0016333333333333297
2026-03-20T03:21:05.370909,0.0,0.0,-0.0016499999999999963
2026-03-20T03:21:05.379242,0.0,0.0,-0.0016666666666666629
