time,css_5_>_sat.css_edge.0,css_5_>_sat.css_edge.1
2026-04-19T15:52:06.406160,10,1
2026-04-19T15:52:06.416629,10,1
2026-04-19T15:52:06.424962,10,1
2026-04-19T15:52:06.433295,10,1
2026-04-19T15:52:06.441628,10,1
2026-04-19T15:52:06.449961,10,1
2026-04-19T15:52:06.458294,10,1
2026-04-19T15:52:06.466627,10,1
2026-04-19T15:52:06.474960,10,1
2026-04-19T15:52:06.483293,10,1
2026-04-19T15:52:06.491626,10,1
2026-04-19T15:52:06.499959,10,1
2026-04-19T15:52:06.508292,10,1
2026-04-19T15:52:06.516625,10,1
2026-04-19T15:52:06.524958,10,1
2026-04-19T15:52:06.533291,10,1
2026-04-19T15:52:06.541624,10,1
2026-04-19T15:52:06.549957,10,1
2026-04-19T15:52:06.558290,10,1
2026-04-19T15:52:06.566623,10,1
2026-04-19T15:52:06.574956,10,1
2026-04-19T15:52:06.583289,10,1
2026-04-19T15:52:06.591622,10,1
2026-04-19T15:52:06.599955,10,1
2026-04-19T15:52:06.608288,10,1
2026-04-19T15:52:06.616621,10,1
2026-04-19T15:52:06.624954,10,1
2026-04-19T15:52:06.633287,10,1
2026-04-19T15:52:06.641620,10,1
2026-04-19T15:52:06.649953,10,1
2026-04-19T15:52:06.658286,10,1
2026-04-19T15:52:06.666619,10,1
2026-04-19T15:52:06.674952,10,1
2026-04-19T15:52:06.683285,10,1
2026-04-19T15:52:06.691618,10,1
2026-04-19T15:52:06.699951,10,1
2026-04-19T15:52:06.708284,10,1
2026-04-19T15:52:06.716617,10,1
2026-04-19T15:52:06.724950,10,1
2026-04-19T15:52:06.733283,10,1
2026-04-19T15:52:06.741616,10,1
2026-04-19T15:52:06.749949,10,1
2026-04-19T15:52:06.758282,10,1
2026-04-19T15:52:06.766615,10,1
2026-04-19T15:52:06.774948,10,1
2026-04-19T15:52:06.783281,10,1
2026-04-19T15:52:06.791614,10,1
2026-04-19T15:52:06.799947,10,1
2026-04-19T15:52:06.808280,10,1
2026-04-19T15:52:06.816613,10,1
2026-04-19T15:52:06.824946,10,1
2026-04-19T15:52:06.833279,10,1
2026-04-19T15:52:06.841612,10,1
2026-04-19T15:52:06.849945,10,1
2026-04-19T15:52:06.858278,10,1
2026-04-19T15:52:06.866611,10,1
2026-04-19T15:52:06.874944,10,1
2026-04-19T15:52:06.883277,10,1
2026-04-19T15:52:06.891610,10,1
2026-04-19T15:52:06.899943,10,1
2026-04-19T15:52:06.908276,10,1
2026-04-19T15:52:06.916609,10,1
2026-04-19T15:52:06.924942,10,1
2026-04-19T15:52:06.933275,10,1
2026-04-19T15:52:06.941608,10,1
2026-04-19T15:52:06.949941,10,1
2026-04-19T15:52:06.958274,10,1
2026-04-19T15:52:06.966607,10,1
2026-04-19T15:52:06.974940,10,1
2026-04-19T15:52:06.983273,10,1
2026-04-19T15:52:06.991606,10,1
2026-04-19T15:52:06.999939,10,1
2026-04-19T15:52:07.008272,10,1
2026-04-19T15:52:07.016605,10,1
2026-04-19T15:52:07.024938,10,1
2026-04-19T15:52:07.033271,10,1
2026-04-19T15:52:07.041604,10,1
2026-04-19T15:52:07.049937,10,1
2026-04-19T15:52:07.058270,10,1
2026-04-19T15:52:07.066603,10,1
2026-04-19T15:52:07.074936,10,1
2026-04-19T15:52:07.083269,10,1
2026-04-19T15:52:07.091602,10,1
2026-04-19T15:52:07.099935,10,1
2026-04-19T15:52:07.108268,10,1
2026-04-19T15:52:07.116601,10,1
2026-04-19T15:52:07.124934,10,1
2026-04-19T15:52:07.133267,10,1
2026-04-19T15:52:07.141600,10,1
2026-04-19T15:52:07.149933,10,1
2026-04-19T15:52:07.158266,10,1
2026-04-19T15:52:07.166599,10,1
2026-04-19T15:52:07.174932,10,1
2026-04-19T15:52:07.183265,10,1
2026-04-19T15:52:07.191598,10,1
2026-04-19T15:52:07.199931,10,1
2026-04-19T15:52:07.208264,10,1
2026-04-19T15:52:07.216597,10,1
2026-04-19T15:52:07.224930,10,1
2026-04-19T15:52:07.233263,10,1
2026-04-19T15:52:07.241596,10,1
