time,ore_sat.att_est_0,ore_sat.att_est_1,ore_sat.att_est_2,ore_sat.att_est_3
2026-08-20T19:15:39.931332,0.0,0.0,0.0,1.0
2026-08-20T19:15:39.990198,0.017476163740394023,0.02156828482667601,-0.005860532779159422,0.9995974424467575
2026-08-20T19:15:39.998531,0.016283016360899186,0.017643006068144652,0.002507132105316373,0.9997086085473489
2026-08-20T19:15:40.006864,0.020448038153569634,0.02095460353908765,0.007657105705408774,0.9995419706337529
2026-08-20T19:15:40.015197,0.019382742334548033,0.022052092183741552,0.01460117896353375,0.9994622654721823
2026-08-20T19:15:40.023530,0.022319213025610102,0.023597058949513645,0.015491110538772794,0.9993523187710759
2026-08-20T19:15:40.031863,0.026901476720525855,0.028164928255422408,0.01785211777528489,0.9990817530400399
2026-08-20T19:15:40.040196,0.029506067589015028,0.03129080814332559,0.020730178082799235,0.9988596182736719
2026-08-20T19:15:40.048529,0.030611016993001082,0.03232913093102693,0.023392043689802078,0.9987345018691971
2026-08-20T19:15:40.056862,0.03174379611553656,0.033599583247856536,0.026805204708363183,0.9985714197864308
2026-08-20T19:15:40.065195,0.03519425185330131,0.03617174234029199,0.028953969522599807,0.9983058836556251
2026-08-20T19:15:40.073528,0.03456908489188638,0.03561781272348286,0.03326238314572472,0.998213385831907
2026-08-20T19:15:40.081861,0.036006498678131126,0.03790040368771311,0.03820114506674199,0.9979016805120833
2026-08-20T19:15:40.090194,0.038740217747311734,0.041051627315134794,0.04231774726601741,0.9975084800090672
2026-08-20T19:15:40.098527,0.04249935011750455,0.04419456957018612,0.04487925334920823,0.9971090702019079
2026-08-20T19:15:40.106860,0.04494218053822998,0.04681656725149551,0.048687724361309345,0.9967035240911775
2026-08-20T19:15:40.115193,0.05044306582705532,0.05071897809099516,0.04944954269218532,0.9962117370814833
2026-08-20T19:15:40.123526,0.053387199084407054,0.05346685000825625,0.052548537080076056,0.9957558707709739
2026-08-20T19:15:40.131859,0.05619411037676945,0.05649025375239031,0.05611263368150947,0.9952398934584962
2026-08-20T19:15:40.140192,0.05890108857655914,0.0593947458061835,0.05967540214338379,0.9947068775846183
2026-08-20T19:15:40.148525,0.06293014372890315,0.06290636649366081,0.06200255387899611,0.9941017399528617
2026-08-20T19:15:40.156858,0.0661762158207475,0.06644879298595853,0.06541626571493554,0.9934414821972496
2026-08-20T19:15:40.165191,0.06985279192470441,0.07005226746916514,0.06828764204808283,0.9927487422436079
2026-08-20T19:15:40.173524,0.07320791751712642,0.07341860457775484,0.07133478444682952,0.9920492214817697
2026-08-20T19:15:40.181857,0.07654452960000407,0.07613398120973541,0.07374691662051143,0.9914161306850101
2026-08-20T19:15:40.190190,0.08041945746743234,0.07953076148788633,0.07610184825361983,0.990664462636156
2026-08-20T19:15:40.198523,0.08317353250647133,0.08170400097485711,0.07871586394701004,0.9900557724078838
2026-08-20T19:15:40.206856,0.08593631940759305,0.08440635317805571,0.08180381420374178,0.9893425354909072
