time,rw_3.rw_axis_0,rw_3.rw_axis_1,rw_3.rw_axis_2
2026-05-06T20:26:39.850340,0.0,0.0,1.0
2026-05-06T20:26:39.858239,0.0,0.0,1.0
2026-05-06T20:26:39.866572,0.0,0.0,1.0
2026-05-06T20:26:39.874905,0.0,0.0,1.0
2026-05-06T20:26:39.883238,0.0,0.0,1.0
2026-05-06T20:26:39.891571,0.0,0.0,1.0
2026-05-06T20:26:39.899904,0.0,0.0,1.0
2026-05-06T20:26:39.908237,0.0,0.0,1.0
2026-05-06T20:26:39.916570,0.0,0.0,1.0
2026-05-06T20:26:39.924903,0.0,0.0,1.0
2026-05-06T20:26:39.933236,0.0,0.0,1.0
2026-05-06T20:26:39.941569,0.0,0.0,1.0
2026-05-06T20:26:39.949902,0.0,0.0,1.0
2026-05-06T20:26:39.958235,0.0,0.0,1.0
2026-05-06T20:26:39.966568,0.0,0.0,1.0
2026-05-06T20:26:39.974901,0.0,0.0,1.0
2026-05-06T20:26:39.983234,0.0,0.0,1.0
2026-05-06T20:26:39.991567,0.0,0.0,1.0
2026-05-06T20:26:39.999900,0.0,0.0,1.0
2026-05-06T20:26:40.008233,0.0,0.0,1.0
2026-05-06T20:26:40.016566,0.0,0.0,1.0
2026-05-06T20:26:40.024899,0.0,0.0,1.0
2026-05-06T20:26:40.033232,0.0,0.0,1.0
2026-05-06T20:26:40.041565,0.0,0.0,1.0
2026-05-06T20:26:40.049898,0.0,0.0,1.0
2026-05-06T20:26:40.058231,0.0,0.0,1.0
2026-05-06T20:26:40.066564,0.0,0.0,1.0
2026-05-06T20:26:40.074897,0.0,0.0,1.0
2026-05-06T20:26:40.083230,0.0,0.0,1.0
2026-05-06T20:26:40.091563,0.0,0.0,1.0
2026-05-06T20:26:40.099896,0.0,0.0,1.0
2026-05-06T20:26:40.108229,0.0,0.0,1.0
2026-05-06T20:26:40.116562,0.0,0.0,1.0
2026-05-06T20:26:40.124895,0.0,0.0,1.0
2026-05-06T20:26:40.133228,0.0,0.0,1.0
2026-05-06T20:26:40.141561,0.0,0.0,1.0
2026-05-06T20:26:40.149894,0.0,0.0,1.0
2026-05-06T20:26:40.158227,0.0,0.0,1.0
2026-05-06T20:26:40.166560,0.0,0.0,1.0
2026-05-06T20:26:40.174893,0.0,0.0,1.0
2026-05-06T20:26:40.183226,0.0,0.0,1.0
2026-05-06T20:26:40.191559,0.0,0.0,1.0
2026-05-06T20:26:40.199892,0.0,0.0,1.0
2026-05-06T20:26:40.208225,0.0,0.0,1.0
2026-05-06T20:26:40.216558,0.0,0.0,1.0
2026-05-06T20:26:40.224891,0.0,0.0,1.0
2026-05-06T20:26:40.233224,0.0,0.0,1.0
2026-05-06T20:26:40.241557,0.0,0.0,1.0
2026-05-06T20:26:40.249890,0.0,0.0,1.0
2026-05-06T20:26:40.258223,0.0,0.0,1.0
2026-05-06T20:26:40.266556,0.0,0.0,1.0
2026-05-06T20:26:40.274889,0.0,0.0,1.0
2026-05-06T20:26:40.283222,0.0,0.0,1.0
2026-05-06T20:26:40.291555,0.0,0.0,1.0
2026-05-06T20:26:40.299888,0.0,0.0,1.0
2026-05-06T20:26:40.308221,0.0,0.0,1.0
2026-05-06T20:26:40.316554,0.0,0.0,1.0
2026-05-06T20:26:40.324887,0.0,0.0,1.0
2026-05-06T20:26:40.333220,0.0,0.0,1.0
2026-05-06T20:26:40.341553,0.0,0.0,1.0
2026-05-06T20:26:40.349886,0.0,0.0,1.0
2026-05-06T20:26:40.358219,0.0,0.0,1.0
2026-05-06T20:26:40.366552,0.0,0.0,1.0
2026-05-06T20:26:40.374885,0.0,0.0,1.0
2026-05-06T20:26:40.383218,0.0,0.0,1.0
2026-05-06T20:26:40.391551,0.0,0.0,1.0
2026-05-06T20:26:40.399884,0.0,0.0,1.0
2026-05-06T20:26:40.408217,0.0,0.0,1.0
2026-05-06T20:26:40.416550,0.0,0.0,1.0
2026-05-06T20:26:40.424883,0.0,0.0,1.0
2026-05-06T20:26:40.433216,0.0,0.0,1.0
2026-05-06T20:26:40.441549,0.0,0.0,1.0
2026-05-06T20:26:40.449882,0.0,0.0,1.0
2026-05-06T20:26:40.458215,0.0,0.0,1.0
2026-05-06T20:26:40.466548,0.0,0.0,1.0
2026-05-06T20:26:40.474881,0.0,0.0,1.0
2026-05-06T20:26:40.483214,0.0,0.0,1.0
2026-05-06T20:26:40.491547,0.0,0.0,1.0
2026-05-06T20:26:40.499880,0.0,0.0,1.0
2026-05-06T20:26:40.508213,0.0,0.0,1.0
2026-05-06T20:26:40.516546,0.0,0.0,1.0
