time,rw_3.rw_friction
2026-04-19T15:52:06.406160,0.0
2026-04-19T15:52:06.416629,-0.0
2026-04-19T15:52:06.424962,-0.0005144144144144144
2026-04-19T15:52:06.433295,-0.0005288288288288289
2026-04-19T15:52:06.441628,-0.0005432432432432433
2026-04-19T15:52:06.449961,-0.0005576576576576576
2026-04-19T15:52:06.458294,-0.0005720720720720721
2026-04-19T15:52:06.466627,-0.0005864864864864865
2026-04-19T15:52:06.474960,-0.0006009009009009009
2026-04-19T15:52:06.483293,-0.0006153153153153154
2026-04-19T15:52:06.491626,-0.0006297297297297298
2026-04-19T15:52:06.499959,-0.0006441441441441441
2026-04-19T15:52:06.508292,-0.0006585585585585586
2026-04-19T15:52:06.516625,-0.000672972972972973
2026-04-19T15:52:06.524958,-0.0006873873873873874
2026-04-19T15:52:06.533291,-0.0007018018018018019
2026-04-19T15:52:06.541624,-0.0007162162162162163
2026-04-19T15:52:06.549957,-0.0007306306306306306
2026-04-19T15:52:06.558290,-0.000745045045045045
2026-04-19T15:52:06.566623,-0.0007594594594594595
2026-04-19T15:52:06.574956,-0.0007738738738738739
2026-04-19T15:52:06.583289,-0.0007882882882882884
2026-04-19T15:52:06.591622,-0.0008027027027027027
2026-04-19T15:52:06.599955,-0.0008171171171171171
2026-04-19T15:52:06.608288,-0.0008315315315315316
2026-04-19T15:52:06.616621,-0.000845945945945946
2026-04-19T15:52:06.624954,-0.0008603603603603604
2026-04-19T15:52:06.633287,-0.0008747747747747749
2026-04-19T15:52:06.641620,-0.0008891891891891892
2026-04-19T15:52:06.649953,-0.0009036036036036037
2026-04-19T15:52:06.658286,-0.0009180180180180181
2026-04-19T15:52:06.666619,-0.0009324324324324325
2026-04-19T15:52:06.674952,-0.0009468468468468469
2026-04-19T15:52:06.683285,-0.0009612612612612613
2026-04-19T15:52:06.691618,-0.0009756756756756757
2026-04-19T15:52:06.699951,-0.00099009009009009
2026-04-19T15:52:06.708284,-0.0010045045045045046
2026-04-19T15:52:06.716617,-0.001018918918918919
2026-04-19T15:52:06.724950,-0.0010333333333333334
2026-04-19T15:52:06.733283,-0.0010477477477477477
2026-04-19T15:52:06.741616,-0.0010621621621621621
2026-04-19T15:52:06.749949,-0.0010765765765765767
2026-04-19T15:52:06.758282,-0.001090990990990991
2026-04-19T15:52:06.766615,-0.0011054054054054055
2026-04-19T15:52:06.774948,-0.0011198198198198199
2026-04-19T15:52:06.783281,-0.0011342342342342342
2026-04-19T15:52:06.791614,-0.0011486486486486486
2026-04-19T15:52:06.799947,-0.0011630630630630632
2026-04-19T15:52:06.808280,-0.0011774774774774776
2026-04-19T15:52:06.816613,-0.001191891891891892
2026-04-19T15:52:06.824946,-0.0012063063063063064
2026-04-19T15:52:06.833279,-0.0012207207207207207
2026-04-19T15:52:06.841612,-0.0012351351351351351
2026-04-19T15:52:06.849945,-0.0012495495495495497
2026-04-19T15:52:06.858278,-0.001263963963963964
2026-04-19T15:52:06.866611,-0.0012783783783783785
2026-04-19T15:52:06.874944,-0.0012927927927927929
2026-04-19T15:52:06.883277,-0.0013072072072072075
2026-04-19T15:52:06.891610,-0.0013216216216216218
2026-04-19T15:52:06.899943,-0.0013360360360360362
2026-04-19T15:52:06.908276,-0.0013504504504504506
2026-04-19T15:52:06.916609,-0.001364864864864865
2026-04-19T15:52:06.924942,-0.0013792792792792791
2026-04-19T15:52:06.933275,-0.0013936936936936935
2026-04-19T15:52:06.941608,-0.001408108108108108
2026-04-19T15:52:06.949941,-0.0014225225225225223
2026-04-19T15:52:06.958274,-0.0014369369369369364
2026-04-19T15:52:06.966607,-0.0014513513513513508
2026-04-19T15:52:06.974940,-0.0014657657657657652
2026-04-19T15:52:06.983273,-0.0014801801801801794
2026-04-19T15:52:06.991606,-0.001494594594594594
2026-04-19T15:52:06.999939,-0.0015090090090090081
2026-04-19T15:52:07.008272,-0.0015234234234234225
2026-04-19T15:52:07.016605,-0.0015378378378378367
2026-04-19T15:52:07.024938,-0.0015522522522522513
2026-04-19T15:52:07.033271,-0.0015666666666666654
2026-04-19T15:52:07.041604,-0.0015810810810810796
2026-04-19T15:52:07.049937,-0.0015954954954954942
2026-04-19T15:52:07.058270,-0.0016099099099099084
2026-04-19T15:52:07.066603,-0.0016243243243243227
2026-04-19T15:52:07.074936,-0.0016387387387387371
2026-04-19T15:52:07.083269,-0.0016531531531531515
2026-04-19T15:52:07.091602,-0.0016675675675675657
2026-04-19T15:52:07.099935,-0.00168198198198198
2026-04-19T15:52:07.108268,-0.0016963963963963944
2026-04-19T15:52:07.116601,-0.0017108108108108086
2026-04-19T15:52:07.124934,-0.0017252252252252232
2026-04-19T15:52:07.133267,-0.0017396396396396373
2026-04-19T15:52:07.141600,-0.0017540540540540517
2026-04-19T15:52:07.149933,-0.001768468468468466
2026-04-19T15:52:07.158266,-0.0017828828828828803
2026-04-19T15:52:07.166599,-0.0017972972972972946
2026-04-19T15:52:07.174932,-0.001811711711711709
2026-04-19T15:52:07.183265,-0.0018261261261261234
2026-04-19T15:52:07.191598,-0.0018405405405405376
2026-04-19T15:52:07.199931,-0.001854954954954952
2026-04-19T15:52:07.208264,-0.0018693693693693663
2026-04-19T15:52:07.216597,-0.0018837837837837805
2026-04-19T15:52:07.224930,-0.0018981981981981949
2026-04-19T15:52:07.233263,-0.0019126126126126092
2026-04-19T15:52:07.241596,-0.0019270270270270236
