time,ore_sat.mag_value_0,ore_sat.mag_value_1,ore_sat.mag_value_2
2026-05-06T20:26:39.850340,0.0,0.0,0.0
2026-05-06T20:26:39.858239,0.007227175354596252,-0.011810748109371189,-0.016973531928788914
2026-05-06T20:26:39.866572,-1.0185224235827024,-0.08717922992936313,0.046001734816033285
2026-05-06T20:26:39.874905,-1.0192654829611516,-0.08035745675160867,0.03988698670029504
2026-05-06T20:26:39.883238,-1.0199202998929808,-0.07359452562078332,0.033730924198311744
2026-05-06T20:26:39.891571,-1.0204874141935236,-0.06689120965611127,0.027534667293393055
2026-05-06T20:26:39.899904,-1.0209673753767414,-0.06024826393016661,0.021299333293947405
2026-05-06T20:26:39.908237,-1.021360742407644,-0.05366642551385045,0.015026036642599083
2026-05-06T20:26:39.916570,-1.0216680834558964,-0.04714641352518349,0.00871588872853782
2026-05-06T20:26:39.924903,-1.0218899756506667,-0.04068892918184178,0.0023699977031010648
2026-05-06T20:26:39.933236,-1.022027004836765,-0.03429465585736231,-0.004010531701411856
2026-05-06T20:26:39.941569,-1.0220797653321163,-0.02796425914094578,-0.010424598349695172
2026-05-06T20:26:39.949902,-1.0220488596866202,-0.021698386900785037,-0.016871104878163925
2026-05-06T20:26:39.958235,-1.0219348984424366,-0.015497669350845861,-0.02334895786645679
2026-05-06T20:26:39.966568,-1.0217384998957522,-0.009362719121027976,-0.029857068005719096
2026-05-06T20:26:39.974901,-1.0214602898600555,-0.0032941313306346846,-0.036394350263670334
2026-05-06T20:26:39.983234,-1.0211009014309782,0.0027075163349206412,-0.0429597240464631
2026-05-06T20:26:39.991567,-1.0206609747527309,0.008641663544242971,-0.049552113357340055
2026-05-06T20:26:39.999900,-1.020141156786181,0.014507767236991029,-0.05617044695209676
2026-05-06T20:26:40.008233,-1.019542101078607,0.020305301537889054,-0.06281365849135903
2026-05-06T20:26:40.016566,-1.0188644675351655,0.026033757667786976,-0.06948068668968352
2026-05-06T20:26:40.024899,-1.018108922192112,0.03169264385183964,-0.07617047546149312
2026-05-06T20:26:40.033232,-1.0172761369918026,0.03728148522487386,-0.0828819740638563
2026-05-06T20:26:40.041565,-1.016366789559514,0.04279982373401474,-0.08961413723612358
2026-05-06T20:26:40.049898,-1.0153815629821203,0.048247218038639544,-0.0963659253364325
2026-05-06T20:26:40.058231,-1.0143211455886418,0.05362324340772892,-0.10313630447509468
2026-05-06T20:26:40.066564,-1.0131862307327149,0.05892749161468372,-0.10992424664487856
2026-05-06T20:26:40.074897,-1.0119775165769973,0.06415957082967569,-0.11672872984820222
2026-05-06T20:26:40.083230,-1.0106957058795445,0.06931910550960052,-0.1235487382212516
2026-05-06T20:26:40.091563,-1.0093415057821797,0.07440573628569953,-0.13038326215503931
2026-05-06T20:26:40.099896,-1.0079156276008896,0.07941911984891863,-0.13723129841342144
2026-05-06T20:26:40.108229,-1.0064187866182583,0.0843589288330693,-0.14409185024808804
2026-05-06T20:26:40.116562,-1.004851701877979,0.0892248516958585,-0.15096392751054571
2026-05-06T20:26:40.124895,-1.0032150959814516,0.09401659259785386,-0.15784654676111018
2026-05-06T20:26:40.133228,-1.0015096948864972,0.09873387127944704,-0.1647387313749274
2026-05-06T20:26:40.141561,-0.9997362277082034,0.10337642293588191,-0.17163951164504243
2026-05-06T20:26:40.149894,-0.997895426521926,0.10794399809041098,-0.17854792488253643
2026-05-06T20:26:40.158227,-0.9959880261684607,0.1124363624656426,-0.1854630155137508
2026-05-06T20:26:40.166560,-0.9940147640614035,0.11685329685314266,-0.1923838351746201
2026-05-06T20:26:40.174893,-0.9919763799967177,0.12119459698135336,-0.1993094428021348
2026-05-06T20:26:40.183226,-0.9898736159645234,0.12546007338189072,-0.2062389047229559
2026-05-06T20:26:40.191559,-0.9877072159631186,0.12964955125428093,-0.21317129473920202
2026-05-06T20:26:40.199892,-0.9854779258152551,0.13376287032919776,-0.22010569421143383
2026-05-06T20:26:40.208225,-0.9831864929866728,0.13779988473026059,-0.22704119213885646
2026-05-06T20:26:40.216558,-0.9808336664069082,0.14176046283445107,-0.23397688523676502
2026-05-06T20:26:40.224891,-0.9784201962923909,0.14564448713120973,-0.2409118780112558
2026-05-06T20:26:40.233224,-0.9759468339718316,0.14945185408026854,-0.24784528283122825
2026-05-06T20:26:40.241557,-0.9734143317139162,0.15318247396827803,-0.2547762199977009
2026-05-06T20:26:40.249890,-0.9708234425573128,0.15683627076428552,-0.26170381781046703
2026-05-06T20:26:40.258223,-0.968174920142997,0.1604131819741211,-0.26862721263211586
2026-05-06T20:26:40.266556,-0.9654695185489063,0.1639131584937468,-0.2755455489494423
2026-05-06T20:26:40.274889,-0.9627079921269247,0.16733616446162264,-0.2824579794322732
2026-05-06T20:26:40.283222,-0.9598910953422087,0.17068217711014766,-0.2893636649897363
2026-05-06T20:26:40.291555,-0.9570195826148502,0.17395118661622386,-0.29626177482399535
2026-05-06T20:26:40.299888,-0.9540942081638907,0.17714319595100184,-0.3031514864814817
2026-05-06T20:26:40.308221,-0.951115725853679,0.18025822072885567,-0.31003198590164605
2026-05-06T20:26:40.316554,-0.9480848890425839,0.18329628905564238,-0.31690246746325973
2026-05-06T20:26:40.324887,-0.945002450434054,0.18625744137629408,-0.323762134028291
2026-05-06T20:26:40.333220,-0.9418691619300333,0.1891417303217943,-0.3306101969833847
2026-05-06T20:26:40.341553,-0.9146845500981016,0.2016473452104829,-0.35715380320528334
2026-05-06T20:26:40.349886,-0.9114518135840989,0.20437811327437297,-0.36397632739235436
2026-05-06T20:26:40.358219,-0.908170476640834,0.2070322474339373,-0.3707849336569091
2026-05-06T20:26:40.366552,-0.9048412865454064,0.20960984752353481,-0.3775788678521309
2026-05-06T20:26:40.374885,-0.9014649890757432,0.21211102479093089,-0.3843573845283
2026-05-06T20:26:40.383218,-0.8980423283781,0.2145359017415948,-0.39111974696047874
2026-05-06T20:26:40.391551,-0.8945740468369031,0.21688461198271347,-0.3978652271739971
2026-05-06T20:26:40.399884,-0.8910608849469226,0.21915730006696657,-0.4045931059677669
2026-05-06T20:26:40.408217,-0.8875035811877744,0.2213541213361059,-0.41130267293545353
2026-05-06T20:26:40.416550,-0.8839028719007456,0.2234752417643839,-0.41799322648453513
2026-05-06T20:26:40.424883,-0.8802594911679319,0.22552083780187207,-0.42466407385327526
2026-05-06T20:26:40.433216,-0.8765741706936868,0.22749109621771205,-0.43131453112564183
2026-05-06T20:26:40.441549,-0.872847639688374,0.22938621394334144,-0.4379439232441988
2026-05-06T20:26:40.449882,-0.8690806247544063,0.23120639791573194,-0.4445515840210004
2026-05-06T20:26:40.458215,-0.8652738497745768,0.23295186492068343,-0.4511368561465169
2026-05-06T20:26:40.466548,-0.8614280358026628,0.23462284143620882,-0.45769909119662305
2026-05-06T20:26:40.474881,-0.8575439009562941,0.23621956347605183,-0.46423764963767383
2026-05-06T20:26:40.483214,-0.8536221603120819,0.23774227643337262,-0.47075190082970303
2026-05-06T20:26:40.491547,-0.8496635258029912,0.23919123492463926,-0.4772412230277679
2026-05-06T20:26:40.499880,-0.8456687061179473,0.240566702633761,-0.48370500338147326
2026-05-06T20:26:40.508213,-0.8416384066036692,0.24186895215649953,-0.4901426379327017
2026-05-06T20:26:40.516546,-0.8375733291687124,0.24309826484519143,-0.4965535316115817
2026-05-06T20:26:40.524879,-0.8334741721897125,0.24425493065381804,-0.5029370982307193
2026-05-06T20:26:40.533212,-0.8370282679826128,0.23737203551741004,-0.49461077295319367
2026-05-06T20:26:40.541545,-0.8328630324620807,0.23838431106208574,-0.500937962381537
2026-05-06T20:26:40.549878,-0.8286657904310578,0.23932485965509268,-0.507236119399745
2026-05-06T20:26:40.558211,-0.8244372252444835,0.2401940041157663,-0.5135046932589916
2026-05-06T20:26:40.566544,-0.8201780162891384,0.24099207509677406,-0.519743142039092
2026-05-06T20:26:40.574877,-0.8158888389028104,0.24171941093194146,-0.5259509326329389
2026-05-06T20:26:40.583210,-0.8115703642955632,0.24237635748464326,-0.5321275407294063
2026-05-06T20:26:40.591543,-0.8072232594730946,0.24296326799678966,-0.5382724507947484
2026-05-06T20:26:40.599876,-0.8028481871621689,0.24348050293843485,-0.544385156052527
2026-05-06T20:26:40.608209,-0.7984458057381048,0.24392842985803623,-0.5504651584620902
2026-05-06T20:26:40.616542,-0.7940167691543084,0.24430742323338991,-0.5565119686956331
2026-05-06T20:26:40.624875,-0.7895617268738294,0.24461786432326885,-0.5625251061138703
2026-05-06T20:26:40.633208,-0.7850813238029287,0.24486014101979048,-0.5685040987403455
2026-05-06T20:26:40.641541,-0.7805762002266334,0.2450346477015351,-0.5744484832344068
2026-05-06T20:26:40.649874,-0.7760469917462749,0.24514178508744322,-0.5803578048628785
2026-05-06T20:26:40.658207,-0.7714943292189774,0.24518196009151277,-0.5862316174704516
2026-05-06T20:26:40.666540,-0.7669188386990918,0.24515558567831938,-0.5920694834488252
2026-05-06T20:26:40.674873,-0.7623211413815498,0.24506308071938282,-0.5978709737046236
2026-05-06T20:26:40.683206,-0.7577018535471244,0.244904869850401,-0.6036356676261191
