time,ore_sat.control_force_0,ore_sat.control_force_1,ore_sat.control_force_2,ore_sat.control_force_3,ore_sat.control_force_4,ore_sat.control_force_5
2026-08-21T00:30:38.609510,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:38.658997,-2.253489426762711,-2.255914926383315,-2.222544540438917,0.0,0.0,0.0
2026-08-21T00:30:38.667330,-2.497848216224044,-2.2543283721371195,-2.517543388926694,0.0,0.0,0.0
2026-08-21T00:30:38.675663,-2.304524024882524,-2.0474570866456903,-2.281600963699748,0.0,0.0,0.0
2026-08-21T00:30:38.683996,-2.0606087786320177,-1.7814835750434177,-1.9563404947288905,0.0,0.0,0.0
2026-08-21T00:30:38.692329,-1.626298898745706,-1.5225544469760561,-1.66520367008528,0.0,0.0,0.0
2026-08-21T00:30:38.700662,-1.4309455859193152,-1.2226870441201219,-1.3234308687846852,0.0,0.0,0.0
2026-08-21T00:30:38.708995,-1.3586304735918981,-1.1413753165678178,-1.193500526559704,0.0,0.0,0.0
2026-08-21T00:30:38.717328,-1.2411211968320384,-1.0440810973710688,-1.1066840965575977,0.0,0.0,0.0
2026-08-21T00:30:38.725661,-1.107760370138461,-0.9052296422018995,-1.0331976822197486,0.0,0.0,0.0
2026-08-21T00:30:38.733994,-1.0096379609130375,-0.8099209054175529,-1.0088548338647834,0.0,0.0,0.0
2026-08-21T00:30:38.742327,-0.9962307574711144,-0.7639775450036813,-0.9653493441123209,0.0,0.0,0.0
2026-08-21T00:30:38.750660,-0.8819338883132468,-0.6554026517472477,-0.9819093354395056,0.0,0.0,0.0
2026-08-21T00:30:38.758993,-0.8393524779485414,-0.6352007033525104,-1.0167843350305914,0.0,0.0,0.0
2026-08-21T00:30:38.767326,-0.8341930164892152,-0.637446285138469,-1.0279799099334923,0.0,0.0,0.0
2026-08-21T00:30:38.775659,-0.8510069838697232,-0.6374767428749739,-1.0063855803738126,0.0,0.0,0.0
2026-08-21T00:30:38.783992,-0.8409723476283864,-0.6311673319467956,-1.0106267746718203,0.0,0.0,0.0
2026-08-21T00:30:38.792325,-0.8883300276605773,-0.6455975244111973,-0.9612004571349493,0.0,0.0,0.0
2026-08-21T00:30:38.800658,-0.883885041146416,-0.6399252515380506,-0.9591203744735124,0.0,0.0,0.0
2026-08-21T00:30:38.808991,-0.8777485150420665,-0.6397133788751732,-0.9652100030990547,0.0,0.0,0.0
2026-08-21T00:30:38.817324,-0.8716886855715823,-0.6390925079653349,-0.9700393756266262,0.0,0.0,0.0
2026-08-21T00:30:38.825657,-0.8859002273370983,-0.6466015151863915,-0.9574458839265563,0.0,0.0,0.0
2026-08-21T00:30:38.833990,-0.8875191400448976,-0.654608471472624,-0.9612152130311027,0.0,0.0,0.0
2026-08-21T00:30:38.842323,-0.8948826744869678,-0.6622955736392411,-0.9577429159566858,0.0,0.0,0.0
2026-08-21T00:30:38.850656,-0.8975688737856158,-0.6662421365976765,-0.9564778672423806,0.0,0.0,0.0
2026-08-21T00:30:38.858989,-0.9001072188900126,-0.6626641680211991,-0.9480401090303576,0.0,0.0,0.0
2026-08-21T00:30:38.867322,-0.9085915209719313,-0.666188926617233,-0.9398992854967816,0.0,0.0,0.0
2026-08-21T00:30:38.875655,-0.9032517466497043,-0.6564842977116051,-0.936020167480172,0.0,0.0,0.0
2026-08-21T00:30:38.883988,-0.8990638900167269,-0.6547118985482583,-0.9373889817650737,0.0,0.0,0.0
2026-08-21T00:30:38.892321,-0.9071590481125235,-0.6613131897394829,-0.9329223195174101,0.0,0.0,0.0
2026-08-21T00:30:38.900654,-0.9045371698842559,-0.6649087476572866,-0.937427173473707,0.0,0.0,0.0
2026-08-21T00:30:38.908987,-0.9097233187152778,-0.669072826071421,-0.934506967356167,0.0,0.0,0.0
2026-08-21T00:30:38.917320,-0.9044673806221607,-0.6687248059311393,-0.9388396486147729,0.0,0.0,0.0
2026-08-21T00:30:38.925653,-0.903091505582069,-0.6708852330832484,-0.9408119472387606,0.0,0.0,0.0
2026-08-21T00:30:38.933986,-0.9081725026345158,-0.6763055040110825,-0.9391785987683436,0.0,0.0,0.0
2026-08-21T00:30:38.942319,-0.9068516749019584,-0.6766050657751365,-0.9397330083858583,0.0,0.0,0.0
2026-08-21T00:30:38.950652,-0.9076606636109866,-0.6773050466217388,-0.9390931913716714,0.0,0.0,0.0
2026-08-21T00:30:38.958985,-0.8991856829043252,-0.6758839522116938,-0.9454970122961723,0.0,0.0,0.0
2026-08-21T00:30:38.967318,-0.8963563392777052,-0.675966232348876,-0.947533177505454,0.0,0.0,0.0
2026-08-21T00:30:38.975651,-0.8949526486445099,-0.6777840498225743,-0.9495126390962995,0.0,0.0,0.0
2026-08-21T00:30:38.983984,-0.8952099179270706,-0.6841761877689715,-0.9531187750029106,0.0,0.0,0.0
2026-08-21T00:30:38.992317,-0.8988408756796076,-0.6876356570032285,-0.9521600317083626,0.0,0.0,0.0
2026-08-21T00:30:39.000650,-0.8923606932365163,-0.689504689576524,-0.9584536882824266,0.0,0.0,0.0
2026-08-21T00:30:39.008983,-0.8922655568353632,-0.6896257049150768,-0.9577835148462529,0.0,0.0,0.0
2026-08-21T00:30:39.017316,-0.8941374631135861,-0.6929449685474287,-0.9580325870142886,0.0,0.0,0.0
2026-08-21T00:30:39.025649,-0.8914838236762361,-0.6938917201305258,-0.9600633114548934,0.0,0.0,0.0
2026-08-21T00:30:39.033982,-0.8923063186877765,-0.6943985142840514,-0.958804693871118,0.0,0.0,0.0
2026-08-21T00:30:39.042315,-0.8949220314333739,-0.6970826338481901,-0.9579026964542523,0.0,0.0,0.0
2026-08-21T00:30:39.050648,-0.8926123115621801,-0.6964900237918146,-0.9584986840753436,0.0,0.0,0.0
2026-08-21T00:30:39.058981,-0.8920531825380515,-0.6964866022355864,-0.9579040273446287,0.0,0.0,0.0
2026-08-21T00:30:39.067314,-0.894475761572739,-0.6985345203193792,-0.956546041814707,0.0,0.0,0.0
2026-08-21T00:30:39.075647,-0.8950017992998841,-0.7014222486274899,-0.9570972865731143,0.0,0.0,0.0
2026-08-21T00:30:39.083980,-0.8950848505775284,-0.703344122626339,-0.9577286912033292,0.0,0.0,0.0
2026-08-21T00:30:39.092313,-0.8898351273166343,-0.703119137114878,-0.9603207555274161,0.0,0.0,0.0
2026-08-21T00:30:39.100646,-0.8911098724444529,-0.7058067232187984,-0.9601238858331251,0.0,0.0,0.0
2026-08-21T00:30:39.108979,-0.8923614718814492,-0.7066249175776805,-0.9589120879488049,0.0,0.0,0.0
2026-08-21T00:30:39.117312,-0.8925978900955863,-0.7084412010827202,-0.9585606617468788,0.0,0.0,0.0
2026-08-21T00:30:39.125645,-0.8974945658354461,-0.7112970126242889,-0.9561620183947959,0.0,0.0,0.0
2026-08-21T00:30:39.133978,-0.8972343378705954,-0.7125986144064305,-0.9562097028677752,0.0,0.0,0.0
2026-08-21T00:30:39.142311,-0.8951834294762921,-0.7127080439759699,-0.956728761314358,0.0,0.0,0.0
2026-08-21T00:30:39.150644,-0.8930882147739991,-0.7142878652321043,-0.9578849629406405,0.0,0.0,0.0
2026-08-21T00:30:39.158977,-0.8937925925304284,-0.7171487504455321,-0.9579617973129175,0.0,0.0,0.0
2026-08-21T00:30:39.167310,-0.8955591309874165,-0.7194338022206298,-0.9571922339024879,0.0,0.0,0.0
2026-08-21T00:30:39.175643,-0.8962131063043252,-0.7215646585738724,-0.9567700346312118,0.0,0.0,0.0
2026-08-21T00:30:39.183976,-0.899112135180063,-0.7248090798180642,-0.9559591785082955,0.0,0.0,0.0
2026-08-21T00:30:39.192309,-0.8987206363710194,-0.7275634989017234,-0.9563179623148625,0.0,0.0,0.0
2026-08-21T00:30:39.200642,-0.9020484915057247,-0.7306845729508192,-0.9552090316689903,0.0,0.0,0.0
2026-08-21T00:30:39.208975,-0.9012867804791992,-0.7319773587801702,-0.9551812713756409,0.0,0.0,0.0
2026-08-21T00:30:39.217308,-0.9015271816834616,-0.7333683683040932,-0.9546714083725722,0.0,0.0,0.0
2026-08-21T00:30:39.225641,-0.9014567207140475,-0.7342207552180949,-0.9543969086688804,0.0,0.0,0.0
2026-08-21T00:30:39.233974,-0.8974859917126152,-0.7347487649817813,-0.9554208507833049,0.0,0.0,0.0
2026-08-21T00:30:39.242307,-0.8979155739477382,-0.7364834752863423,-0.9550303086379514,0.0,0.0,0.0
2026-08-21T00:30:39.250640,-0.8985268270591664,-0.7395416878016753,-0.9551106946031491,0.0,0.0,0.0
2026-08-21T00:30:39.258973,-0.8984836264786904,-0.7406001485000019,-0.9544731115899784,0.0,0.0,0.0
2026-08-21T00:30:39.267306,-0.8993421212820557,-0.7414524365057646,-0.95352529730315,0.0,0.0,0.0
2026-08-21T00:30:39.275639,-0.8987995526688248,-0.7429593029543876,-0.9531636381465867,0.0,0.0,0.0
2026-08-21T00:30:39.283972,-0.9008387754697721,-0.7444559292005565,-0.9518445582801673,0.0,0.0,0.0
2026-08-21T00:30:39.292305,-0.9014946079685939,-0.7454366492493132,-0.9508277472412758,0.0,0.0,0.0
2026-08-21T00:30:39.300638,-0.9026879777505163,-0.7472540419759682,-0.9499157631388103,0.0,0.0,0.0
2026-08-21T00:30:39.308971,-0.9033350142331497,-0.7484959411117309,-0.9491290476509942,0.0,0.0,0.0
2026-08-21T00:30:39.317304,-0.9025642527935688,-0.7502254569932632,-0.9489542380481397,0.0,0.0,0.0
2026-08-21T00:30:39.325637,-0.902411202029792,-0.7519206663647016,-0.948552671094848,0.0,0.0,0.0
2026-08-21T00:30:39.333970,-0.9017792574678325,-0.7531054423204682,-0.9481788590685905,0.0,0.0,0.0
2026-08-21T00:30:39.342303,-0.9003979020334132,-0.7544501848626133,-0.9481795253378896,0.0,0.0,0.0
2026-08-21T00:30:39.350636,-0.8982737682313642,-0.7559891309482931,-0.9485179231165342,0.0,0.0,0.0
2026-08-21T00:30:39.358969,-0.8954910358071487,-0.7568993495946241,-0.9486065416987833,0.0,0.0,0.0
2026-08-21T00:30:39.367302,-0.8947648325233957,-0.7574831765893008,-0.9479954350420978,0.0,0.0,0.0
2026-08-21T00:30:39.375635,-0.893996022398917,-0.7583254673773198,-0.9474010602558196,0.0,0.0,0.0
2026-08-21T00:30:39.383968,-0.8941477352589327,-0.759737827643198,-0.9467809892309054,0.0,0.0,0.0
2026-08-21T00:30:39.392301,-0.893861423669611,-0.7612393290462529,-0.9462047631714423,0.0,0.0,0.0
2026-08-21T00:30:39.400634,-0.894381858960465,-0.7628067506576913,-0.9453884432471117,0.0,0.0,0.0
2026-08-21T00:30:39.408967,-0.8952006250577023,-0.7642245086803885,-0.9445226063978738,0.0,0.0,0.0
2026-08-21T00:30:39.417300,-0.8946287423758337,-0.7650479694385035,-0.9438445314353838,0.0,0.0,0.0
2026-08-21T00:30:39.425633,-0.89337268453819,-0.7659679422664281,-0.9434155572649385,0.0,0.0,0.0
2026-08-21T00:30:39.433966,-0.8917956719384328,-0.7674437201577283,-0.9430018533241395,0.0,0.0,0.0
2026-08-21T00:30:39.442299,-0.8922127528072745,-0.7689938582144453,-0.9422111786030745,0.0,0.0,0.0
2026-08-21T00:30:39.450632,-0.8918205725881819,-0.7698594039341962,-0.9414795537466789,0.0,0.0,0.0
