time,ore_sat.gyro_omega_0,ore_sat.gyro_omega_1,ore_sat.gyro_omega_2
2026-08-20T19:15:39.931332,0.0,0.0,0.0
2026-08-20T19:15:39.990198,2.8061325455353185,2.8061330401662463,2.8061329752170856
2026-08-20T19:15:39.998531,2.8050363485718166,2.8049931547920384,2.803461075287106
2026-08-20T19:15:40.006864,2.803940151608315,2.8038532694178304,2.800789175357127
2026-08-20T19:15:40.015197,2.802843954644813,2.802713384043622,2.7981172754271473
2026-08-20T19:15:40.023530,2.8017477576813112,2.8015734986694136,2.795445375497168
2026-08-20T19:15:40.031863,2.8006515607178097,2.8004336132952057,2.7927734755671887
2026-08-20T19:15:40.040196,2.7995553637543082,2.7992937279209973,2.7901015756372094
2026-08-20T19:15:40.048529,2.7984591667908063,2.7981538425467893,2.78742967570723
2026-08-20T19:15:40.056862,2.7973629698273044,2.797013957172581,2.7847577757772504
2026-08-20T19:15:40.065195,2.796266772863803,2.795874071798373,2.7820858758472715
2026-08-20T19:15:40.073528,2.7951705759003014,2.7947341864241646,2.779413975917292
2026-08-20T19:15:40.081861,2.7940743789367994,2.793594301049956,2.7767420759873125
2026-08-20T19:15:40.090194,2.792978181973298,2.7924544156757483,2.774070176057333
2026-08-20T19:15:40.098527,2.791881985009796,2.7913145303015403,2.771398276127354
2026-08-20T19:15:40.106860,2.7907857880462945,2.790174644927332,2.7687263761973746
2026-08-20T19:15:40.115193,2.7896895910827926,2.789034759553124,2.766054476267395
2026-08-20T19:15:40.123526,2.7885933941192906,2.7878948741789156,2.763382576337416
2026-08-20T19:15:40.131859,2.787497197155789,2.7867549888047076,2.7607106764074363
2026-08-20T19:15:40.140192,2.786401705185434,2.785615697663053,2.7580389553079114
2026-08-20T19:15:40.148525,2.7853055082219322,2.7844758122888447,2.755367055377932
2026-08-20T19:15:40.156858,2.7842093112584303,2.7833359269146367,2.752695155447953
2026-08-20T19:15:40.165191,2.7831131142949292,2.7821960415404283,2.7500232555179736
2026-08-20T19:15:40.173524,2.7820169173314273,2.78105615616622,2.747351355587994
2026-08-20T19:15:40.181857,2.7809207203679254,2.779916270792012,2.744679455658015
2026-08-20T19:15:40.190190,2.7798245234044234,2.778776385417804,2.7420075557280352
2026-08-20T19:15:40.198523,2.778728326440922,2.7776365000435956,2.739335655798056
2026-08-20T19:15:40.206856,2.77763212947742,2.7764966146693872,2.7366637558680766
