time,ore_sat.P.0,ore_sat.P.1,ore_sat.P.2,ore_sat.P.3,ore_sat.P.4,ore_sat.P.5,ore_sat.P.6,ore_sat.P.7,ore_sat.P.8,ore_sat.P.9,ore_sat.P.10,ore_sat.P.11,ore_sat.P.12,ore_sat.P.13,ore_sat.P.14,ore_sat.P.15,ore_sat.P.16,ore_sat.P.17,ore_sat.P.18,ore_sat.P.19,ore_sat.P.20,ore_sat.P.21,ore_sat.P.22,ore_sat.P.23,ore_sat.P.24,ore_sat.P.25,ore_sat.P.26,ore_sat.P.27,ore_sat.P.28,ore_sat.P.29,ore_sat.P.30,ore_sat.P.31,ore_sat.P.32,ore_sat.P.33,ore_sat.P.34,ore_sat.P.35
2026-04-19T15:52:06.406160,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-04-19T15:52:06.416629,0.16423246492149932,0.003816276507469589,0.0006358790432979796,-0.001367952412142357,-0.0000478562456036183,0.000010201679818875306,0.0038162765074688824,0.0005897779309712464,0.000014361674067350812,-0.00003173869144167033,-5.286849502406853e-6,1.913131911396219e-7,0.0006358790432963012,0.000014361674067422492,0.0005024153962711634,-5.3455923212380346e-6,-1.3351618272761413e-7,-4.12568812273881e-6,-0.0013679524121423545,-0.00003173869144167617,-5.345592321252021e-6,0.9999427942256138,3.950396850748179e-7,-8.773296679630961e-8,-0.00004785624560359886,-5.286849502407204e-6,-1.3351618272645539e-7,3.9503968507465695e-7,0.9999314487702636,-6.158117700576314e-9,0.00001020167981889659,1.9131319113907123e-7,-4.125688122737946e-6,-8.773296679648707e-8,-6.158117700569088e-9,0.9999314353782723
2026-04-19T15:52:06.424962,0.08715851756525086,0.0008510330252280854,0.002281185337183885,-0.005015722529261479,-0.012118446765707535,0.0008195677723478382,0.0008510330252279062,0.00027531370546371697,0.00002218149568726086,-2.5464016054753702e-6,-0.00401503087305633,-0.00003979327741345356,0.002281185337183546,0.00002218149568728586,0.00032631834839297796,-0.00007251246985630114,-0.0002726438561376554,-0.0038737098564330602,-0.0050157225292613095,-2.5464016054723467e-6,-0.0000725124698562723,0.9996357294039713,0.0014492370489058153,0.0009473331520417222,-0.012118446765710451,-0.004015030873056389,-0.0002726438561381695,0.0014492370489058199,0.9368295328295307,-0.00013034759018840385,0.0008195677723421765,-0.00003979327741311474,-0.0038737098564332103,0.0009473331520413126,-0.00013034759018107876,0.9350212845522493
2026-04-19T15:52:06.433295,0.05662535343615684,-0.0002020207440871939,0.0019454012749036387,-0.009236358454343941,-0.019132912847667223,0.020940998112067285,-0.00020202074408723526,0.00022244320525779607,-7.128052959672831e-6,0.00006015343387792652,-0.006446798107341794,-0.00020337272679508752,0.0019454012749035442,-7.128052959665626e-6,0.00028849548385827533,-0.00012192851855448265,-0.0005274005156355892,-0.0057918851642429665,-0.009236358454343853,0.000060153433877930415,-0.00012192851855445834,0.9989619009609723,0.0032357784196062273,0.00225777527177194,-0.019132912847669457,-0.00644679810734181,-0.0005274005156360125,0.0032357784196060525,0.7895664253434652,-0.007162272466641834,0.020940998112061723,-0.00020337272679473605,-0.005791885164243132,0.002257775271770666,-0.007162272466620883,0.790576339629792
2026-04-19T15:52:06.441628,0.04191416935295206,-0.0004611259403439293,0.001545272644980647,-0.013612641150249235,-0.025095783849802402,0.031954640178532515,-0.0004611259403439386,0.0002229733721136593,-0.000017269196428320058,0.00012498365616237894,-0.007090035450185887,-0.0005561859060832268,0.0015452726449806278,-0.000017269196428319052,0.00027490201884080315,-0.00023212182781307412,-0.0007197589933985135,-0.006178394485106719,-0.013612641150249176,0.00012498365616238073,-0.00023212182781306387,0.9976937665778718,0.0045721983962769734,0.005402038868396129,-0.02509578384980408,-0.007090035450185883,-0.0007197589933986915,0.004572198396276613,0.6062312622913738,-0.01925833874829806,0.03195464017852808,-0.0005561859060830654,-0.006178394485106878,0.005402038868394212,-0.01925833874827075,0.6154192419412311
2026-04-19T15:52:06.449961,0.03375446158553306,-0.00044272214666665684,0.0011895517934850622,-0.017977167941248363,-0.02801549733746208,0.03545539253971175,-0.0004427221466666548,0.00022275263103138388,-0.000015894770255665125,0.00018389168455065414,-0.006597166620072432,-0.0007162324410953628,0.0011895517934850702,-0.000015894770255665172,0.00025886962515303964,-0.00038061564289806616,-0.0007394125650756914,-0.005701339917368236,-0.017977167941248314,0.00018389168455065273,-0.0003806156428980696,0.9956347745150588,0.004864903088150366,0.009322427604354255,-0.028015497337463446,-0.0065971666200724186,-0.0007394125650756839,0.004864903088149868,0.44337817470750895,-0.02973861835399831,0.03545539253970838,-0.0007162324410953697,-0.005701339917368369,0.009322427604352056,-0.029738618353973054,0.45773698510741834
2026-04-19T15:52:06.458294,0.028728942874899986,-0.000354482922159628,0.0009246225361350447,-0.02228709383120745,-0.028028579255577654,0.03444186904577748,-0.00035448292215962057,0.00021487822319526676,-0.000011675875476259707,0.00024301120269947418,-0.005715733665451897,-0.0006931803151188382,0.0009246225361350626,-0.000011675875476259365,0.00024021031169843497,-0.0005553351791459421,-0.0006391358533650092,-0.004940117739003528,-0.0222870938312074,0.0002430112026994694,-0.000555335179145956,0.9925919570323035,0.0041069161229301595,0.013268302629649682,-0.02802857925557876,-0.0057157336654518765,-0.0006391358533649144,0.0041069161229295905,0.320764732832833,-0.03432485793050692,0.03444186904577496,-0.0006931803151189288,-0.004940117739003633,0.013268302629647458,-0.03432485793048712,0.33579812938623693
2026-04-19T15:52:06.466627,0.025325061451105847,-0.0002762903227952436,0.0007522653765761095,-0.026542867931139524,-0.02612003590631501,0.031210268492952293,-0.0002762903227952341,0.00020294272051651712,-8.44153338135376e-6,0.00031885581807339076,-0.0048200647294672355,-0.0006052553954171516,0.0007522653765761298,-8.441533381352907e-6,0.00022219916493250032,-0.000761535456720401,-0.0005123177602729058,-0.004170023963956637,-0.02654286793113948,0.0003188558180733833,-0.0007615354567204221,0.9883876023891824,0.002474763114142726,0.01707820875902168,-0.02612003590631587,-0.0048200647294672164,-0.0005123177602727855,0.00247476311414214,0.23377154155746516,-0.03347610573805497,0.03121026849295044,-0.0006052553954172674,-0.004170023963956719,0.017078208759019567,-0.03347610573804054,0.24708981195786098
2026-04-19T15:52:06.474960,0.022816314342258583,-0.0002302951457228933,0.0006543304706244245,-0.030729769561608177,-0.02324438623642106,0.027159656716725926,-0.00023029514572288386,0.00019001572940367331,-6.834900248578237e-6,0.0004262242621883753,-0.0040294915687065945,-0.0005236904687433109,0.0006543304706244439,-6.834900248577053e-6,0.00020640647064637036,-0.001007617641799417,-0.0004080397255329415,-0.003484685731863736,-0.03072976956160814,0.00042622426218836564,-0.0010076176417994432,0.9828659967515117,0.00019978737204797564,0.020758984982141106,-0.023244386236421694,-0.004029491568706575,-0.00040803972553282405,0.00019978737204739798,0.17264948056328852,-0.029563403779754163,0.02715965671672458,-0.0005236904687434238,-0.0034846857318637982,0.02075898498213915,-0.029563403779743945,0.18368954090940431
2026-04-19T15:52:06.483293,0.02085423082467407,-0.0002163189182182115,0.000610227639480281,-0.03481880611781586,-0.02006652113057366,0.023047300194592425,-0.00021631891821820328,0.0001776269445497444,-6.599666138018592e-6,0.0005735016234635671,-0.0033647864504562784,-0.00046769909374441855,0.000610227639480298,-6.599666138017272e-6,0.00019325627922966597,-0.001298055379613549,-0.00033501828770059373,-0.00290619295225283,-0.03481880611781582,0.0005735016234635557,-0.001298055379613579,0.9758915372133675,-0.002490312752200916,0.024308129185503048,-0.020066521130574104,-0.0033647864504562624,-0.00033501828770049035,-0.0024903127522014823,0.1293864369561712,-0.024644922472280752,0.02304730019459145,-0.00046769909374451716,-0.0029061929522528787,0.02430812918550126,-0.024644922472273574,0.13840307235959512
