time,ore_sat.sun_pos_0,ore_sat.sun_pos_1,ore_sat.sun_pos_2
2026-08-20T19:15:39.931332,0.0,0.0,0.0
2026-08-20T19:15:39.990198,-0.6347055634266682,-0.5325812041774852,0.5599161622172515
2026-08-20T19:15:39.998531,-0.6346995031973621,-0.532588426420278,0.5599161621923356
2026-08-20T19:15:40.006864,-0.6346934429116553,-0.5325956486157447,0.5599161621176189
2026-08-20T19:15:40.015197,-0.6346873825695483,-0.5326028707638845,0.5599161619931015
2026-08-20T19:15:40.023530,-0.6346813221710415,-0.5326100928646965,0.5599161618187832
2026-08-20T19:15:40.031863,-0.6346752617161356,-0.5326173149181804,0.5599161615946645
2026-08-20T19:15:40.040196,-0.6346692012048312,-0.5326245369243356,0.5599161613207451
2026-08-20T19:15:40.048529,-0.6346631406371287,-0.5326317588831613,0.5599161609970249
2026-08-20T19:15:40.056862,-0.6346570800130286,-0.5326389807946568,0.5599161606235039
2026-08-20T19:15:40.065195,-0.6346510193325315,-0.5326462026588216,0.5599161602001824
2026-08-20T19:15:40.073528,-0.634644958595638,-0.5326534244756549,0.5599161597270601
2026-08-20T19:15:40.081861,-0.6346388978023486,-0.5326606462451563,0.5599161592041371
2026-08-20T19:15:40.090194,-0.6346328369526637,-0.5326678679673249,0.5599161586314135
2026-08-20T19:15:40.098527,-0.6346267760465842,-0.5326750896421603,0.559916158008889
2026-08-20T19:15:40.106860,-0.6346207150841102,-0.5326823112696616,0.559916157336564
2026-08-20T19:15:40.115193,-0.6346146540652428,-0.5326895328498283,0.5599161566144383
2026-08-20T19:15:40.123526,-0.6346085929899817,-0.5326967543826598,0.5599161558425118
2026-08-20T19:15:40.131859,-0.6346025318583282,-0.5327039758681553,0.5599161550207845
2026-08-20T19:15:40.140192,-0.6345964706702825,-0.5327111973063144,0.5599161541492568
2026-08-20T19:15:40.148525,-0.6345904094258451,-0.5327184186971363,0.5599161532279283
2026-08-20T19:15:40.156858,-0.6345843481250167,-0.5327256400406205,0.559916152256799
2026-08-20T19:15:40.165191,-0.6345782867677978,-0.5327328613367661,0.5599161512358691
2026-08-20T19:15:40.173524,-0.6345722253541889,-0.5327400825855725,0.5599161501651384
2026-08-20T19:15:40.181857,-0.6345661638841906,-0.5327473037870394,0.5599161490446072
2026-08-20T19:15:40.190190,-0.6345601023578034,-0.5327545249411657,0.5599161478742751
2026-08-20T19:15:40.198523,-0.6345540407750276,-0.532761746047951,0.5599161466541424
2026-08-20T19:15:40.206856,-0.6345479791358641,-0.5327689671073947,0.559916145384209
2026-08-20T19:15:40.215189,-0.6345419174403133,-0.5327761881194962,0.5599161440644749
2026-08-20T19:15:40.223522,-0.6345358556883758,-0.5327834090842547,0.5599161426949402
2026-08-20T19:15:40.231855,-0.634529793880052,-0.5327906300016695,0.5599161412756045
2026-08-20T19:15:40.240188,-0.6345237320153426,-0.53279785087174,0.5599161398064684
