time,ore_sat.world_vel_ωx,ore_sat.world_vel_ωy,ore_sat.world_vel_ωz,ore_sat.world_vel_x,ore_sat.world_vel_y,ore_sat.world_vel_z
2026-08-20T19:15:39.931332,0.8061330507707636,0.8061330507707636,0.8061330507707636,4929.198097359343,-5874.389541136538,0.0
2026-08-20T19:15:39.990198,0.8050368538072619,0.8049931653965554,0.8034611508407842,4929.2439740828495,-5874.351045659636,-0.040508191211610284
2026-08-20T19:15:39.998531,0.8039303290414668,0.8038638314151784,0.8007890274555085,4929.289850368283,-5874.312549660742,-0.08101638239693272
2026-08-20T19:15:40.006864,0.8028134051425168,0.8027449805828777,0.7981168205952595,4929.33572621564,-5874.2740531398595,-0.12152457355236719
2026-08-20T19:15:40.015197,0.8016860124101945,0.8016365434789403,0.7954446700570843,4929.381601624915,-5874.235556096992,-0.16203276467431377
2026-08-20T19:15:40.023530,0.8005480827757213,0.8005384495235576,0.7927727154360087,4929.427476596105,-5874.197058532143,-0.2025409557591725
2026-08-20T19:15:40.031863,0.7993995498022589,0.7994506269957259,0.7901010961065085,4929.473351129206,-5874.158560445317,-0.24304914680334344
2026-08-20T19:15:40.040196,0.7982403486851248,0.7983730030511825,0.7874299512041998,4929.519225224214,-5874.120061836516,-0.2835573378032266
2026-08-20T19:15:40.048529,0.7970704162517227,0.7973055037403712,0.7847594196077495,4929.565098881124,-5874.081562705743,-0.324065528755222
2026-08-20T19:15:40.056862,0.7958896909611922,0.7962480540264341,0.7820896399210069,4929.610972099933,-5874.043063053003,-0.3645737196557295
2026-08-20T19:15:40.065195,0.7946981129037816,0.7952005778032257,0.7794207504553567,4929.6568448806365,-5874.004562878298,-0.40508191050114933
2026-08-20T19:15:40.073528,0.7934956237999459,0.7941629979133457,0.7767528892122969,4929.70271722323,-5873.966062181633,-0.44559010128788146
2026-08-20T19:15:40.081861,0.7922821669991756,0.7931352361661845,0.7740861938662394,4929.74858912771,-5873.9275609630095,-0.48609829201232585
2026-08-20T19:15:40.090194,0.7910576874785582,0.792117213355981,0.7714208017475369,4929.794460594072,-5873.8890592224325,-0.5266064826708825
2026-08-20T19:15:40.098527,0.789822131841076,0.7911088492798847,0.768756849825735,4929.840331622312,-5873.850556959905,-0.5671146732599515
2026-08-20T19:15:40.106860,0.7885754483136446,0.7901100627560225,0.7660944746930517,4929.886202212427,-5873.81205417543,-0.6076228637759328
2026-08-20T19:15:40.115193,0.7873175867448956,0.7891207716415629,0.7634338125480841,4929.932072364411,-5873.77355086901,-0.6481310542152265
2026-08-20T19:15:40.123526,0.7860484986027063,0.7881408928507767,0.7607749991797429,4929.977942078262,-5873.735047040651,-0.6886392445742326
2026-08-20T19:15:40.131859,0.7847681369714801,0.7871703423730879,0.7581181699514165,4930.0238113539735,-5873.696542690354,-0.7291474348493512
2026-08-20T19:15:40.140192,0.7834764565491821,0.7862090352911141,0.7554634597853631,4930.069680191544,-5873.658037818124,-0.769655625036982
2026-08-20T19:15:40.148525,0.7821734136441331,0.7852568857986902,0.7528110031473337,4930.115548590968,-5873.619532423964,-0.8101638151335253
2026-08-20T19:15:40.156858,0.7808589661715647,0.7843138072188743,0.7501609340314239,4930.1614165522415,-5873.581026507877,-0.8506720051353811
