time,sat_>_rw_2.rw_edge.0,sat_>_rw_2.rw_edge.1
2026-04-15T20:03:16.468470,1,3
2026-04-15T20:03:16.501921,1,3
2026-04-15T20:03:16.510254,1,3
2026-04-15T20:03:16.518587,1,3
2026-04-15T20:03:16.526920,1,3
2026-04-15T20:03:16.535253,1,3
2026-04-15T20:03:16.543586,1,3
2026-04-15T20:03:16.551919,1,3
2026-04-15T20:03:16.560252,1,3
2026-04-15T20:03:16.568585,1,3
2026-04-15T20:03:16.576918,1,3
2026-04-15T20:03:16.585251,1,3
2026-04-15T20:03:16.593584,1,3
2026-04-15T20:03:16.601917,1,3
2026-04-15T20:03:16.610250,1,3
2026-04-15T20:03:16.618583,1,3
2026-04-15T20:03:16.626916,1,3
2026-04-15T20:03:16.635249,1,3
2026-04-15T20:03:16.643582,1,3
2026-04-15T20:03:16.651915,1,3
2026-04-15T20:03:16.660248,1,3
2026-04-15T20:03:16.668581,1,3
2026-04-15T20:03:16.676914,1,3
2026-04-15T20:03:16.685247,1,3
2026-04-15T20:03:16.693580,1,3
2026-04-15T20:03:16.701913,1,3
2026-04-15T20:03:16.710246,1,3
2026-04-15T20:03:16.718579,1,3
2026-04-15T20:03:16.726912,1,3
2026-04-15T20:03:16.735245,1,3
2026-04-15T20:03:16.743578,1,3
2026-04-15T20:03:16.751911,1,3
2026-04-15T20:03:16.760244,1,3
2026-04-15T20:03:16.768577,1,3
2026-04-15T20:03:16.776910,1,3
2026-04-15T20:03:16.785243,1,3
2026-04-15T20:03:16.793576,1,3
2026-04-15T20:03:16.801909,1,3
2026-04-15T20:03:16.810242,1,3
2026-04-15T20:03:16.818575,1,3
2026-04-15T20:03:16.826908,1,3
2026-04-15T20:03:16.835241,1,3
2026-04-15T20:03:16.843574,1,3
2026-04-15T20:03:16.851907,1,3
2026-04-15T20:03:16.860240,1,3
2026-04-15T20:03:16.868573,1,3
2026-04-15T20:03:16.876906,1,3
2026-04-15T20:03:16.885239,1,3
2026-04-15T20:03:16.893572,1,3
2026-04-15T20:03:16.901905,1,3
2026-04-15T20:03:16.910238,1,3
2026-04-15T20:03:16.918571,1,3
2026-04-15T20:03:16.926904,1,3
2026-04-15T20:03:16.935237,1,3
2026-04-15T20:03:16.943570,1,3
2026-04-15T20:03:16.951903,1,3
2026-04-15T20:03:16.960236,1,3
2026-04-15T20:03:16.968569,1,3
2026-04-15T20:03:16.976902,1,3
2026-04-15T20:03:16.985235,1,3
2026-04-15T20:03:16.993568,1,3
2026-04-15T20:03:17.001901,1,3
2026-04-15T20:03:17.010234,1,3
2026-04-15T20:03:17.018567,1,3
2026-04-15T20:03:17.026900,1,3
2026-04-15T20:03:17.035233,1,3
2026-04-15T20:03:17.043566,1,3
2026-04-15T20:03:17.051899,1,3
2026-04-15T20:03:17.060232,1,3
2026-04-15T20:03:17.068565,1,3
2026-04-15T20:03:17.076898,1,3
2026-04-15T20:03:17.085231,1,3
2026-04-15T20:03:17.093564,1,3
2026-04-15T20:03:17.101897,1,3
2026-04-15T20:03:17.110230,1,3
2026-04-15T20:03:17.118563,1,3
2026-04-15T20:03:17.126896,1,3
2026-04-15T20:03:17.135229,1,3
2026-04-15T20:03:17.143562,1,3
2026-04-15T20:03:17.151895,1,3
2026-04-15T20:03:17.160228,1,3
2026-04-15T20:03:17.168561,1,3
2026-04-15T20:03:17.176894,1,3
2026-04-15T20:03:17.185227,1,3
2026-04-15T20:03:17.193560,1,3
2026-04-15T20:03:17.201893,1,3
2026-04-15T20:03:17.210226,1,3
2026-04-15T20:03:17.218559,1,3
2026-04-15T20:03:17.226892,1,3
2026-04-15T20:03:17.235225,1,3
2026-04-15T20:03:17.243558,1,3
2026-04-15T20:03:17.251891,1,3
2026-04-15T20:03:17.260224,1,3
2026-04-15T20:03:17.268557,1,3
2026-04-15T20:03:17.276890,1,3
2026-04-15T20:03:17.285223,1,3
2026-04-15T20:03:17.293556,1,3
2026-04-15T20:03:17.301889,1,3
2026-04-15T20:03:17.310222,1,3
2026-04-15T20:03:17.318555,1,3
2026-04-15T20:03:17.326888,1,3
