time,earth.world_vel.ωx,earth.world_vel.ωy,earth.world_vel.ωz,earth.world_vel.x,earth.world_vel.y,earth.world_vel.z
2026-03-19T22:51:19.237147,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.247451,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.255784,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.264117,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.272450,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.280783,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.289116,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.297449,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.305782,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.314115,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.322448,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.330781,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.339114,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.347447,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.355780,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.364113,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.372446,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.380779,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.389112,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.397445,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.405778,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.414111,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.422444,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.430777,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.439110,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.447443,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.455776,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.464109,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.472442,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.480775,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.489108,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.497441,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.505774,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.514107,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.522440,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.530773,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.539106,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.547439,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.555772,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.564105,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.572438,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.580771,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.589104,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.597437,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.605770,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.614103,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.622436,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.630769,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.639102,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.647435,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.655768,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.664101,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.672434,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.680767,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.689100,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.697433,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.705766,0.0,0.0,0.000072921159,0.0,0.0,0.0
2026-03-19T22:51:19.714099,0.0,0.0,0.000072921159,0.0,0.0,0.0
