time,ore_sat.mag_ref_0,ore_sat.mag_ref_1,ore_sat.mag_ref_2
2026-08-20T19:15:39.931332,0.0,0.0,0.0
2026-08-20T19:15:39.990198,0.0466947487382686,-0.7331552244817,0.6784563488209525
2026-08-20T19:15:39.998531,0.04671239264486917,-0.7331588801764835,0.6784511837942038
2026-08-20T19:15:40.006864,0.04673003669180474,-0.733162535556229,0.6784460185803612
2026-08-20T19:15:40.015197,0.046747680879070996,-0.733166190620929,0.6784408531794235
2026-08-20T19:15:40.023530,0.04676532520666351,-0.7331698453705758,0.6784356875913891
2026-08-20T19:15:40.031863,0.0467829696745769,-0.7331734998051619,0.6784305218162563
2026-08-20T19:15:40.040196,0.04680061428280732,-0.7331771539246796,0.6784253558540235
2026-08-20T19:15:40.048529,0.046818259031349514,-0.7331808077291215,0.6784201897046891
2026-08-20T19:15:40.056862,0.04683590392019931,-0.7331844612184798,0.6784150233682514
2026-08-20T19:15:40.065195,0.046853548949351786,-0.7331881143927468,0.6784098568447092
2026-08-20T19:15:40.073528,0.04687119411880272,-0.7331917672519151,0.6784046901340606
2026-08-20T19:15:40.081861,0.046888839428546256,-0.7331954197959774,0.6783995232363041
2026-08-20T19:15:40.090194,0.046906484878579464,-0.7331990720249251,0.6783943561514382
2026-08-20T19:15:40.098527,0.046924130468895875,-0.7332027239387515,0.678389188879461
2026-08-20T19:15:40.106860,0.04694177619949247,-0.7332063755374486,0.6783840214203712
2026-08-20T19:15:40.115193,0.04695942207036303,-0.7332100268210089,0.6783788537741673
2026-08-20T19:15:40.123526,0.046977068081504654,-0.7332136777894248,0.6783736859408475
2026-08-20T19:15:40.131859,0.046994714232911274,-0.7332173284426885,0.67836851792041
2026-08-20T19:15:40.140192,0.047012360524578994,-0.7332209787807926,0.6783633497128537
2026-08-20T19:15:40.148525,0.047030006956502855,-0.7332246288037294,0.6783581813181768
2026-08-20T19:15:40.156858,0.04704765352867818,-0.7332282785114916,0.6783530127363776
2026-08-20T19:15:40.165191,0.04706530024110037,-0.7332319279040709,0.6783478439674546
2026-08-20T19:15:40.173524,0.047082947093764926,-0.7332355769814604,0.6783426750114065
2026-08-20T19:15:40.181857,0.047100594086666774,-0.733239225743652,0.6783375058682312
2026-08-20T19:15:40.190190,0.04711824121980175,-0.7332428741906384,0.6783323365379275
2026-08-20T19:15:40.198523,0.047135888493165176,-0.7332465223224118,0.6783271670204936
2026-08-20T19:15:40.206856,0.04715353590675191,-0.7332501701389649,0.678321997315928
2026-08-20T19:15:40.215189,0.04717118346055795,-0.7332538176402896,0.6783168274242289
2026-08-20T19:15:40.223522,0.04718883115457776,-0.7332574648263785,0.6783116573453953
2026-08-20T19:15:40.231855,0.047206478988807525,-0.7332611116972242,0.6783064870794249
2026-08-20T19:15:40.240188,0.047224126963242054,-0.7332647582528189,0.6783013166263168
2026-08-20T19:15:40.248521,0.047241775077877315,-0.7332684044931549,0.6782961459860688
2026-08-20T19:15:40.256854,0.04725942333270762,-0.7332720504182246,0.6782909751586796
2026-08-20T19:15:40.265187,0.0472770717277291,-0.7332756960280207,0.6782858041441475
2026-08-20T19:15:40.273520,0.047294720262937115,-0.7332793413225354,0.6782806329424712
2026-08-20T19:15:40.281853,0.04731236893832636,-0.7332829863017608,0.6782754615536488
2026-08-20T19:15:40.290186,0.047330017753892784,-0.7332866309656898,0.6782702899776789
2026-08-20T19:15:40.298519,0.047347666709631434,-0.7332902753143145,0.6782651182145598
2026-08-20T19:15:40.306852,0.04736531580553813,-0.7332939193476271,0.6782599462642898
2026-08-20T19:15:40.315185,0.04738296504160772,-0.7332975630656203,0.6782547741268677
2026-08-20T19:15:40.323518,0.04740061441783544,-0.7333012064682864,0.6782496018022915
2026-08-20T19:15:40.331851,0.047418263934216935,-0.7333048495556179,0.6782444292905601
2026-08-20T19:15:40.340184,0.04743591359074788,-0.7333084923276071,0.6782392565916713
2026-08-20T19:15:40.348517,0.04745356338742268,-0.7333121347842463,0.678234083705624
2026-08-20T19:15:40.356850,0.047471213324237586,-0.7333157769255279,0.6782289106324163
2026-08-20T19:15:40.365183,0.04748886340118733,-0.7333194187514442,0.6782237373720469
2026-08-20T19:15:40.373516,0.047506513618267375,-0.733323060261988,0.6782185639245141
2026-08-20T19:15:40.381849,0.047524163975473474,-0.7333267014571514,0.6782133902898161
2026-08-20T19:15:40.390182,0.047541814472800266,-0.7333303423369266,0.6782082164679516
2026-08-20T19:15:40.398515,0.047559465110243775,-0.7333339829013061,0.6782030424589189
2026-08-20T19:15:40.406848,0.04757711588779898,-0.7333376231502827,0.6781978682627164
2026-08-20T19:15:40.415181,0.04759476680546098,-0.7333412630838483,0.6781926938793426
2026-08-20T19:15:40.423514,0.04761241786322567,-0.7333449027019956,0.6781875193087958
2026-08-20T19:15:40.431847,0.04763006906108786,-0.7333485420047166,0.6781823445510746
2026-08-20T19:15:40.440180,0.04764772039904351,-0.7333521809920039,0.6781771696061772
2026-08-20T19:15:40.448513,0.047665371877087005,-0.73335581966385,0.678171994474102
2026-08-20T19:15:40.456846,0.047683023495214444,-0.7333594580202473,0.6781668191548477
2026-08-20T19:15:40.465179,0.04770067525342118,-0.7333630960611881,0.6781616436484125
2026-08-20T19:15:40.473512,0.04771832715170229,-0.7333667337866646,0.6781564679547947
2026-08-20T19:15:40.481845,0.047735979190053304,-0.7333703711966694,0.6781512920739929
2026-08-20T19:15:40.490178,0.04775363136846936,-0.7333740082911949,0.6781461160060057
2026-08-20T19:15:40.498511,0.04777128368694559,-0.7333776450702332,0.678140939750831
2026-08-20T19:15:40.506844,0.047788936145477606,-0.7333812815337771,0.6781357633084678
2026-08-20T19:15:40.515177,0.047806588744060935,-0.7333849176818188,0.678130586678914
2026-08-20T19:15:40.523510,0.04782424148269067,-0.7333885535143507,0.6781254098621683
2026-08-20T19:15:40.531843,0.04784189436136155,-0.733392189031365,0.6781202328582292
2026-08-20T19:15:40.540176,0.04785954738007005,-0.7333958242328544,0.6781150556670948
2026-08-20T19:15:40.548509,0.04787720053881077,-0.7333994591188111,0.6781098782887637
2026-08-20T19:15:40.556842,0.04789485383757904,-0.7334030936892275,0.6781047007232344
2026-08-20T19:15:40.565175,0.047912507276370774,-0.7334067279440959,0.678099522970505
2026-08-20T19:15:40.573508,0.0479301608551807,-0.733410361883409,0.6780943450305744
2026-08-20T19:15:40.581841,0.047947814574004134,-0.7334139955071589,0.6780891669034406
2026-08-20T19:15:40.590174,0.04796546843283698,-0.7334176288153378,0.6780839885891021
2026-08-20T19:15:40.598507,0.04798312243167392,-0.7334212618079388,0.6780788100875575
2026-08-20T19:15:40.606840,0.0480007765705107,-0.7334248944849535,0.6780736313988052
2026-08-20T19:15:40.615173,0.048018430849342916,-0.7334285268463746,0.6780684525228434
2026-08-20T19:15:40.623506,0.04803608526816524,-0.7334321588921948,0.6780632734596707
2026-08-20T19:15:40.631839,0.048053739826973065,-0.7334357906224058,0.6780580942092853
2026-08-20T19:15:40.640172,0.048071394525761715,-0.7334394220370007,0.6780529147716858
2026-08-20T19:15:40.648505,0.04808904936452754,-0.7334430531359714,0.6780477351468707
2026-08-20T19:15:40.656838,0.048106704343264486,-0.7334466839193103,0.6780425553348381
2026-08-20T19:15:40.665171,0.04812435946196842,-0.73345031438701,0.6780373753355868
2026-08-20T19:15:40.673504,0.048142014720634674,-0.7334539445390629,0.6780321951491148
2026-08-20T19:15:40.681837,0.04815967011925857,-0.7334575743754613,0.678027014775421
2026-08-20T19:15:40.690170,0.048177325657835855,-0.7334612038961975,0.6780218342145033
2026-08-20T19:15:40.698503,0.048194981336361145,-0.733464833101264,0.6780166534663605
2026-08-20T19:15:40.706836,0.04821263715482979,-0.733468461990653,0.6780114725309909
2026-08-20T19:15:40.715169,0.048230293113237524,-0.7334720905643572,0.678006291408393
2026-08-20T19:15:40.723502,0.0482479492115798,-0.7334757188223686,0.6780011100985649
2026-08-20T19:15:40.731835,0.04826560544985182,-0.73347934676468,0.6779959286015055
2026-08-20T19:15:40.740168,0.04828326182804851,-0.7334829743912834,0.6779907469172127
2026-08-20T19:15:40.748501,0.04830091834616555,-0.7334866017021715,0.6779855650456852
2026-08-20T19:15:40.756834,0.04831857500419804,-0.7334902286973364,0.6779803829869215
2026-08-20T19:15:40.765167,0.048336231802141826,-0.7334938553767706,0.6779752007409199
2026-08-20T19:15:40.773500,0.04835388873999134,-0.7334974817404666,0.6779700183076788
2026-08-20T19:15:40.781833,0.04837154581774279,-0.7335011077884167,0.6779648356871968
2026-08-20T19:15:40.790166,0.048389203035390654,-0.7335047335206131,0.6779596528794719
2026-08-20T19:15:40.798499,0.04840686039293157,-0.7335083589370484,0.6779544698845029
2026-08-20T19:15:40.806832,0.04842451789035929,-0.7335119840377151,0.6779492867022882
2026-08-20T19:15:40.815165,0.04844217552767008,-0.7335156088226051,0.677944103332826
