time,rw_1.rw_voltage
2026-03-20T06:14:03.922329,0.0
2026-03-20T06:14:03.932335,0.0
2026-03-20T06:14:03.940668,0.0
2026-03-20T06:14:03.949001,0.0
2026-03-20T06:14:03.957334,0.0
2026-03-20T06:14:03.965667,0.0
2026-03-20T06:14:03.974,0.0
2026-03-20T06:14:03.982333,0.0
2026-03-20T06:14:03.990666,0.0
2026-03-20T06:14:03.998999,0.0
2026-03-20T06:14:04.007332,0.0
2026-03-20T06:14:04.015665,0.0
2026-03-20T06:14:04.023998,0.0
2026-03-20T06:14:04.032331,0.0
2026-03-20T06:14:04.040664,0.0
2026-03-20T06:14:04.048997,0.0
2026-03-20T06:14:04.057330,0.0
2026-03-20T06:14:04.065663,0.0
2026-03-20T06:14:04.073996,0.0
2026-03-20T06:14:04.082329,0.0
2026-03-20T06:14:04.090662,0.0
2026-03-20T06:14:04.098995,0.0
2026-03-20T06:14:04.107328,0.0
2026-03-20T06:14:04.115661,0.0
2026-03-20T06:14:04.123994,0.0
2026-03-20T06:14:04.132327,0.0
2026-03-20T06:14:04.140660,0.0
2026-03-20T06:14:04.148993,0.0
2026-03-20T06:14:04.157326,0.0
2026-03-20T06:14:04.165659,0.0
2026-03-20T06:14:04.173992,0.0
2026-03-20T06:14:04.182325,0.0
2026-03-20T06:14:04.190658,0.0
2026-03-20T06:14:04.198991,0.0
2026-03-20T06:14:04.207324,0.0
2026-03-20T06:14:04.215657,0.0
2026-03-20T06:14:04.223990,0.0
2026-03-20T06:14:04.232323,0.0
2026-03-20T06:14:04.240656,0.0
2026-03-20T06:14:04.248989,0.0
2026-03-20T06:14:04.257322,0.0
2026-03-20T06:14:04.265655,0.0
2026-03-20T06:14:04.273988,0.0
2026-03-20T06:14:04.282321,0.0
2026-03-20T06:14:04.290654,0.0
2026-03-20T06:14:04.298987,0.0
2026-03-20T06:14:04.307320,0.0
2026-03-20T06:14:04.315653,0.0
2026-03-20T06:14:04.323986,0.0
2026-03-20T06:14:04.332319,0.0
2026-03-20T06:14:04.340652,0.0
2026-03-20T06:14:04.348985,0.0
2026-03-20T06:14:04.357318,0.0
2026-03-20T06:14:04.365651,0.0
2026-03-20T06:14:04.373984,0.0
2026-03-20T06:14:04.382317,0.0
2026-03-20T06:14:04.390650,0.0
2026-03-20T06:14:04.398983,0.0
2026-03-20T06:14:04.407316,0.0
2026-03-20T06:14:04.415649,0.0
2026-03-20T06:14:04.423982,0.0
2026-03-20T06:14:04.432315,0.0
2026-03-20T06:14:04.440648,0.0
2026-03-20T06:14:04.448981,0.0
2026-03-20T06:14:04.457314,0.0
2026-03-20T06:14:04.465647,0.0
2026-03-20T06:14:04.473980,0.0
2026-03-20T06:14:04.482313,0.0
2026-03-20T06:14:04.490646,0.0
2026-03-20T06:14:04.498979,0.0
2026-03-20T06:14:04.507312,0.0
2026-03-20T06:14:04.515645,0.0
2026-03-20T06:14:04.523978,0.0
2026-03-20T06:14:04.532311,0.0
2026-03-20T06:14:04.540644,0.0
2026-03-20T06:14:04.548977,0.0
2026-03-20T06:14:04.557310,0.0
2026-03-20T06:14:04.565643,0.0
2026-03-20T06:14:04.573976,0.0
2026-03-20T06:14:04.582309,0.0
2026-03-20T06:14:04.590642,0.0
2026-03-20T06:14:04.598975,0.0
2026-03-20T06:14:04.607308,0.0
2026-03-20T06:14:04.615641,0.0
2026-03-20T06:14:04.623974,0.0
2026-03-20T06:14:04.632307,0.0
2026-03-20T06:14:04.640640,0.0
2026-03-20T06:14:04.648973,0.0
2026-03-20T06:14:04.657306,0.0
2026-03-20T06:14:04.665639,0.0
2026-03-20T06:14:04.673972,0.0
2026-03-20T06:14:04.682305,0.0
2026-03-20T06:14:04.690638,0.0
2026-03-20T06:14:04.698971,0.0
2026-03-20T06:14:04.707304,0.0
2026-03-20T06:14:04.715637,0.0
2026-03-20T06:14:04.723970,0.0
2026-03-20T06:14:04.732303,0.0
2026-03-20T06:14:04.740636,0.0
2026-03-20T06:14:04.748969,0.0
2026-03-20T06:14:04.757302,0.0
