time,sat_>_rw_2.rw_edge_0,sat_>_rw_2.rw_edge_1
2026-08-21T00:30:38.609510,1,3
2026-08-21T00:30:38.658997,1,3
2026-08-21T00:30:38.667330,1,3
2026-08-21T00:30:38.675663,1,3
2026-08-21T00:30:38.683996,1,3
2026-08-21T00:30:38.692329,1,3
2026-08-21T00:30:38.700662,1,3
2026-08-21T00:30:38.708995,1,3
2026-08-21T00:30:38.717328,1,3
2026-08-21T00:30:38.725661,1,3
2026-08-21T00:30:38.733994,1,3
2026-08-21T00:30:38.742327,1,3
2026-08-21T00:30:38.750660,1,3
2026-08-21T00:30:38.758993,1,3
2026-08-21T00:30:38.767326,1,3
2026-08-21T00:30:38.775659,1,3
2026-08-21T00:30:38.783992,1,3
2026-08-21T00:30:38.792325,1,3
2026-08-21T00:30:38.800658,1,3
2026-08-21T00:30:38.808991,1,3
2026-08-21T00:30:38.817324,1,3
2026-08-21T00:30:38.825657,1,3
2026-08-21T00:30:38.833990,1,3
2026-08-21T00:30:38.842323,1,3
2026-08-21T00:30:38.850656,1,3
2026-08-21T00:30:38.858989,1,3
2026-08-21T00:30:38.867322,1,3
2026-08-21T00:30:38.875655,1,3
2026-08-21T00:30:38.883988,1,3
2026-08-21T00:30:38.892321,1,3
2026-08-21T00:30:38.900654,1,3
2026-08-21T00:30:38.908987,1,3
2026-08-21T00:30:38.917320,1,3
2026-08-21T00:30:38.925653,1,3
2026-08-21T00:30:38.933986,1,3
2026-08-21T00:30:38.942319,1,3
2026-08-21T00:30:38.950652,1,3
2026-08-21T00:30:38.958985,1,3
2026-08-21T00:30:38.967318,1,3
2026-08-21T00:30:38.975651,1,3
2026-08-21T00:30:38.983984,1,3
2026-08-21T00:30:38.992317,1,3
2026-08-21T00:30:39.000650,1,3
2026-08-21T00:30:39.008983,1,3
2026-08-21T00:30:39.017316,1,3
2026-08-21T00:30:39.025649,1,3
2026-08-21T00:30:39.033982,1,3
2026-08-21T00:30:39.042315,1,3
2026-08-21T00:30:39.050648,1,3
2026-08-21T00:30:39.058981,1,3
2026-08-21T00:30:39.067314,1,3
2026-08-21T00:30:39.075647,1,3
2026-08-21T00:30:39.083980,1,3
2026-08-21T00:30:39.092313,1,3
2026-08-21T00:30:39.100646,1,3
2026-08-21T00:30:39.108979,1,3
2026-08-21T00:30:39.117312,1,3
2026-08-21T00:30:39.125645,1,3
2026-08-21T00:30:39.133978,1,3
2026-08-21T00:30:39.142311,1,3
2026-08-21T00:30:39.150644,1,3
2026-08-21T00:30:39.158977,1,3
2026-08-21T00:30:39.167310,1,3
2026-08-21T00:30:39.175643,1,3
2026-08-21T00:30:39.183976,1,3
2026-08-21T00:30:39.192309,1,3
2026-08-21T00:30:39.200642,1,3
2026-08-21T00:30:39.208975,1,3
2026-08-21T00:30:39.217308,1,3
2026-08-21T00:30:39.225641,1,3
2026-08-21T00:30:39.233974,1,3
2026-08-21T00:30:39.242307,1,3
2026-08-21T00:30:39.250640,1,3
2026-08-21T00:30:39.258973,1,3
2026-08-21T00:30:39.267306,1,3
2026-08-21T00:30:39.275639,1,3
2026-08-21T00:30:39.283972,1,3
2026-08-21T00:30:39.292305,1,3
2026-08-21T00:30:39.300638,1,3
2026-08-21T00:30:39.308971,1,3
2026-08-21T00:30:39.317304,1,3
2026-08-21T00:30:39.325637,1,3
2026-08-21T00:30:39.333970,1,3
2026-08-21T00:30:39.342303,1,3
2026-08-21T00:30:39.350636,1,3
2026-08-21T00:30:39.358969,1,3
2026-08-21T00:30:39.367302,1,3
2026-08-21T00:30:39.375635,1,3
2026-08-21T00:30:39.383968,1,3
2026-08-21T00:30:39.392301,1,3
2026-08-21T00:30:39.400634,1,3
2026-08-21T00:30:39.408967,1,3
2026-08-21T00:30:39.417300,1,3
2026-08-21T00:30:39.425633,1,3
2026-08-21T00:30:39.433966,1,3
2026-08-21T00:30:39.442299,1,3
2026-08-21T00:30:39.450632,1,3
2026-08-21T00:30:39.458965,1,3
2026-08-21T00:30:39.467298,1,3
2026-08-21T00:30:39.475631,1,3
2026-08-21T00:30:39.483964,1,3
