time,css_3.css_value
2026-03-20T03:21:04.545139,0.0
2026-03-20T03:21:04.554275,-0.002058421394796434
2026-03-20T03:21:04.562608,-0.006478490333875773
2026-03-20T03:21:04.570941,0.013974427424212033
2026-03-20T03:21:04.579274,-0.001396293700258161
2026-03-20T03:21:04.587607,0.00014083490117367477
2026-03-20T03:21:04.595940,0.006718055407076842
2026-03-20T03:21:04.604273,-0.014382859548243821
2026-03-20T03:21:04.612606,0.0007476121039935533
2026-03-20T03:21:04.620939,-0.019495296731464922
2026-03-20T03:21:04.629272,-0.010073770352096363
2026-03-20T03:21:04.637605,-0.004081064346208204
2026-03-20T03:21:04.645938,0.00691289864858085
2026-03-20T03:21:04.654271,0.005196246089384331
2026-03-20T03:21:04.662604,0.009767418141327415
2026-03-20T03:21:04.670937,-0.003976786405505439
2026-03-20T03:21:04.679270,-0.0058580672868980745
2026-03-20T03:21:04.687603,0.0030517905042663734
2026-03-20T03:21:04.695936,-0.003299261508904719
2026-03-20T03:21:04.704269,-0.01328257810432033
2026-03-20T03:21:04.712602,0.02311839636151241
2026-03-20T03:21:04.720935,-0.0035404954595485384
2026-03-20T03:21:04.729268,-0.002165958494239169
2026-03-20T03:21:04.737601,-0.004171586459952628
2026-03-20T03:21:04.745934,0.007443243770065558
2026-03-20T03:21:04.754267,-0.003078356951471346
2026-03-20T03:21:04.762600,0.0011543204394739925
2026-03-20T03:21:04.770933,-0.008878408996338058
2026-03-20T03:21:04.779266,0.013707114962837105
2026-03-20T03:21:04.787599,0.005891054775533747
2026-03-20T03:21:04.795932,0.004473054981410142
2026-03-20T03:21:04.804265,-0.0017827422347151084
2026-03-20T03:21:04.812598,-0.004056705601318007
2026-03-20T03:21:04.820931,0.004389187612400969
2026-03-20T03:21:04.829264,-0.00005159186989473893
2026-03-20T03:21:04.837597,-0.0025580088586924015
2026-03-20T03:21:04.845930,-0.01323777030952374
2026-03-20T03:21:04.854263,-0.0074483506596216805
2026-03-20T03:21:04.862596,0.014973932386027452
2026-03-20T03:21:04.870929,0.012194351248851314
2026-03-20T03:21:04.879262,0.004178129532213254
2026-03-20T03:21:04.887595,0.0057296672888065
2026-03-20T03:21:04.895928,-0.011964118551346496
2026-03-20T03:21:04.904261,0.00920426245488969
2026-03-20T03:21:04.912594,-0.003731396180423421
2026-03-20T03:21:04.920927,-0.00428683127012477
2026-03-20T03:21:04.929260,-0.013298518708289598
2026-03-20T03:21:04.937593,0.014469130506864665
2026-03-20T03:21:04.945926,-0.0025354202230671434
2026-03-20T03:21:04.954259,0.0037258049968438883
2026-03-20T03:21:04.962592,-0.003981729745477783
2026-03-20T03:21:04.970925,-0.012838146829966339
2026-03-20T03:21:04.979258,-0.006883985258924427
2026-03-20T03:21:04.987591,0.0034506614896604817
2026-03-20T03:21:04.995924,-0.007711599240740996
2026-03-20T03:21:05.004257,0.0027543199234616117
2026-03-20T03:21:05.012590,0.0032495702733002065
2026-03-20T03:21:05.020923,0.015500368266609941
2026-03-20T03:21:05.029256,0.011564854631240752
2026-03-20T03:21:05.037589,-0.006006662078501462
2026-03-20T03:21:05.045922,0.004123744385654749
2026-03-20T03:21:05.054255,0.013589193161657619
2026-03-20T03:21:05.062588,0.013093999068993695
2026-03-20T03:21:05.070921,0.0017727366778587392
2026-03-20T03:21:05.079254,0.0170257295579677
2026-03-20T03:21:05.087587,0.020039149221221738
2026-03-20T03:21:05.095920,0.006339804759359474
2026-03-20T03:21:05.104253,0.013806234644423059
2026-03-20T03:21:05.112586,-0.004864328626341746
2026-03-20T03:21:05.120919,0.008562685400749828
2026-03-20T03:21:05.129252,0.0019603051987747756
2026-03-20T03:21:05.137585,-0.024328086253020464
2026-03-20T03:21:05.145918,0.007208576666854329
2026-03-20T03:21:05.154251,-0.016695206551102116
2026-03-20T03:21:05.162584,-0.009423974185527947
2026-03-20T03:21:05.170917,-0.008144347081219739
2026-03-20T03:21:05.179250,-0.002542671420090944
2026-03-20T03:21:05.187583,-0.00011974172585475749
2026-03-20T03:21:05.195916,0.00945692386240036
2026-03-20T03:21:05.204249,-0.01906633494021335
2026-03-20T03:21:05.212582,0.011222853996265351
2026-03-20T03:21:05.220915,0.00937680612416732
2026-03-20T03:21:05.229248,-0.012779225988015444
2026-03-20T03:21:05.237581,-0.00777101660870923
2026-03-20T03:21:05.245914,0.01734722620297716
2026-03-20T03:21:05.254247,-0.007215789852197871
2026-03-20T03:21:05.262580,0.004881702877463823
2026-03-20T03:21:05.270913,-0.021708923625507255
2026-03-20T03:21:05.279246,-0.014496700311319789
2026-03-20T03:21:05.287579,-0.003258606812458753
2026-03-20T03:21:05.295912,0.012407974980631798
2026-03-20T03:21:05.304245,-0.008491937098658997
2026-03-20T03:21:05.312578,0.01701062232353396
2026-03-20T03:21:05.320911,0.01043749087363022
2026-03-20T03:21:05.329244,-0.0037507148266434777
2026-03-20T03:21:05.337577,-0.005164516470936172
2026-03-20T03:21:05.345910,-0.013422553532708407
2026-03-20T03:21:05.354243,0.00017136092064933014
2026-03-20T03:21:05.362576,-0.0113364314594361
2026-03-20T03:21:05.370909,-0.008866578300811152
2026-03-20T03:21:05.379242,-0.014303360984556137
