time,rw_3.rw_speed
2026-03-20T03:21:04.545139,0.0
2026-03-20T03:21:04.554275,0.28828828828828823
2026-03-20T03:21:04.562608,0.5765765765765765
2026-03-20T03:21:04.570941,0.8648648648648647
2026-03-20T03:21:04.579274,1.153153153153153
2026-03-20T03:21:04.587607,1.4414414414414414
2026-03-20T03:21:04.595940,1.7297297297297296
2026-03-20T03:21:04.604273,2.018018018018018
2026-03-20T03:21:04.612606,2.3063063063063063
2026-03-20T03:21:04.620939,2.5945945945945947
2026-03-20T03:21:04.629272,2.882882882882883
2026-03-20T03:21:04.637605,3.171171171171171
2026-03-20T03:21:04.645938,3.4594594594594597
2026-03-20T03:21:04.654271,3.747747747747748
2026-03-20T03:21:04.662604,4.036036036036037
2026-03-20T03:21:04.670937,4.324324324324325
2026-03-20T03:21:04.679270,4.612612612612613
2026-03-20T03:21:04.687603,4.900900900900901
2026-03-20T03:21:04.695936,5.1891891891891895
2026-03-20T03:21:04.704269,5.4774774774774775
2026-03-20T03:21:04.712602,5.765765765765766
2026-03-20T03:21:04.720935,6.054054054054054
2026-03-20T03:21:04.729268,6.342342342342342
2026-03-20T03:21:04.737601,6.630630630630631
2026-03-20T03:21:04.745934,6.918918918918919
2026-03-20T03:21:04.754267,7.207207207207207
2026-03-20T03:21:04.762600,7.495495495495496
2026-03-20T03:21:04.770933,7.783783783783784
2026-03-20T03:21:04.779266,8.072072072072073
2026-03-20T03:21:04.787599,8.360360360360362
2026-03-20T03:21:04.795932,8.64864864864865
2026-03-20T03:21:04.804265,8.936936936936936
2026-03-20T03:21:04.812598,9.225225225225225
2026-03-20T03:21:04.820931,9.513513513513514
2026-03-20T03:21:04.829264,9.801801801801801
2026-03-20T03:21:04.837597,10.09009009009009
2026-03-20T03:21:04.845930,10.378378378378379
2026-03-20T03:21:04.854263,10.666666666666668
2026-03-20T03:21:04.862596,10.954954954954955
2026-03-20T03:21:04.870929,11.243243243243244
2026-03-20T03:21:04.879262,11.531531531531533
2026-03-20T03:21:04.887595,11.81981981981982
2026-03-20T03:21:04.895928,12.108108108108109
2026-03-20T03:21:04.904261,12.396396396396398
2026-03-20T03:21:04.912594,12.684684684684685
2026-03-20T03:21:04.920927,12.972972972972974
2026-03-20T03:21:04.929260,13.261261261261263
2026-03-20T03:21:04.937593,13.54954954954955
2026-03-20T03:21:04.945926,13.837837837837839
2026-03-20T03:21:04.954259,14.126126126126128
2026-03-20T03:21:04.962592,14.414414414414415
2026-03-20T03:21:04.970925,14.702702702702704
2026-03-20T03:21:04.979258,14.990990990990992
2026-03-20T03:21:04.987591,15.279279279279281
2026-03-20T03:21:04.995924,15.567567567567568
2026-03-20T03:21:05.004257,15.855855855855857
2026-03-20T03:21:05.012590,16.144144144144146
2026-03-20T03:21:05.020923,16.432432432432435
2026-03-20T03:21:05.029256,16.720720720720724
2026-03-20T03:21:05.037589,17.00900900900901
2026-03-20T03:21:05.045922,17.2972972972973
2026-03-20T03:21:05.054255,17.585585585585584
2026-03-20T03:21:05.062588,17.87387387387387
2026-03-20T03:21:05.070921,18.162162162162158
2026-03-20T03:21:05.079254,18.450450450450443
2026-03-20T03:21:05.087587,18.73873873873873
2026-03-20T03:21:05.095920,19.027027027027017
2026-03-20T03:21:05.104253,19.315315315315303
2026-03-20T03:21:05.112586,19.603603603603588
2026-03-20T03:21:05.120919,19.891891891891877
2026-03-20T03:21:05.129252,20.180180180180162
2026-03-20T03:21:05.137585,20.468468468468448
2026-03-20T03:21:05.145918,20.756756756756733
2026-03-20T03:21:05.154251,21.045045045045022
2026-03-20T03:21:05.162584,21.333333333333307
2026-03-20T03:21:05.170917,21.621621621621593
2026-03-20T03:21:05.179250,21.90990990990988
2026-03-20T03:21:05.187583,22.198198198198167
2026-03-20T03:21:05.195916,22.486486486486452
2026-03-20T03:21:05.204249,22.77477477477474
2026-03-20T03:21:05.212582,23.063063063063026
2026-03-20T03:21:05.220915,23.351351351351312
2026-03-20T03:21:05.229248,23.6396396396396
2026-03-20T03:21:05.237581,23.927927927927886
2026-03-20T03:21:05.245914,24.21621621621617
2026-03-20T03:21:05.254247,24.50450450450446
2026-03-20T03:21:05.262580,24.792792792792746
2026-03-20T03:21:05.270913,25.08108108108103
2026-03-20T03:21:05.279246,25.36936936936932
2026-03-20T03:21:05.287579,25.657657657657605
2026-03-20T03:21:05.295912,25.94594594594589
2026-03-20T03:21:05.304245,26.23423423423418
2026-03-20T03:21:05.312578,26.522522522522465
2026-03-20T03:21:05.320911,26.81081081081075
2026-03-20T03:21:05.329244,27.099099099099035
2026-03-20T03:21:05.337577,27.387387387387324
2026-03-20T03:21:05.345910,27.67567567567561
2026-03-20T03:21:05.354243,27.963963963963895
2026-03-20T03:21:05.362576,28.252252252252184
2026-03-20T03:21:05.370909,28.54054054054047
2026-03-20T03:21:05.379242,28.828828828828755
