time,ore_sat.p_0,ore_sat.p_1,ore_sat.p_2,ore_sat.p_3,ore_sat.p_4,ore_sat.p_5,ore_sat.p_6,ore_sat.p_7,ore_sat.p_8,ore_sat.p_9,ore_sat.p_10,ore_sat.p_11,ore_sat.p_12,ore_sat.p_13,ore_sat.p_14,ore_sat.p_15,ore_sat.p_16,ore_sat.p_17,ore_sat.p_18,ore_sat.p_19,ore_sat.p_20,ore_sat.p_21,ore_sat.p_22,ore_sat.p_23,ore_sat.p_24,ore_sat.p_25,ore_sat.p_26,ore_sat.p_27,ore_sat.p_28,ore_sat.p_29,ore_sat.p_30,ore_sat.p_31,ore_sat.p_32,ore_sat.p_33,ore_sat.p_34,ore_sat.p_35
2026-08-21T00:30:38.609510,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:38.658997,0.0009657423308869392,0.0007375766573432885,-0.0007638912261307773,-7.899538408011817e-6,-6.313568152658023e-6,6.385088776954477e-6,0.0007375766573434368,0.0019401926532678498,-0.0014743817031659529,-5.812645542066862e-6,-0.00001637911452649838,0.000012164230596733929,-0.0007638912261310913,-0.0014743817031504791,0.002009774864114272,6.024339718800903e-6,0.000012552667385739647,-0.00001667298963663167,-7.899538407701415e-6,-5.812645541823533e-6,6.0243397185434525e-6,0.9999314646985682,4.662039261686251e-8,-5.3546984686058536e-8,-6.3135681526465645e-6,-0.000016379114526567443,0.000012552667385935887,4.662039261882615e-8,0.9999315383302647,-1.0674535177683175e-7,6.385088776960786e-6,0.000012164230596598078,-0.000016672989636623645,-5.3546984688241975e-8,-1.0674535177514108e-7,0.9999315383684297
2026-08-21T00:30:38.667330,0.0005300457911879873,0.0003841099474915017,-0.0004148982416708162,-0.003910501248067734,-0.00011149173741768454,0.0000894406684220763,0.0003841099474916521,0.0009408411395087599,-0.0007227324049819934,0.000059477387422477834,-0.0040311373034279206,0.00008226630653958126,-0.00041489824167075776,-0.0007227324049783894,0.0010410971408685676,-0.00007416121442698615,0.00019290268922943156,-0.0040312548203869335,-0.003910501248067826,0.00005947738743208603,-0.00007416121441752312,0.9490026460793631,0.010743429374203188,-0.011873443068137873,-0.00011149173741572659,-0.004031137303404745,0.00019290268919165384,0.010743429374042063,0.9589134273778674,-0.02488195875722309,0.00008944066842364156,0.00008226630657467114,-0.004031254820410751,-0.011873443068293953,-0.024881958757008465,0.9609154732219364
2026-08-21T00:30:38.675663,0.0004115513924574862,0.0002628792619356105,-0.00029082245271498875,-0.006686980326579833,-0.0005259834545092801,0.00039139528115688857,0.0002628792619357262,0.0006587568462648404,-0.0004799862483330492,0.00007496028782406428,-0.007389751873199495,0.0005367201446039054,-0.0002908224527148969,-0.00047998624833195765,0.0007481812316823707,-0.00009241170518958178,0.0010276040760816313,-0.007175330730004842,-0.0066869803265798364,0.00007496028783182684,-0.00009241170518258608,0.8260402527101063,0.03572003885901611,-0.03974807130317835,-0.0005259834545030646,-0.007389751873174483,0.0010276040760428362,0.03572003885858072,0.8603112183813009,-0.08069817879674734,0.0003913952811627553,0.0005367201446397352,-0.0071753307300317275,-0.03974807130359988,-0.08069817879609008,0.867067952358503
2026-08-21T00:30:38.683996,0.00037394800921539443,0.00020724469712720209,-0.00023234875005673076,-0.007991711776945113,-0.0011967763900232662,0.0010303279279133867,0.00020724469712724957,0.0005555443471979359,-0.00037522705662453395,-0.0002785155922459682,-0.009400976717070983,0.0015634833987681692,-0.00023234875005669604,-0.00037522705662432795,0.0006342833730176271,0.00030062249311841856,0.002335481433262091,-0.009184794171075216,-0.007991711776945097,-0.0002785155922433799,0.0003006224931204461,0.6631615678072317,0.06638827959757329,-0.07398328032240577,-0.001196776390013789,-0.00940097671705113,0.0023354814332354357,0.06638827959704412,0.7271535038364648,-0.14331585600391705,0.0010303279279224788,0.0015634833987920797,-0.009184794171097195,-0.07398328032291795,-0.1433158560029414,0.7421797200922614
2026-08-21T00:30:38.692329,0.00035928412580722404,0.0001844357227756574,-0.00020584921285055947,-0.008147192959015722,-0.001973312119466665,0.0018106537099203967,0.0001844357227756379,0.000518878203910786,-0.00033315587407338747,-0.0008952240651294531,-0.010288073155546786,0.002814876705981796,-0.00020584921285058433,-0.0003331558740734492,0.0005840264341709747,0.000983348242685714,0.003729000460195391,-0.010140453683520751,-0.00814719295901574,-0.000895224065130386,0.0009833482426846564,0.5083008989061033,0.0903687579647223,-0.10036319773578353,-0.001973312119456976,-0.01028807315553306,0.0037290004601822557,0.09036875796428949,0.5962563839153624,-0.18614122880686063,0.001810653709929683,0.00281487670599282,-0.010140453683536005,-0.1003631977362042,-0.18614122880581518,0.61723031837598
2026-08-21T00:30:38.700662,0.00034777291970400245,0.00017709340934947133,-0.00019691945075383206,-0.007680185677806908,-0.002592686328394381,0.002503449235048979,0.0001770934093494168,0.0005045063725023811,-0.00032286493504045204,-0.001500717219692289,-0.010387309568455459,0.003922970315727603,-0.0001969194507538863,-0.0003228649350405368,0.0005645872478711262,0.0016621352408977266,0.004837305469242111,-0.01046919193790022,-0.0076801856778069425,-0.0015007172196943265,0.0016621352408957694,0.384243268791406,0.10126651143380452,-0.11251202081480194,-0.0025926863283865587,-0.010387309568446601,0.00483730546923875,0.10126651143352008,0.48322809784876475,-0.2022957422417561,0.0025034492350564657,0.003922970315729418,-0.01046919193791002,-0.11251202081508102,-0.20229574224080335,0.5092662124770885
2026-08-21T00:30:38.708995,0.00033897167891566796,0.00017845195854745407,-0.00019915870216225968,-0.007036104797498894,-0.0030112764819092653,0.0030227988744502784,0.0001784519585473929,0.000494063978586529,-0.00032434775651203265,-0.0019820593004053317,-0.009981738895413051,0.004640842707004755,-0.0001991587021623186,-0.0003243477565120648,0.0005571771660185168,0.0022199793447056286,0.005498622503964265,-0.010361623460743355,-0.00703610479749892,-0.0019820593004071887,0.0022199793447038483,0.2927662384949431,0.10162477271952505,-0.11329208269100544,-0.0030112764819037155,-0.009981738895407502,0.005498622503966683,0.10162477271935957,0.38958004725134465,-0.19720636611722242,0.0030227988744556426,0.004640842707001288,-0.010361623460749486,-0.11329208269117104,-0.19720636611642312,0.41912365917835076
2026-08-21T00:30:38.717328,0.0003306164986526764,0.0001825539510167243,-0.00020485791141007265,-0.006363511520724219,-0.003222334609288879,0.0033150364376384692,0.00018255395101667116,0.0004835276165798271,-0.0003282323948633128,-0.002274672900372884,-0.009326212643453088,0.004970912698578448,-0.0002048579114101239,-0.0003282323948632838,0.0005515227029542375,0.0025719477998355665,0.0057549462378744445,-0.009936476687060485,-0.006363511520724233,-0.0022746729003741994,0.002571947799834278,0.22620147880004052,0.09507758842932591,-0.10640071787026882,-0.0032223346092852406,-0.009326212643449624,0.0057549462378797605,0.09507758842923711,0.31394324634158777,-0.18009879762768793,0.0033150364376420445,0.004970912698572447,-0.009936476687064294,-0.10640071787036026,-0.1800987976270453,0.3440846057333087
2026-08-21T00:30:38.725661,0.00032116401147499774,0.00018577475038868604,-0.00020950083064839002,-0.005710327163417724,-0.003253244583726938,0.003398512717324095,0.00018577475038864547,0.0004716652274047486,-0.00033047295512357084,-0.002391591080734389,-0.008566312343380294,0.005007472345082918,-0.00020950083064842957,-0.000330472955123493,0.0005436843376001658,0.0027249466218228695,0.0057122064169700705,-0.00931453730457861,-0.005710327163417732,-0.0023915910807351917,0.002724946621822055,0.17717745697113987,0.08502185931032816,-0.09550582923198844,-0.003253244583724675,-0.008566312343378114,0.005712206416976524,0.08502185931028387,0.25348129010592557,-0.15818677316349794,0.0033985127173263583,0.0050074723450760136,-0.009314537304580983,-0.09550582923203578,-0.15818677316299187,0.28208533152410914
