date,name,naif_id,x_au,y_au,z_au,vx_au_per_day,vy_au_per_day,vz_au_per_day
2023-06-01,4 MARS,4,-1.5284734494855772,0.6606565209839115,0.05133894216398402,-0.005027744791058892,-0.011651122177809378,-0.00012085581876446986
2023-06-02,4 MARS,4,-1.533452229419073,0.6489843794170347,0.051216444743381856,-0.004929760565794337,-0.011693034455794426,-0.00012413770829200216
2023-06-03,4 MARS,4,-1.5383328654132524,0.6372706981538847,0.051090669324464516,-0.004831457119893133,-0.011734199886686796,-0.0001274117750461332
2023-06-04,4 MARS,4,-1.5431150404864091,0.6255162250205297,0.050961623805446776,-0.004732838954697989,-0.011774616504707236,-0.000130677867406284
2023-06-05,4 MARS,4,-1.547798442160297,0.6137217098053078,0.05082931623613665,-0.0046339105759709304,-0.011814282351398643,-0.00013393583380761926
2023-06-06,4 MARS,4,-1.5523827624647184,0.6018879042515629,0.050693754817884795,-0.004534676494222412,-0.011853195475513952,-0.00013718552273293133
2023-06-07,4 MARS,4,-1.556867697942436,0.5900155620504888,0.05055494790354029,-0.004435141225037697,-0.011891353932909571,-0.000140426782704965
2023-06-08,4 MARS,4,-1.5612529496544136,0.5781054388340772,0.050412903997414604,-0.004335309289400199,-0.011928755786444185,-0.0001436594622792357
2023-06-09,4 MARS,4,-1.5655382231853758,0.5661582921681664,0.05026763175525198,-0.004235185214010951,-0.011965399105881788,-0.0001468834100373526
2023-06-10,4 MARS,4,-1.569723228649684,0.5541748815455815,0.05011913998420742,-0.004134773531603418,-0.012001281967797534,-0.00015009847458071109
2023-06-11,4 MARS,4,-1.5738076806975292,0.5421559683793735,0.049967437642828516,-0.004034078781252884,-0.01203640245548405,-0.00015330450452451586
2023-06-12,4 MARS,4,-1.5777912985214255,0.5301023159961484,0.04981253384104625,-0.003933105508680111,-0.0120707586588556,-0.00015650134849189232
2023-06-13,4 MARS,4,-1.581673805863009,0.5180146896294964,0.049654437840168986,-0.003831858266549725,-0.012104348674346881,-0.0001596888551078108
2023-06-14,4 MARS,4,-1.5854549310201307,0.5058938564135266,0.04949315905288451,-0.003730341614764646,-0.012137170604802825,-0.00016286687299236265
2023-06-15,4 MARS,4,-1.5891344068542437,0.49374058537651827,0.04932870704326883,-0.0036285601207592215,-0.012169222559355486,-0.00016603525075286566
2023-06-16,4 MARS,4,-1.5927119707980835,0.48155564743470197,0.04916109152680331,-0.0035265183597951656,-0.012200502653283686,-0.00016919383697401504
2023-06-17,4 MARS,4,-1.5961873648636504,0.4693398153861926,0.048990322370403905,-0.003424220915266267,-0.012231009007850964,-0.00017234248020520787
2023-06-18,4 MARS,4,-1.5995603356505035,0.45709386390509477,0.04881640959246403,-0.0033216723790226916,-0.01226073975012117,-0.00017548102894421325
2023-06-19,4 MARS,4,-1.6028306343543874,0.44481856953581095,0.048639363362917104,-0.0032188773517189163,-0.012289693012750659,-0.0001786093316153087
2023-06-20,4 MARS,4,-1.6059980167762404,0.43251471068754715,0.04845919400332174,-0.0031158404432141762,-0.01231786693376888,-0.0001817272365439316
2023-06-21,4 MARS,4,-1.6090622433316117,0.42018306762907404,0.048275911986977726,-0.0030125662730113344,-0.012345259656328378,-0.00018483459192217798
2023-06-22,4 MARS,4,-1.6120230790605625,0.4078244224837084,0.04808952793907792,-0.002909059470774925,-0.01237186932849349,-0.0001879312457713552
2023-06-23,4 MARS,4,-1.6148802936381133,0.3954395592245073,0.04790005263689989,-0.0028053246769122256,-0.012397694103035829,-0.0001910170458989417
2023-06-24,4 MARS,4,-1.6176336613853106,0.38302926366964263,0.0477074970100429,-0.002701366543225519,-0.012422732137281803,-0.00019409183985290724
2023-06-25,4 MARS,4,-1.6202829612809742,0.3705943234778893,0.047511872140709815,-0.0025971897336241104,-0.012446981593045157,-0.00019715547487718192
2023-06-26,4 MARS,4,-1.622827976974181,0.3581355281441282,0.0473131892640314,-0.0024927989248703986,-0.01247044063666513,-0.00020020779787234544
2023-06-27,4 MARS,4,-1.6252684967974917,0.34565366899475475,0.04711145976842597,-0.0023881988073253795,-0.012493107439158886,-0.0002032486553654022
2023-06-28,4 MARS,4,-1.6276043137809122,0.3331495391828785,0.04690669519598313,-0.0022833940856554166,-0.012514980176484789,-0.00020627789349192491
2023-06-29,4 MARS,4,-1.629835225666522,0.32062393368320985,0.04669890724285786,-0.0021783894794639015,-0.012536057029901352,-0.00020929535799261902
