ESC signal (µs),Thrust (N),Torque (N·m)
1154.2278750000003,0.15040256847857886,-0.0003329282168939414
1157.8676624999998,0.14224771519413887,-0.0015635001624475168
1165.6512749999997,0.18229528410162135,0.0002741919968979022
1169.6527437499994,0.17863964111599986,-0.0009180156411775422
1177.5027562500002,0.21835100164586532,0.000689875769344877
1181.54161875,0.21999863040317644,-0.0006668671607987113
1189.2011374999997,0.2609580745285836,0.0012382380732117151
1193.2068999999997,0.26483139443743975,6.2187856337362135e-6
1201.0515812500003,0.31234810662690776,0.001776779849567829
1204.8922874999996,0.32034177928879976,0.00043904513851607794
1212.82253125,0.3676797665388155,0.00230453254773425
1216.4890124999997,0.3775365293400501,0.0011121415434672088
1224.7303875000002,0.4299052767649791,0.0027614226347112804
1228.028225,0.4383304260762347,0.001789303738893271
1236.3413375,0.4921867294065289,0.0034148328171408953
1239.6613062499996,0.4985106178990758,0.0026137999017475403
1248.1233875,0.5662009405161652,0.004113111146675871
1251.2819312499996,0.5608487468540351,0.0032332463370352673
1260.011975,0.6404461217962572,0.004877693004881303
1263.2424312499998,0.628604981821926,0.0036765522706354624
1271.8095562500002,0.7060490445742919,0.005506903678066637
1275.0010562499997,0.706768721592821,0.004452434061477441
1283.5381375,0.7854348353315885,0.0063474757985054866
1286.74376875,0.7774371054598673,0.005273674376272794
1295.5440124999998,0.8697151304797888,0.007164414371810149
1298.7533687500004,0.8610711964746969,0.006259859749981232
1307.30158125,0.9494447039961915,0.007840753198656843
1310.6522437499996,0.9463263297523965,0.006977002031737315
1318.9236812499998,1.0359429428252913,0.008725354266508965
1322.3552312499996,1.0195422121307824,0.007821722366660979
1330.6987125,1.1232705279624893,0.009555145479729245
1334.0596062499997,1.1185187459664823,0.008594910612115352
1342.5631312499997,1.2066212166395711,0.010218752262041877
1345.8298062500003,1.1941462449447773,0.00946631045182141
1354.40835625,1.2992448730107908,0.011293024510665505
1357.6726687499997,1.2847480330315986,0.01033983266289252
1366.1948625,1.401031820863012,0.01218382492965826
1369.4811437499998,1.3776844476615098,0.011350324926872437
1378.07539375,1.4958065808064498,0.013001847018512463
1381.4664374999998,1.4709764566545678,0.012273282839657965
1390.00114375,1.5883009949662816,0.013809725546353568
1393.3182812499997,1.5684226054040133,0.013309525531467706
1401.89846875,1.6804342759099578,0.014597417579621371
1405.15480625,1.6657810533396367,0.014109902494933286
1413.73905625,1.7884956364502271,0.01565332717427278
1417.0393374999999,1.7648360588753336,0.015108472646915963
1425.52159375,1.9054682706596109,0.01666704573462429
1428.9821874999993,1.864958948347507,0.016054739536228935
1437.3086375,2.00945931506021,0.017952016498749397
1440.5838999999996,1.957541984155475,0.017229255844886007
1449.11163125,2.1031152266959277,0.01933819831570515
1452.4192749999997,2.062242368690177,0.018261181080414683
1461.16305625,2.215995389353607,0.02020859987534246
1464.1251499999998,2.1797760921711054,0.019252202906145717
1472.9319624999996,2.337101856499537,0.021252575005805012
1475.9176062499998,2.3023538621506034,0.02063947662404774
1484.9795937499998,2.45497197183259,0.02241189489595186
1487.6615749999996,2.4243099893480395,0.02184569527610348
1497.10904375,2.5751501272142905,0.023595438489859556
1499.3455312499998,2.539601768605627,0.022851573716241042
1509.015425,2.705159192800811,0.025220392854957863
1511.1446812499998,2.6738375329229456,0.024699837970278016
1521.0420875000002,2.8368003731635416,0.02630280030431951
1523.0178062499995,2.764712940348388,0.025483373215896953
1533.0903875000001,2.9851997237143375,0.028021862813220222
1534.7468124999998,2.890717415209749,0.02650202825453089
1545.0447375000003,3.1149888968364188,0.029212119002254427
1546.5611624999997,3.051462314365784,0.028118016857469546
1556.9250749999999,3.275507072564453,0.030840098023108893
1558.6184187499996,3.196162264559467,0.02962129882344531
1568.822625,3.4297763143282767,0.03236205709503588
1570.50291875,3.3505899175193363,0.03120895109010722
1580.4303875000003,3.5859531370682345,0.03412065201054555
1582.2518937499997,3.4771584323896385,0.03238175777999999
1592.2069625000001,3.751784180602039,0.035793607344475245
1594.074875,3.6158978380881823,0.0339911495434048
1604.0249374999999,3.89367870044874,0.037518002155877826
1605.692525,3.7949384921619997,0.03548428533451284
1615.6910937499997,4.068773292164783,0.039720887555807306
1617.2432375000003,3.997849941046622,0.037195961915857965
1627.4597937499998,4.238616126932656,0.041677940107231394
1629.0005374999996,4.129097494165845,0.03909558421444677
1639.339575,4.404463787025486,0.043167883978256084
1640.6925499999993,4.308963991223233,0.04084455357729425
1651.2859250000001,4.594072018754252,0.0456992502339786
1652.3005749999998,4.517177784092908,0.04258786942782703
1663.0514562499998,4.908796847207114,0.04971088845265939
1663.9737687499996,4.755263352059111,0.04487876761480291
1674.89065,5.305259450340979,0.05310266160632354
1675.7939687499997,5.158530436113937,0.050146452707046506
1686.6685499999999,5.5656686245364195,0.05622774487167167
1687.6421687499994,5.42135399633579,0.052491726505582356
1698.7007312500002,5.785362984973138,0.05856037626346925
1699.4892937500001,5.664681347852961,0.05489032729952851
1710.49014375,6.030599939147792,0.06114439086980189
1711.36858125,5.9396012091601165,0.05768003955966853
1722.33210625,6.341976170931561,0.0645476317652363
1723.0692874999997,6.216773348113254,0.06073157905055815
1734.1917937500002,6.582203052547287,0.06633901993811264
1734.9590437499999,6.517667480591126,0.06395314367444119
1745.9080375,6.828166718083791,0.06924205006887466
1746.8993624999996,6.822967950649998,0.06687424585476667
1757.78643125,7.099593958696495,0.07179506221698903
1758.6355875000002,7.058169804803675,0.07010923804944338
1769.56990625,7.37524569634593,0.07466439512018065
1770.45988125,7.317637373987665,0.07313477824473087
