time,ball.inertia_0,ball.inertia_1,ball.inertia_2,ball.inertia_3,ball.inertia_4,ball.inertia_5,ball.inertia_6
2026-08-21T00:30:34.071085,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.076797,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.085130,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.093463,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.101796,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.110129,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.118462,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.126795,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.135128,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.143461,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.151794,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.160127,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.168460,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.176793,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.185126,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.193459,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.201792,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.210125,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.218458,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.226791,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.235124,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.243457,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.251790,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.260123,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.268456,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.276789,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.285122,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.293455,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.301788,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.310121,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.318454,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.326787,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.335120,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.343453,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.351786,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.360119,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.368452,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.376785,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.385118,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.393451,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.401784,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.410117,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.418450,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.426783,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.435116,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.443449,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.451782,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.460115,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.468448,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.476781,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.485114,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.493447,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.501780,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.510113,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.518446,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.526779,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.535112,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.543445,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.551778,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.560111,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.568444,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.576777,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.585110,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.593443,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.601776,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.610109,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.618442,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.626775,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.635108,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.643441,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.651774,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.660107,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.668440,1.0,1.0,1.0,0.0,0.0,0.0,1.0
