time,ball.force_τx,ball.force_τy,ball.force_τz,ball.force_x,ball.force_y,ball.force_z
2026-08-21T00:30:34.071085,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:34.076797,0.0,0.0,0.0,-0.032615566585561556,-0.12434567820016196,-9.509280471954352
2026-08-21T00:30:34.085130,0.0,0.0,0.0,-0.033718707058912986,-0.1285513617025192,-9.485691652913982
2026-08-21T00:30:34.093463,0.0,0.0,0.0,-0.034821171018792486,-0.13275446602152066,-9.461212683299518
2026-08-21T00:30:34.101796,0.0,0.0,0.0,-0.03592197319768856,-0.13695123486010474,-9.435852134879134
2026-08-21T00:30:34.110129,0.0,0.0,0.0,-0.03702022050350634,-0.14113826333668092,-9.409619069420994
2026-08-21T00:30:34.118462,0.0,0.0,0.0,-0.03811509963720614,-0.14531245077782062,-9.3825229987975
2026-08-21T00:30:34.126795,0.0,0.0,0.0,-0.03920586671264937,-0.149470961144292,-9.354573851152722
2026-08-21T00:30:34.135128,0.0,0.0,0.0,-0.0402918385302395,-0.15361118976212892,-9.32578194179739
2026-08-21T00:30:34.143461,0.0,0.0,0.0,-0.04137238521931236,-0.15773073527200776,-9.296157947805838
2026-08-21T00:30:34.151794,0.0,0.0,0.0,-0.04244692401596819,-0.16182737590745525,-9.265712885524048
2026-08-21T00:30:34.160127,0.0,0.0,0.0,-0.043514913985163106,-0.16589904937301145,-9.234458090376549
2026-08-21T00:30:34.168460,0.0,0.0,0.0,-0.04457585153013373,-0.169943835724072,-9.202405198496386
2026-08-21T00:30:34.176793,0.0,0.0,0.0,-0.04562926656007878,-0.17395994275631185,-9.169566129807055
2026-08-21T00:30:34.185126,0.0,0.0,0.0,-0.04667471920968082,-0.17794569349897932,-9.135953072266188
2026-08-21T00:30:34.193459,0.0,0.0,0.0,-0.04771179702250796,-0.18189951547671618,-9.101578467043328
2026-08-21T00:30:34.201792,0.0,0.0,0.0,-0.048740112525398165,-0.18581993146198458,-9.066454994452894
2026-08-21T00:30:34.210125,0.0,0.0,0.0,-0.049759301133242895,-0.1897055514871303,-9.030595560501528
2026-08-21T00:30:34.218458,0.0,0.0,0.0,-0.05076901933368188,-0.19355506592359623,-8.994013283939013
2026-08-21T00:30:34.226791,0.0,0.0,0.0,-0.05176894310951234,-0.197367239467414,-8.956721483725465
2026-08-21T00:30:34.235124,0.0,0.0,0.0,-0.05275876656344857,-0.2011409058961497,-8.918733666846292
2026-08-21T00:30:34.243457,0.0,0.0,0.0,-0.053738200715510075,-0.20487496348398881,-8.880063516421194
2026-08-21T00:30:34.251790,0.0,0.0,0.0,-0.054706972447990665,-0.20856837097946893,-8.840724880065357
2026-08-21T00:30:34.260123,0.0,0.0,0.0,-0.055664823576842784,-0.2122201440651658,-8.800731758470464
2026-08-21T00:30:34.268456,0.0,0.0,0.0,-0.05661151003154545,-0.21582935223096913,-8.760098294180683
2026-08-21T00:30:34.276789,0.0,0.0,0.0,-0.05754680112822489,-0.2193951160028811,-8.718838760545006
2026-08-21T00:30:34.285122,0.0,0.0,0.0,-0.058470478923059496,-0.22291660447789607,-8.676967550832073
2026-08-21T00:30:34.293455,0.0,0.0,0.0,-0.05938233763490134,-0.22639303312276576,-8.634499167497676
2026-08-21T00:30:34.301788,0.0,0.0,0.0,-0.06028218312764672,-0.22982366180055533,-8.591448211598282
2026-08-21T00:30:34.310121,0.0,0.0,0.0,-0.06116983244424006,-0.23320779299405026,-8.547829372346436
2026-08-21T00:30:34.318454,0.0,0.0,0.0,-0.06204511338534041,-0.23654477019943718,-8.503657416806012
2026-08-21T00:30:34.326787,0.0,0.0,0.0,-0.06290786412665077,-0.2398339764673859,-8.458947179726882
2026-08-21T00:30:34.335120,0.0,0.0,0.0,-0.06375793286973863,-0.2430748330718152,-8.413713553519857
2026-08-21T00:30:34.343453,0.0,0.0,0.0,-0.06459517752188096,-0.24626679828931303,-8.367971478373851
2026-08-21T00:30:34.351786,0.0,0.0,0.0,-0.0654194654010708,-0.2494093662744851,-8.321735932517907
2026-08-21T00:30:34.360119,0.0,0.0,0.0,-0.06623067296284085,-0.25250206601847947,-8.275021922631414
2026-08-21T00:30:34.368452,0.0,0.0,0.0,-0.06702868554600307,-0.25554446037962775,-8.22784447440628
