time,ball.world_pos_q0,ball.world_pos_q1,ball.world_pos_q2,ball.world_pos_q3,ball.world_pos_x,ball.world_pos_y,ball.world_pos_z
2026-05-06T20:26:38.470905,0.0,0.0,0.0,1.0,0.0,0.0,6.0
2026-05-06T20:26:38.472059,0.0,0.0,0.0,1.0,-1.106955681632847e-6,-4.220228847138668e-6,5.999669288816231
2026-05-06T20:26:38.480392,0.0,0.0,0.0,1.0,-4.478883006753418e-6,-0.000017075580876172153,5.998678216176258
2026-05-06T20:26:38.488725,0.0,0.0,0.0,1.0,-0.000010192382629421748,-0.0000388580933342439,5.997028420145519
2026-05-06T20:26:38.497058,0.0,0.0,0.0,1.0,-0.000018324008841576752,-0.00006985962671457284,5.994721600602345
2026-05-06T20:26:38.505391,0.0,0.0,0.0,1.0,-0.00002895020106617388,-0.00011037160357649703,5.99175951864298
2026-05-06T20:26:38.513724,0.0,0.0,0.0,1.0,-0.000042147221765409016,-0.00016068477182280345,5.988143995952518
2026-05-06T20:26:38.522057,0.0,0.0,0.0,1.0,-0.0000579910999016852,-0.00022108898914669083,5.983876914144552
2026-05-06T20:26:38.530390,0.0,0.0,0.0,1.0,-0.00007655757922846693,-0.0002918730258925057,5.978960214071887
2026-05-06T20:26:38.538723,0.0,0.0,0.0,1.0,-0.0000979220708033796,-0.0003733243840136365,5.973395895110349
2026-05-06T20:26:38.547056,0.0,0.0,0.0,1.0,-0.0001221596092112623,-0.0004657291301744721,5.9671860144174484
2026-05-06T20:26:38.555389,0.0,0.0,0.0,1.0,-0.00014934481206397546,-0.0005693717413448705,5.960332686167473
2026-05-06T20:26:38.563722,0.0,0.0,0.0,1.0,-0.00017955184240953624,-0.0006845349614863353,5.952838080764414
2026-05-06T20:26:38.572055,0.0,0.0,0.0,1.0,-0.00021285437373799092,-0.0008114996681381588,5.944704424033994
2026-05-06T20:26:38.580388,0.0,0.0,0.0,1.0,-0.0002493255573172768,-0.0009505447478865667,5.935933996395995
2026-05-06T20:26:38.588721,0.0,0.0,0.0,1.0,-0.00028903799163075507,-0.001101946979846408,5.926529132017949
2026-05-06T20:26:38.597054,0.0,0.0,0.0,1.0,-0.00033206369372039613,-0.0012659809264080764,5.916492217951253
2026-05-06T20:26:38.605387,0.0,0.0,0.0,1.0,-0.00037847407226682285,-0.0014429188306061408,5.905825693250673
2026-05-06T20:26:38.613720,0.0,0.0,0.0,1.0,-0.00042833990226041836,-0.001633030519553851,5.894532048078162
2026-05-06T20:26:38.622053,0.0,0.0,0.0,1.0,-0.0004817313011371923,-0.0018365833134619844,5.882613822791913
2026-05-06T20:26:38.630386,0.0,0.0,0.0,1.0,-0.0005387177062696459,-0.0020538419398235764,5.8700736070215
2026-05-06T20:26:38.638719,0.0,0.0,0.0,1.0,-0.0005993678537169626,-0.0022850684523997816,5.856914038729964
2026-05-06T20:26:38.647052,0.0,0.0,0.0,1.0,-0.000663749758150863,-0.002530522154687919,5.8431378032636605
2026-05-06T20:26:38.655385,0.0,0.0,0.0,1.0,-0.0007319306938837374,-0.002790459527591906,5.828747632390689
2026-05-06T20:26:38.663718,0.0,0.0,0.0,1.0,-0.0008039771769344648,-0.0030651341610488346,5.813746303328686
2026-05-06T20:26:38.672051,0.0,0.0,0.0,1.0,-0.0008799549480748762,-0.0033547966893942237,5.798136637762767
2026-05-06T20:26:38.680384,0.0,0.0,0.0,1.0,-0.0009599289568063099,-0.003659694730273209,5.7819215008543905
2026-05-06T20:26:38.688717,0.0,0.0,0.0,1.0,-0.0010439633462212931,-0.003980072826926246,5.765103800241881
2026-05-06T20:26:38.697050,0.0,0.0,0.0,1.0,-0.0011321214387101973,-0.0043161723936962475,5.747686485033378
2026-05-06T20:26:38.705383,0.0,0.0,0.0,1.0,-0.0012244657224768773,-0.004668231664619942,5.729672544792936
2026-05-06T20:26:38.713716,0.0,0.0,0.0,1.0,-0.0013210578388308893,-0.005036485644979908,5.7110650085204995
2026-05-06T20:26:38.722049,0.0,0.0,0.0,1.0,-0.0014219585702269972,-0.005421166065705624,5.6918669436264695
2026-05-06T20:26:38.730382,0.0,0.0,0.0,1.0,-0.0015272278290253602,-0.005822501340522082,5.672081454901573
2026-05-06T20:26:38.738715,0.0,0.0,0.0,1.0,-0.0016369246469481295,-0.006240716525753443,5.651711683482724
2026-05-06T20:26:38.747048,0.0,0.0,0.0,1.0,-0.0017511071652101967,-0.006676033282696872,5.630760805815569
2026-05-06T20:26:38.755381,0.0,0.0,0.0,1.0,-0.0018698326253035911,-0.007128669842488378,5.609232032614386
2026-05-06T20:26:38.763714,0.0,0.0,0.0,1.0,-0.0019931573604165375,-0.007598840973388283,5.587128607820009
2026-05-06T20:26:38.772047,0.0,0.0,0.0,1.0,-0.0021211367874695015,-0.00808675795041893,5.564453807556432
2026-05-06T20:26:38.780380,0.0,0.0,0.0,1.0,-0.002253825399751695,-0.00859262852729162,5.541210939086734
2026-05-06T20:26:38.788713,0.0,0.0,0.0,1.0,-0.002391276760142496,-0.009116656910563526,5.517403339768966
2026-05-06T20:26:38.797046,0.0,0.0,0.0,1.0,-0.002533543494903101,-0.009659043735968582,5.4930343760126075
2026-05-06T20:26:38.805379,0.0,0.0,0.0,1.0,-0.00268067728802446,-0.010219986046869195,5.468107442236223
2026-05-06T20:26:38.813712,0.0,0.0,0.0,1.0,-0.0028327288761182,-0.010799677274778067,5.442625959826895
2026-05-06T20:26:38.822045,0.0,0.0,0.0,1.0,-0.00298974804383778,-0.01139830722190152,5.416593376102039
2026-05-06T20:26:38.830378,0.0,0.0,0.0,1.0,-0.0031517836198176157,-0.012016062045657546,5.39001316327416
2026-05-06T20:26:38.838711,0.0,0.0,0.0,1.0,-0.0033188834731183135,-0.0126531242451234,5.362888817419114
2026-05-06T20:26:38.847044,0.0,0.0,0.0,1.0,-0.00349109451016652,-0.013309672649368874,5.335223857448425
2026-05-06T20:26:38.855377,0.0,0.0,0.0,1.0,-0.003668462672178189,-0.013985882407632606,5.3070218240861955
2026-05-06T20:26:38.863710,0.0,0.0,0.0,1.0,-0.0038510329330543446,-0.014681924981299742,5.278286278851108
2026-05-06T20:26:38.872043,0.0,0.0,0.0,1.0,-0.0040388492977386364,-0.015397968137640178,5.249020803044056
2026-05-06T20:26:38.880376,0.0,0.0,0.0,1.0,-0.004231954801026182,-0.016134175945267323,5.21922899674187
2026-05-06T20:26:38.888709,0.0,0.0,0.0,1.0,-0.004430391506813368,-0.01689070877127798,5.188914477797629
2026-05-06T20:26:38.897042,0.0,0.0,0.0,1.0,-0.0046342005077784085,-0.017667723280034492,5.158080880848017
2026-05-06T20:26:38.905375,0.0,0.0,0.0,1.0,-0.004843421925482608,-0.018465372433550804,5.126731856328172
2026-05-06T20:26:38.913708,0.0,0.0,0.0,1.0,-0.00505809491088236,-0.019283805493444436,5.094871069494468
2026-05-06T20:26:38.922041,0.0,0.0,0.0,1.0,-0.005278257645242033,-0.020123168024416833,5.062502199455632
2026-05-06T20:26:38.930374,0.0,0.0,0.0,1.0,-0.005503947341437959,-0.02098360189922477,5.029628938212622
2026-05-06T20:26:38.938707,0.0,0.0,0.0,1.0,-0.005735200245643822,-0.02186524530510583,4.996254989707641
2026-05-06T20:26:38.947040,0.0,0.0,0.0,1.0,-0.00597205163938781,-0.022768232751621247,4.962384068882657
2026-05-06T20:26:38.955373,0.0,0.0,0.0,1.0,-0.006214535841971957,-0.023692695079879526,4.928019900747807
2026-05-06T20:26:38.963706,0.0,0.0,0.0,1.0,-0.006462686213244147,-0.024638759473104635,4.893166219460002
2026-05-06T20:26:38.972039,0.0,0.0,0.0,1.0,-0.006716535156713322,-0.025606549468512613,4.857826767412085
2026-05-06T20:26:38.980372,0.0,0.0,0.0,1.0,-0.006976114122998472,-0.026596184970460714,4.8220052943328415
2026-05-06T20:26:38.988705,0.0,0.0,0.0,1.0,-0.007241453613602032,-0.027607782264833364,4.785705556398166
2026-05-06T20:26:38.997038,0.0,0.0,0.0,1.0,-0.0075125831849983836,-0.02864145403462942,4.748931315353667
2026-05-06T20:26:39.005371,0.0,0.0,0.0,1.0,-0.007789531453028179,-0.029697309376715372,4.711686337648981
2026-05-06T20:26:39.013704,0.0,0.0,0.0,1.0,-0.008072326097589275,-0.03077545381970935,4.6739743935840385
2026-05-06T20:26:39.022037,0.0,0.0,0.0,1.0,-0.008360993867615107,-0.031875989342961014,4.635799256467543
2026-05-06T20:26:39.030370,0.0,0.0,0.0,1.0,-0.008655560586331396,-0.03299901439659256,4.597164701787863
2026-05-06T20:26:39.038703,0.0,0.0,0.0,1.0,-0.008956051156782125,-0.03414462392256628,4.558074506396563
2026-05-06T20:26:39.047036,0.0,0.0,0.0,1.0,-0.009262489567615797,-0.0353129093767445,4.518532447704768
2026-05-06T20:26:39.055369,0.0,0.0,0.0,1.0,-0.009574898899123033,-0.03650395875190769,4.478542302892529
2026-05-06T20:26:39.063702,0.0,0.0,0.0,1.0,-0.009893301329516649,-0.03771785660169703,4.438107848131382
2026-05-06T20:26:39.072035,0.0,0.0,0.0,1.0,-0.010217718141445398,-0.0389546840654478,4.39723285782023
2026-05-06T20:26:39.080368,0.0,0.0,0.0,1.0,-0.010548169728732668,-0.04021451889388048,4.355921103834707
2026-05-06T20:26:39.088701,0.0,0.0,0.0,1.0,-0.010884675603331463,-0.04149743547561631,4.314176354790143
2026-05-06T20:26:39.097034,0.0,0.0,0.0,1.0,-0.011227254402487112,-0.04280350486448487,4.272002375318239
2026-05-06T20:26:39.105367,0.0,0.0,0.0,1.0,-0.011575923896099207,-0.04413279480759124,4.229402925357571
2026-05-06T20:26:39.113700,0.0,0.0,0.0,1.0,-0.011930700994274363,-0.045485369774110586,4.186381759457993
2026-05-06T20:26:39.122033,0.0,0.0,0.0,1.0,-0.0122916017550615,-0.046861290984778654,4.142942626099028
2026-05-06T20:26:39.130366,0.0,0.0,0.0,1.0,-0.012658641392361409,-0.04826061644204674,4.0990892670223085
2026-05-06T20:26:39.138699,0.0,0.0,0.0,1.0,-0.013031834284002501,-0.04968340096087016,4.0548254165781135
2026-05-06T20:26:39.147032,0.0,0.0,0.0,1.0,-0.013411193979974704,-0.05112969620009967,4.010154801086056
2026-05-06T20:26:39.155365,0.0,0.0,0.0,1.0,-0.013796733210813584,-0.05259955069444568,3.965081138209941
2026-05-06T20:26:39.163698,0.0,0.0,0.0,1.0,-0.014188463896126907,-0.054093009886985434,3.919608136346812
2026-05-06T20:26:39.172031,0.0,0.0,0.0,1.0,-0.014586397153255905,-0.055610116162183774,3.8737394940302057
2026-05-06T20:26:39.180364,0.0,0.0,0.0,1.0,-0.014990543306063697,-0.057150908879398686,3.8274788993476028
2026-05-06T20:26:39.188697,0.0,0.0,0.0,1.0,-0.015400911893843358,-0.058715424406842985,3.7808300293720674
2026-05-06T20:26:39.197030,0.0,0.0,0.0,1.0,-0.01581751168033831,-0.06030369615597426,3.733796549608052
2026-05-06T20:26:39.205363,0.0,0.0,0.0,1.0,-0.016240350662867793,-0.06191575461628537,3.6863821134513395
2026-05-06T20:26:39.213696,0.0,0.0,0.0,1.0,-0.01666943608155031,-0.06355162739046855,3.638590361663081
2026-05-06T20:26:39.222029,0.0,0.0,0.0,1.0,-0.017104774428618068,-0.06521133922992625,3.5904249218578776
2026-05-06T20:26:39.230362,0.0,0.0,0.0,1.0,-0.017546371457815534,-0.06689491207060301,3.5418894080058525
2026-05-06T20:26:39.238695,0.0,0.0,0.0,1.0,-0.017994232193875432,-0.06860236506911216,3.4929874199486473
2026-05-06T20:26:39.247028,0.0,0.0,0.0,1.0,-0.01844836094206554,-0.07033371463913274,3.4437225429292666
2026-05-06T20:26:39.255361,0.0,0.0,0.0,1.0,-0.018908761297799847,-0.07208897448805167,3.3940983471356905
2026-05-06T20:26:39.263694,0.0,0.0,0.0,1.0,-0.019375436156307737,-0.07386815565382718,3.3441183872581686
2026-05-06T20:26:39.272027,0.0,0.0,0.0,1.0,-0.01984838772235501,-0.07567126654204982,3.2937862020600956
2026-05-06T20:26:39.280360,0.0,0.0,0.0,1.0,-0.020327617520010693,-0.07749831296317813,3.2431053139623702
