time,ball.seed
2026-08-21T00:30:34.071085,0
2026-08-21T00:30:34.076797,0
2026-08-21T00:30:34.085130,0
2026-08-21T00:30:34.093463,0
2026-08-21T00:30:34.101796,0
2026-08-21T00:30:34.110129,0
2026-08-21T00:30:34.118462,0
2026-08-21T00:30:34.126795,0
2026-08-21T00:30:34.135128,0
2026-08-21T00:30:34.143461,0
2026-08-21T00:30:34.151794,0
2026-08-21T00:30:34.160127,0
2026-08-21T00:30:34.168460,0
2026-08-21T00:30:34.176793,0
2026-08-21T00:30:34.185126,0
2026-08-21T00:30:34.193459,0
2026-08-21T00:30:34.201792,0
2026-08-21T00:30:34.210125,0
2026-08-21T00:30:34.218458,0
2026-08-21T00:30:34.226791,0
2026-08-21T00:30:34.235124,0
2026-08-21T00:30:34.243457,0
2026-08-21T00:30:34.251790,0
2026-08-21T00:30:34.260123,0
2026-08-21T00:30:34.268456,0
2026-08-21T00:30:34.276789,0
2026-08-21T00:30:34.285122,0
2026-08-21T00:30:34.293455,0
2026-08-21T00:30:34.301788,0
2026-08-21T00:30:34.310121,0
2026-08-21T00:30:34.318454,0
2026-08-21T00:30:34.326787,0
2026-08-21T00:30:34.335120,0
2026-08-21T00:30:34.343453,0
2026-08-21T00:30:34.351786,0
2026-08-21T00:30:34.360119,0
2026-08-21T00:30:34.368452,0
2026-08-21T00:30:34.376785,0
2026-08-21T00:30:34.385118,0
2026-08-21T00:30:34.393451,0
2026-08-21T00:30:34.401784,0
2026-08-21T00:30:34.410117,0
2026-08-21T00:30:34.418450,0
2026-08-21T00:30:34.426783,0
2026-08-21T00:30:34.435116,0
2026-08-21T00:30:34.443449,0
2026-08-21T00:30:34.451782,0
2026-08-21T00:30:34.460115,0
2026-08-21T00:30:34.468448,0
2026-08-21T00:30:34.476781,0
2026-08-21T00:30:34.485114,0
2026-08-21T00:30:34.493447,0
2026-08-21T00:30:34.501780,0
2026-08-21T00:30:34.510113,0
2026-08-21T00:30:34.518446,0
2026-08-21T00:30:34.526779,0
2026-08-21T00:30:34.535112,0
2026-08-21T00:30:34.543445,0
2026-08-21T00:30:34.551778,0
2026-08-21T00:30:34.560111,0
2026-08-21T00:30:34.568444,0
2026-08-21T00:30:34.576777,0
2026-08-21T00:30:34.585110,0
2026-08-21T00:30:34.593443,0
2026-08-21T00:30:34.601776,0
2026-08-21T00:30:34.610109,0
2026-08-21T00:30:34.618442,0
2026-08-21T00:30:34.626775,0
2026-08-21T00:30:34.635108,0
2026-08-21T00:30:34.643441,0
2026-08-21T00:30:34.651774,0
2026-08-21T00:30:34.660107,0
2026-08-21T00:30:34.668440,0
2026-08-21T00:30:34.676773,0
2026-08-21T00:30:34.685106,0
2026-08-21T00:30:34.693439,0
2026-08-21T00:30:34.701772,0
2026-08-21T00:30:34.710105,0
2026-08-21T00:30:34.718438,0
2026-08-21T00:30:34.726771,0
2026-08-21T00:30:34.735104,0
2026-08-21T00:30:34.743437,0
2026-08-21T00:30:34.751770,0
2026-08-21T00:30:34.760103,0
2026-08-21T00:30:34.768436,0
2026-08-21T00:30:34.776769,0
2026-08-21T00:30:34.785102,0
2026-08-21T00:30:34.793435,0
2026-08-21T00:30:34.801768,0
2026-08-21T00:30:34.810101,0
2026-08-21T00:30:34.818434,0
2026-08-21T00:30:34.826767,0
2026-08-21T00:30:34.835100,0
2026-08-21T00:30:34.843433,0
2026-08-21T00:30:34.851766,0
2026-08-21T00:30:34.860099,0
2026-08-21T00:30:34.868432,0
2026-08-21T00:30:34.876765,0
2026-08-21T00:30:34.885098,0
2026-08-21T00:30:34.893431,0
2026-08-21T00:30:34.901764,0
