time,ball.wind.x,ball.wind.y,ball.wind.z
2026-03-27T20:29:20.485162,0.0,0.0,0.0
2026-03-27T20:29:20.486416,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.494749,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.503082,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.511415,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.519748,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.528081,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.536414,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.544747,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.553080,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.561413,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.569746,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.578079,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.586412,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.594745,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.603078,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.611411,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.619744,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.628077,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.636410,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.644743,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.653076,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.661409,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.669742,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.678075,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.686408,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.694741,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.703074,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.711407,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.719740,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.728073,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.736406,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.744739,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.753072,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.761405,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.769738,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.778071,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.786404,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
2026-03-27T20:29:20.794737,-0.2058421394796434,-0.7847657764467411,1.8160866726679836
