time,Globals.simulation_time_step
2026-03-27T20:29:20.485162,0.008333333
2026-03-27T20:29:20.486416,0.008333333
2026-03-27T20:29:20.494749,0.008333333
2026-03-27T20:29:20.503082,0.008333333
2026-03-27T20:29:20.511415,0.008333333
2026-03-27T20:29:20.519748,0.008333333
2026-03-27T20:29:20.528081,0.008333333
2026-03-27T20:29:20.536414,0.008333333
2026-03-27T20:29:20.544747,0.008333333
2026-03-27T20:29:20.553080,0.008333333
2026-03-27T20:29:20.561413,0.008333333
2026-03-27T20:29:20.569746,0.008333333
2026-03-27T20:29:20.578079,0.008333333
2026-03-27T20:29:20.586412,0.008333333
2026-03-27T20:29:20.594745,0.008333333
2026-03-27T20:29:20.603078,0.008333333
2026-03-27T20:29:20.611411,0.008333333
2026-03-27T20:29:20.619744,0.008333333
2026-03-27T20:29:20.628077,0.008333333
2026-03-27T20:29:20.636410,0.008333333
2026-03-27T20:29:20.644743,0.008333333
2026-03-27T20:29:20.653076,0.008333333
2026-03-27T20:29:20.661409,0.008333333
2026-03-27T20:29:20.669742,0.008333333
2026-03-27T20:29:20.678075,0.008333333
2026-03-27T20:29:20.686408,0.008333333
2026-03-27T20:29:20.694741,0.008333333
2026-03-27T20:29:20.703074,0.008333333
2026-03-27T20:29:20.711407,0.008333333
2026-03-27T20:29:20.719740,0.008333333
2026-03-27T20:29:20.728073,0.008333333
2026-03-27T20:29:20.736406,0.008333333
2026-03-27T20:29:20.744739,0.008333333
2026-03-27T20:29:20.753072,0.008333333
2026-03-27T20:29:20.761405,0.008333333
2026-03-27T20:29:20.769738,0.008333333
2026-03-27T20:29:20.778071,0.008333333
2026-03-27T20:29:20.786404,0.008333333
2026-03-27T20:29:20.794737,0.008333333
2026-03-27T20:29:20.803070,0.008333333
2026-03-27T20:29:20.811403,0.008333333
2026-03-27T20:29:20.819736,0.008333333
2026-03-27T20:29:20.828069,0.008333333
2026-03-27T20:29:20.836402,0.008333333
2026-03-27T20:29:20.844735,0.008333333
2026-03-27T20:29:20.853068,0.008333333
2026-03-27T20:29:20.861401,0.008333333
2026-03-27T20:29:20.869734,0.008333333
2026-03-27T20:29:20.878067,0.008333333
2026-03-27T20:29:20.886400,0.008333333
2026-03-27T20:29:20.894733,0.008333333
2026-03-27T20:29:20.903066,0.008333333
2026-03-27T20:29:20.911399,0.008333333
2026-03-27T20:29:20.919732,0.008333333
2026-03-27T20:29:20.928065,0.008333333
2026-03-27T20:29:20.936398,0.008333333
2026-03-27T20:29:20.944731,0.008333333
2026-03-27T20:29:20.953064,0.008333333
2026-03-27T20:29:20.961397,0.008333333
2026-03-27T20:29:20.969730,0.008333333
2026-03-27T20:29:20.978063,0.008333333
2026-03-27T20:29:20.986396,0.008333333
2026-03-27T20:29:20.994729,0.008333333
2026-03-27T20:29:21.003062,0.008333333
2026-03-27T20:29:21.011395,0.008333333
2026-03-27T20:29:21.019728,0.008333333
2026-03-27T20:29:21.028061,0.008333333
2026-03-27T20:29:21.036394,0.008333333
2026-03-27T20:29:21.044727,0.008333333
2026-03-27T20:29:21.053060,0.008333333
2026-03-27T20:29:21.061393,0.008333333
2026-03-27T20:29:21.069726,0.008333333
2026-03-27T20:29:21.078059,0.008333333
2026-03-27T20:29:21.086392,0.008333333
2026-03-27T20:29:21.094725,0.008333333
2026-03-27T20:29:21.103058,0.008333333
2026-03-27T20:29:21.111391,0.008333333
2026-03-27T20:29:21.119724,0.008333333
2026-03-27T20:29:21.128057,0.008333333
2026-03-27T20:29:21.136390,0.008333333
2026-03-27T20:29:21.144723,0.008333333
2026-03-27T20:29:21.153056,0.008333333
2026-03-27T20:29:21.161389,0.008333333
2026-03-27T20:29:21.169722,0.008333333
2026-03-27T20:29:21.178055,0.008333333
2026-03-27T20:29:21.186388,0.008333333
2026-03-27T20:29:21.194721,0.008333333
2026-03-27T20:29:21.203054,0.008333333
2026-03-27T20:29:21.211387,0.008333333
2026-03-27T20:29:21.219720,0.008333333
2026-03-27T20:29:21.228053,0.008333333
2026-03-27T20:29:21.236386,0.008333333
2026-03-27T20:29:21.244719,0.008333333
2026-03-27T20:29:21.253052,0.008333333
2026-03-27T20:29:21.261385,0.008333333
2026-03-27T20:29:21.269718,0.008333333
2026-03-27T20:29:21.278051,0.008333333
2026-03-27T20:29:21.286384,0.008333333
2026-03-27T20:29:21.294717,0.008333333
2026-03-27T20:29:21.303050,0.008333333
2026-03-27T20:29:21.311383,0.008333333
