time,ball.world_accel.αx,ball.world_accel.αy,ball.world_accel.αz,ball.world_accel.x,ball.world_accel.y,ball.world_accel.z
2026-03-20T06:13:16.136121,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-20T06:13:16.137418,0.0,0.0,0.0,-0.03261556658556155,-0.12434567820016199,-9.509280471954352
2026-03-20T06:13:16.145751,0.0,0.0,0.0,-0.03371870705891298,-0.12855136170251924,-9.485691652913982
2026-03-20T06:13:16.154084,0.0,0.0,0.0,-0.03482117101879247,-0.13275446602152063,-9.461212683299518
2026-03-20T06:13:16.162417,0.0,0.0,0.0,-0.03592197319768855,-0.13695123486010471,-9.435852134879134
2026-03-20T06:13:16.170750,0.0,0.0,0.0,-0.037020220503506326,-0.1411382633366809,-9.409619069420994
2026-03-20T06:13:16.179083,0.0,0.0,0.0,-0.03811509963720613,-0.1453124507778206,-9.3825229987975
2026-03-20T06:13:16.187416,0.0,0.0,0.0,-0.03920586671264937,-0.14947096114429204,-9.35457385115272
2026-03-20T06:13:16.195749,0.0,0.0,0.0,-0.04029183853023949,-0.1536111897621289,-9.32578194179739
2026-03-20T06:13:16.204082,0.0,0.0,0.0,-0.041372385219312344,-0.15773073527200773,-9.296157947805838
2026-03-20T06:13:16.212415,0.0,0.0,0.0,-0.04244692401596817,-0.16182737590745525,-9.265712885524048
2026-03-20T06:13:16.220748,0.0,0.0,0.0,-0.0435149139851631,-0.16589904937301148,-9.234458090376549
2026-03-20T06:13:16.229081,0.0,0.0,0.0,-0.04457585153013371,-0.16994383572407198,-9.202405198496386
2026-03-20T06:13:16.237414,0.0,0.0,0.0,-0.045629266560078756,-0.17395994275631183,-9.169566129807055
2026-03-20T06:13:16.245747,0.0,0.0,0.0,-0.0466747192096808,-0.1779456934989793,-9.135953072266188
2026-03-20T06:13:16.254080,0.0,0.0,0.0,-0.04771179702250794,-0.18189951547671612,-9.101578467043328
2026-03-20T06:13:16.262413,0.0,0.0,0.0,-0.048740112525398144,-0.18581993146198456,-9.066454994452894
2026-03-20T06:13:16.270746,0.0,0.0,0.0,-0.049759301133242874,-0.18970555148713028,-9.030595560501528
2026-03-20T06:13:16.279079,0.0,0.0,0.0,-0.050769019333681865,-0.19355506592359623,-8.994013283939013
2026-03-20T06:13:16.287412,0.0,0.0,0.0,-0.05176894310951232,-0.19736723946741397,-8.956721483725465
2026-03-20T06:13:16.295745,0.0,0.0,0.0,-0.05275876656344856,-0.2011409058961497,-8.918733666846292
2026-03-20T06:13:16.304078,0.0,0.0,0.0,-0.05373820071551006,-0.2048749634839888,-8.880063516421194
2026-03-20T06:13:16.312411,0.0,0.0,0.0,-0.05470697244799065,-0.20856837097946893,-8.840724880065357
2026-03-20T06:13:16.320744,0.0,0.0,0.0,-0.05566482357684276,-0.2122201440651658,-8.800731758470462
2026-03-20T06:13:16.329077,0.0,0.0,0.0,-0.05661151003154543,-0.2158293522309691,-8.760098294180683
2026-03-20T06:13:16.337410,0.0,0.0,0.0,-0.05754680112822487,-0.21939511600288106,-8.718838760545006
2026-03-20T06:13:16.345743,0.0,0.0,0.0,-0.058470478923059475,-0.22291660447789605,-8.676967550832073
2026-03-20T06:13:16.354076,0.0,0.0,0.0,-0.05938233763490131,-0.2263930331227657,-8.634499167497676
2026-03-20T06:13:16.362409,0.0,0.0,0.0,-0.060282183127646695,-0.22982366180055527,-8.591448211598282
2026-03-20T06:13:16.370742,0.0,0.0,0.0,-0.061169832444240034,-0.23320779299405023,-8.547829372346436
2026-03-20T06:13:16.379075,0.0,0.0,0.0,-0.062045113385340384,-0.23654477019943715,-8.503657416806012
2026-03-20T06:13:16.387408,0.0,0.0,0.0,-0.06290786412665074,-0.2398339764673859,-8.458947179726882
2026-03-20T06:13:16.395741,0.0,0.0,0.0,-0.06375793286973862,-0.24307483307181518,-8.413713553519857
2026-03-20T06:13:16.404074,0.0,0.0,0.0,-0.06459517752188092,-0.24626679828931297,-8.367971478373851
2026-03-20T06:13:16.412407,0.0,0.0,0.0,-0.06541946540107077,-0.24940936627448507,-8.321735932517907
2026-03-20T06:13:16.420740,0.0,0.0,0.0,-0.06623067296284083,-0.2525020660184794,-8.275021922631414
2026-03-20T06:13:16.429073,0.0,0.0,0.0,-0.06702868554600304,-0.25554446037962775,-8.22784447440628
2026-03-20T06:13:16.437406,0.0,0.0,0.0,-0.0678133971347877,-0.258536145176609,-8.18021862326508
2026-03-20T06:13:16.445739,0.0,0.0,0.0,-0.06858471013519493,-0.26147674833579787,-8.132159405239507
2026-03-20T06:13:16.454072,0.0,0.0,0.0,-0.06934253516365878,-0.264365929085554,-8.0836818480135
2026-03-20T06:13:16.462405,0.0,0.0,0.0,-0.07008679084637127,-0.26720337719115217,-8.034800962135485
2026-03-20T06:13:16.470738,0.0,0.0,0.0,-0.07081740362782929,-0.26998881222487375,-7.985531732404181
2026-03-20T06:13:16.479071,0.0,0.0,0.0,-0.0715343075873549,-0.27272198286649785,-7.935889109432292
